pickup point,last part
"""office of the executive engineer , mods zone o4 , dhaka wasa , darussalam , mirpur""","""mirpur"""
"""tanzimul ummah  alim madrasah , ibtidayee branch , sector 10 , uttara""","""uttara"""
"""japan garden city bidg no. 10 , road 1, mohammadi housing society ,  mohammadpur""","""mohammadpur"""
"""dhaka airport railway station""","""dhaka airport railway station"""
"""polwel carnation shopping centre , sector 8 , uttara""","""uttara"""
"""rakib's tea stoll , sector 6 , uttara""","""uttara"""
"""265, tsc mor , siddikbazar""","""siddikbazar"""
"""transcom digital , road 7 , sector 4 , uttara""","""uttara"""
"""ali asgar hospital , 111/1/a , distilary road , gopibag , dayaganj""","""dayaganj"""
"""araddho , resaidential area , dhanmondi""","""dhanmondi"""
"""h k 75/8, rd 13 , kalachandpur""","""kalachandpur"""
"""rauf manzil, h 359, free sachool st , hatirpool""","""hatirpool"""
"""h 985, rs 11 , block g , bashundhara r/a""","""bashundhara r/a"""
"""expresso house , kemal atatruk avenue, banani""","""banani"""
"""113, road 4 , block c , bashundhara""","""bashundhara"""
"""birdem hospital , shahbag  circle""","""shahbag  circle"""
"""green peace , h 168/1, green rd""","""green rd"""
"""uttara , car , dhaka mymensingh highway , sector 9, uttara""","""uttara"""
"""road no . 3 , section 6""","""section 6"""
"""tani auto parts , road 35, sector 7, uttara""","""uttara"""
"""24/2, green road , dhanmondi""","""dhanmondi"""
"""dr batra's homeopathy clinic , progress tower , road 23 , gulshan 1 , gulshan""","""gulshan"""
"""rd 6a, dolipara , uttara""","""uttara"""
"""hospital cafe , bir uttam ziaur rahman road , mohakhali  , gulshan""","""gulshan"""
"""house 16 , road 27 , block  j , banani , dhaka""","""dhaka"""
"""moen's sharmeens, sector 4 , uttara""","""uttara"""
"""imbd agency  , banani  dohs""","""banani  dohs"""
"""item crafts, road 4 , sector 11, uttara""","""uttara"""
"""crimson cup coffee shop , road 27 ( new 16 ) , dhanmondi r/a""","""dhanmondi r/a"""
"""surkunjo sdangit academy , h 58 , honda st , tejkunipara""","""tejkunipara"""
"""577/a, north kafrul road , purba kazipara""","""purba kazipara"""
"""house 105 , road 13 , block  e , banani , dhaka""","""dhaka"""
"""lalbag""","""lalbag"""
"""pedrollo , ka 74/2 , pragoti sarani , nadda""","""nadda"""
"""shumi's hot cake , road 2 , sector 3 , uttara""","""uttara"""
"""rd 2, sector 6, uttara""","""uttara"""
"""nakhalpara notun rd ,  mohakhali""","""mohakhali"""
"""hazi building , block e , banani""","""banani"""
"""shumaiya 's place""","""shumaiya 's place"""
"""37, road 35 , gulshan 2, gulshan""","""gulshan"""
"""purbachal express highway  , kuril""","""kuril"""
"""h 111/2, rd 35, gulshan 2""","""gulshan 2"""
"""chitrogolpo , mirpur dohs""","""mirpur dohs"""
"""khandker tower , h 94 , gulshan ave , gulshan 1""","""gulshan 1"""
"""gardenia , h 20 , eskaton garden rd , old eskaton""","""old eskaton"""
"""rd 1 , block l  , arifabad r/a  , rupnagar , pallabi""","""pallabi"""
"""scarlet knitwears ltd , plot b rd , bscic, fatullah , narayanganj , 1400""","""1400"""
"""one bank plc , road 1 , kawranbazar , tejgaon""","""tejgaon"""
"""matbor  tower , 65 zigatola main road , dhaka""","""dhaka"""
"""peace park , road 6 , riajbagh , khilgaon""","""khilgaon"""
"""hungry eyes food corner""","""hungry eyes food corner"""
"""link road 9 , mirpur dohs, mirpur 12""","""mirpur 12"""
"""al madina pharmacy 2, gulshan 2, gulshan""","""gulshan"""
"""h 2, toyenbee circular rd , fakirapool""","""fakirapool"""
"""maolana bhasani road , wireless , paltan""","""paltan"""
"""carboline  , block k  , banani""","""banani"""
"""line 8 , block a , mirpur 10""","""mirpur 10"""
"""h 1 z , rd 9 , block g , basundhara r/a""","""basundhara r/a"""
"""h 366/7, rd 6 , baridhara dohs""","""baridhara dohs"""
"""house 1c , road 86 , gulshan 2 , gulshan""","""gulshan"""
"""kurmitola general hospital""","""kurmitola general hospital"""
"""north south university , bashundhara r/a""","""bashundhara r/a"""
"""rd 7 , block  c , mirpur 13""","""mirpur 13"""
"""the vapianoo cafe , satmasjid rd , jigatola""","""jigatola"""
"""road 12a , mirpur dohs  , mirpur 12""","""mirpur 12"""
"""north south universuty , bashundhara r/a""","""bashundhara r/a"""
"""hotel aristocrat in restaurant ,road 68 , gulshan 2 , gulshan""","""gulshan"""
"""kakoli bus stop , banani""","""banani"""
"""house 430 , road 17 , block a , basundhara r/a""","""basundhara r/a"""
"""basic  homeopathy clinic galaxy hospital , main road , section 6""","""section 6"""
"""hungry station , road 1 , section 6""","""section 6"""
"""aparajita ( a1 ) , shyamoli , mohammadpur""","""mohammadpur"""
"""adnan fruit store , tpyenbee circular rd, fakirapool""","""fakirapool"""
"""artistic dental aid , road 2 , block b , niketon , gulshan""","""gulshan"""
"""moyeens, 06, road 102, gulshan 2, gulshan""","""gulshan"""
"""613, north kafrul , jhilpar road , ashar alo lake view tower""","""ashar alo lake view tower"""
"""bismillah general store , road 10 , sector 09, uttara""","""uttara"""
"""channel 24 , shahid tazuddin ahmed ave , tejgaon industrial area""","""tejgaon industrial area"""
"""united commertial bank ltd , science laboratory rd , elephant rd""","""elephant rd"""
"""trisha digital studio , ka 1/b , kalachandpur main rd  , kalachandpur""","""kalachandpur"""
""",ax - 2gents parlour and exclusive salon, sector 9, uttara""","""uttara"""
"""uttara cadets community , sector 3""","""sector 3"""
"""14 , road 7 , section 6""","""section 6"""
"""green life hospital ltd , green road , kathalbagan""","""kathalbagan"""
"""dhaka metropoliton police  headquarter , mintu rd""","""mintu rd"""
"""h 32/a ,station rd , tejkunipara""","""tejkunipara"""
"""shyamoli tb hospital  , syed mahbub murshed ave""","""syed mahbub murshed ave"""
"""shyamoli bus counter , h 167 , toyenbee circular rd , motijheel""","""motijheel"""
"""house 2/4 , road 1 , block c , niketon , gulshan 1""","""gulshan 1"""
"""bird bazar  , senpara parbata , senpara parbata  , section 13""","""section 13"""
"""airport cargo terminal parking , hazrat shahjalal international airport""","""hazrat shahjalal international airport"""
"""road  6 , section 2""","""section 2"""
"""rajbari baitul mamur jame masjid , rd 5 , block a , bashundhara""","""bashundhara"""
"""h 147, rd  1 , baridhara dohs""","""baridhara dohs"""
"""manasi cinema hala  , bangshal rd , nawabpur""","""nawabpur"""
"""bilkis villa , 22 , mitali housing society , south kafrul , poshchim  kafrul""","""poshchim  kafrul"""
"""shia mazar rd  , shaheenbag""","""shaheenbag"""
"""16, kallyanpur prodhan sarak , notun bazar  , mukti housing , moddho paikpara""","""moddho paikpara"""
"""sinha tower , 77/3, shah ali bagh road , senpara parbata , shah ali bagh""","""shah ali bagh"""
"""khaled,813,monipur,kuwati masjid rd,mirpur 2""","""mirpur 2"""
"""vikrampur mistanno bhandar , 78, satmasjid road , mphammadpur""","""mphammadpur"""
"""q pharma limited,gareeb e nawaz avenue,sector 13,uttara""","""uttara"""
"""green life medical college hospital,32,green road,dhanmondi""","""dhanmondi"""
"""gold rose thai spa , gulshan 2, gulshan""","""gulshan"""
"""h 3,line 8,mirpur 10""","""mirpur 10"""
"""house 52,road 9a""","""road 9a"""
"""anzaar banani outlet, banani super market , kamal atatruk avenue, block d , banani""","""banani"""
"""lamia enterprise,h 13/3,hazi chinu mia rd,mohammadppur""","""mohammadppur"""
"""jamila tower , 93/1 indira road , tollabag dhaal""","""tollabag dhaal"""
"""h ka/119/a , purbachal express highway , kuril""","""kuril"""
"""spba,house 11,road 14,mohakhali,gulshan""","""gulshan"""
"""h 88,kalabagan 2nd lane,kalabagan""","""kalabagan"""
"""h 128 , rd 12 , block g , basundhara r/a""","""basundhara r/a"""
"""block a,road 18,house 9,banani""","""banani"""
"""gulshan central masjid,gulshan ave,gulshan 2""","""gulshan 2"""
"""rosh limited , kemal ataturk avenue , banani""","""banani"""
"""7/d , road  1 ,block d , basundhara r/a""","""basundhara r/a"""
"""ncc bank , 111 , bir uttam cr datta road , hatirpool , wireless , lalmatia""","""lalmatia"""
"""world food programme,gulshan office ,gulshan 2,gulshan""","""gulshan"""
"""road 5,block c,basundhara r/a""","""basundhara r/a"""
"""incepta pharmaceuticals ltd,shahid tazuddin ahmed ave,tejgaon industrial area""","""tejgaon industrial area"""
"""american club area,road 7,gulshan 2,gulshan""","""gulshan"""
"""26,azimpur koborsthan road,nijhum residential area,hazaribagh""","""hazaribagh"""
"""plot 281 281/b,sayem sobhan anvir road,block c,basundhara r/a""","""basundhara r/a"""
"""173 a& a tower,outer circular road,motijheel,komlapur""","""komlapur"""
"""united nation circle police booth,united nation circle,baridhara""","""baridhara"""
"""khaja hotel,mirpur rd,darus salam""","""darus salam"""
"""platinum grande,52,road 11,banani""","""banani"""
"""criterion nurun nabi,gulshan 2,gulshan""","""gulshan"""
"""gun max,syed nazrul islam sarani,naya paltan""","""naya paltan"""
"""ucb atm crm,block f,banani""","""banani"""
"""polok food & general store,sector 6,uttara""","""uttara"""
"""road to be named""","""road to be named"""
"""creative it institute,uttara branch,sector 7""","""sector 7"""
"""momota enterprise,block f,banani""","""banani"""
"""cvsit.com.bd block f,banani""","""banani"""
"""h 21/44/a,jigatala main rd,jigatala""","""jigatala"""
"""alna,road 4,sectoor 7,uttara""","""uttara"""
"""informatix , bir uttam ak khandakar road , mohakhali""","""mohakhali"""
"""unimert delivery hub, gulshan 2, gulshan""","""gulshan"""
"""firoza manson, h 60/2, old elephant rd , noyatola""","""noyatola"""
"""ibn sina medical college , kalyanpur villa rd , south kallyanpur ,kallyanpur""","""kallyanpur"""
"""sumaiya enterprise, chowdhury para, malibagh""","""malibagh"""
"""indokem bangladesh p l, sector 7, uttara""","""uttara"""
"""secrest recipe, sks tower , mohakhali""","""mohakhali"""
"""nadp office , kataban rd , nilkhet""","""nilkhet"""
"""fakhruddin restaurant , h 384, shahid tazuddin ahmed ave , mogbazar""","""mogbazar"""
"""new airport rd , dhaka cantonment""","""dhaka cantonment"""
"""363/9/a, north perebug , mukti housing , moddho paikpara""","""moddho paikpara"""
"""arrival fashion ltd , 10 , main road , section 6""","""section 6"""
"""saudia jame masjid , khapara rd , rustampur""","""rustampur"""
"""riceman""","""riceman"""
"""h 30 , doctor goli  , malibagh""","""malibagh"""
"""h 14, rd 2, block a , banasree""","""banasree"""
"""proyash hall , rd 10 , dhaka cantonment""","""dhaka cantonment"""
"""h ka 28/3/3/a, kuwaiti masjid rd , vatara""","""vatara"""
"""perfecto beauty salon , shyamoli  , mohammadpur""","""mohammadpur"""
"""new airport road , kurmitola , sector 2""","""sector 2"""
"""h 140, shahid janani jahanara imam sarani  , elephant rd""","""elephant rd"""
"""momin khabar hotel , zoo rd, mirpur 2""","""mirpur 2"""
"""quamroom noor, h 9/1, iqbal rd , mohammadpur""","""mohammadpur"""
"""police park project , titas rd , banashree""","""banashree"""
"""jannat bedding , block c , banasree""","""banasree"""
"""house 26, road  16, block b, banani , dhaka""","""dhaka"""
"""kotbari bazar , dhakshin azampur""","""dhakshin azampur"""
"""sikder medical hall , kuwaiti masjid rd , vatara""","""vatara"""
"""bashundhara gate south , madani ave , dhaka bangladesh""","""dhaka bangladesh"""
"""baba rafi  , bashundhara city , panthapath""","""panthapath"""
"""jugantor electronics , h 272 , dhaka chittagong highway , banagram""","""banagram"""
"""www. humayra .com.bd. block e, banasree""","""banasree"""
"""nayeem raiyan hasan , ranavola , uttara""","""uttara"""
"""star pharma , nurjahan road, mohammadpur""","""mohammadpur"""
"""sheikh meher ali rd , 1340""","""1340"""
"""university of asia pacific , green rd farmgate""","""green rd farmgate"""
"""alif -ayat ambulance service , monipur , mirpur 2""","""mirpur 2"""
"""house 10, road 03, sector 10, uttara""","""uttara"""
"""maya kanon , 731, block f road 23 , bashundhara r/a""","""bashundhara r/a"""
"""anterior architects , residential area , dhanmondi""","""dhanmondi"""
"""h 22 , mirpur rd 14 , block c , mirpur 10""","""mirpur 10"""
"""olive touch, 168, hatirpool, dhanmondi r/a , paltan""","""paltan"""
"""ashi dag circle , north ibrahimpur""","""north ibrahimpur"""
"""chowdhury bari,h 3,sat masjid rd,block f,mohammadpur""","""mohammadpur"""
"""37/b , road 3,block d , bashundhara r/a""","""bashundhara r/a"""
"""house 10,road 9/a,sector 7,uttara""","""uttara"""
"""nafi tower , h 53 , gulshan ave , gulshan 1""","""gulshan 1"""
"""pingus kitchen,sky view garden,shantinagar""","""shantinagar"""
"""947, 60 feet  , mukti housinf , dokkhin  monipur""","""dokkhin  monipur"""
"""delta hospital, dar us salam road , mofizbagh housing , shah ali bagh""","""shah ali bagh"""
"""house 120/1,eastern plus goli,shanti nagar,kakrail""","""kakrail"""
"""site for future project , residential area , dhanmondi""","""dhanmondi"""
"""h 315,east rampura rd,rampura""","""rampura"""
"""japan bangladesh friendship hospital , road 3/a, dhanmondi""","""dhanmondi"""
"""mr. kacchi  , 252/4 , west monipur , mukti housing , paschim monipur""","""paschim monipur"""
"""shubheccha enterprise 163/1,mirpur 10 2 service road,senpara parbata,borobagh""","""borobagh"""
"""362/5 , north pererbug , mukti housing  , dokkhin monipur""","""dokkhin monipur"""
"""shanta western tower,tejgaon gulshan limk rd,niketon""","""niketon"""
"""globe securities , toyenbee rd , motijheel""","""motijheel"""
"""h 29,rd 5,south banashree project""","""south banashree project"""
"""north end coffee roasters , h 53 , gulshan ave , gulshan 1""","""gulshan 1"""
"""jahangir traders,demra narayanganj rd,siddhirganj""","""siddhirganj"""
"""urban blessing , 17 , road 11 , dhanmondi r/a""","""dhanmondi r/a"""
"""central field sau,banijjo mela rd,sher e bangla nagar""","""sher e bangla nagar"""
"""future point , riazbag , taltola , khigoan""","""khigoan"""
"""taste of heaven , sector 1 , uttara""","""uttara"""
"""road no 3,basundhara r/a""","""basundhara r/a"""
"""metro food court , uttara , diyabari""","""diyabari"""
"""shopnil supper shop , borkot shoroni rd , 1702""","""1702"""
"""h 379,rd 21,block g,asundhara r/a""","""asundhara r/a"""
"""soft click , sector 12 , uttara""","""uttara"""
"""chairman goli jame masjid , chairman goli , noyatola""","""noyatola"""
"""upoma plaza , h 2/a, rd 4 , mirpur 10""","""mirpur 10"""
"""configure bepari shopping complex,pragoti sarani,middle badda""","""middle badda"""
"""city lp gass , west kafrul , taltola , west kafrul , paschim  kafrul""","""paschim  kafrul"""
"""tejgaon link flyover , paschim nakhalpara , niketon""","""niketon"""
"""sornali garden , 18 , section 10""","""section 10"""
"""chattoturf bashundhara , b222, road 6, block c, bashundhara""","""bashundhara"""
"""golden plaza , h 385 , shahid janani jahanara imam sarani , elephant rd""","""elephant rd"""
"""ict world -bd, block e, banasree""","""banasree"""
"""h 38 complex co poerative society , h 38/3 , ramna century ave , siddheswari""","""siddheswari"""
"""shaheenbag rd, shaheenbag""","""shaheenbag"""
"""h 7 b/9 , mirbag rampura dit link rd , mirbag""","""mirbag"""
"""arced foundation , mirpur dohs""","""mirpur dohs"""
"""airport road , new airport road , kurmitola , sector 2""","""sector 2"""
"""al mahmud filling station , darus salam rd , darus salam""","""darus salam"""
"""mutual trust bank , airport road , new airport road , kurmitola , sector 2""","""sector 2"""
"""milk vita road , dhaka 1216 , bangladesh""","""bangladesh"""
"""n.j garden , 405/2, free school street , dhanmondi""","""dhanmondi"""
"""people's hospital , shahid baki rd , chowdurypara, malibagh""","""malibagh"""
"""water pump station  , shyamoli , mohammadpur""","""mohammadpur"""
"""food street express, 85/86, road 8, section 6""","""section 6"""
"""panchoshila , sector 14 , uttara""","""uttara"""
"""interationa terminal , new airport rpad , kurmitola , sector 2""","""sector 2"""
"""rampura kacha bazar  , west rampura""","""west rampura"""
"""babuil cycle store , h 174/175, begunbari rd , east tejkunipara""","""east tejkunipara"""
"""southeast university , nabisco road , industrial area , tejgaon""","""tejgaon"""
"""jahan monjil, block h, banasree""","""banasree"""
"""premier sweets , dit road , rampura""","""rampura"""
"""dhanmondi 4/a , beside of renesha hospital, house no 62 , flat no b2""","""flat no b2"""
"""house 808 , road 18, block   k  , basundhara r/a""","""basundhara r/a"""
"""adperience ltd , house 137 , lane 4 , mohakhali dohs , mohakhali""","""mohakhali"""
"""tenement 1, h 301/a, rd 6 , block e, bashundhara r/a""","""bashundhara r/a"""
"""lake breeze , 34, road 104 , gulshan 2 ,gulshan""","""gulshan"""
"""cp five star - fashion paradise , road 20, sector 11, uttara""","""uttara"""
"""premier bank panthapath , bir uttam kazi nuruzzaman road, west panthapath , panthapath""","""panthapath"""
"""shumi's hot cake , sayed nazrul islam sharoni 8 , purana paltan""","""purana paltan"""
"""zahid mansion , 42, road # 2, block c , bashundhara r/a""","""bashundhara r/a"""
"""sonarang kabarsthan  , sonarang""","""sonarang"""
"""chottogram fast food & coffee shop , hazrat shahjalal international airport , kurmitola""","""kurmitola"""
"""bottola jame masjid , hatirjheel link rd , tejgaon industrial area""","""tejgaon industrial area"""
"""h 44, madrasa rd ln , metropoliton coooperative housing society , mohammadpur""","""mohammadpur"""
"""hazrat shahjalal international airport,terminal 1,airport road,new airport road,kurmitola,sector 2""","""sector 2"""
"""fitment craft,mirpur dohs""","""mirpur dohs"""
"""amtoli jame masjid,new airport road,mohakhali""","""mohakhali"""
"""fish & co,bir uttam mir shawkat  sarak,gulshan 1""","""gulshan 1"""
"""pizza hut,sector 3,uttara""","""uttara"""
"""lucky star,block f,banani""","""banani"""
"""lupine,plot 297/d,road no 12,block c,basundhara r/a""","""basundhara r/a"""
"""asmani sadiq,654 & 655,block f,road 20,basundhara r/a""","""basundhara r/a"""
"""bandhan telecom,h45/c,pwd colony rd,jigatala""","""jigatala"""
"""line 10,block a,mirpur 10""","""mirpur 10"""
"""road 1,niketon housing society,gulshan""","""gulshan"""
"""interflg trading agency limited,sector 11,uttara""","""uttara"""
"""house 629,road 4,block h,basundhara""","""basundhara"""
"""abadil academy,road no 8,dakkhin badda,gulshan""","""gulshan"""
"""gaochia chistia store,adabor,mohammadpur""","""mohammadpur"""
"""fm zaman,h 21,rd 9 a,nikunja1""","""nikunja1"""
"""house 46,road 16,sector 11,uttara""","""uttara"""
"""sovereign,h 4,rd 18,banani""","""banani"""
"""ga house, alhaz abdus sobhan rd , bashundhara b, bashundhara r/a""","""bashundhara r/a"""
"""jigatola bus stand , satmasjid rd , dhanmondi""","""dhanmondi"""
"""sm khaled's home , block h , banani""","""banani"""
"""healthy food , vertex prominent , mohakhali""","""mohakhali"""
"""bangladesh eye hospital , sat masjid rd , dhanmondi""","""dhanmondi"""
"""home health medical services , section 1, mirpur""","""mirpur"""
"""7/4, block d, aurangzeb road , mohammadpur""","""mohammadpur"""
"""prof. dr. m.r. khan , residential area, dhanmondi""","""dhanmondi"""
"""titas pae international , house 484, road 32 , mohakhali dohs , mohakhali""","""mohakhali"""
"""house 4 ,road 9 , block g , banani , dhaka""","""dhaka"""
"""house 4 , road 9 , block g , banani , dhaka""","""dhaka"""
"""kobir super store  , gp 191/1 , tb gate rd , mohakhali""","""mohakhali"""
"""bangladesh laser skin center , green road , dhanmo""","""dhanmo"""
"""city consultancy ltd , h 13 /a/1, panthapath""","""panthapath"""
"""square hospital ltd , panthapath rd ,  kalabagan""","""kalabagan"""
"""house 28, road 16 , block b , banani , dhaka""","""dhaka"""
"""badda police station , road 17 , dakkhin badda , gulshan""","""gulshan"""
"""abc aparajita , road 07, block h , banani""","""banani"""
"""east hajipara , dhaka , bangladesh""","""bangladesh"""
"""h 15 , garden rd , west karwan bazar""","""west karwan bazar"""
"""h 1/f shafaet road maati properties , block c , bashundhara r/a""","""bashundhara r/a"""
"""dhaka cmh cancer center , matikata mirpur ecb""","""matikata mirpur ecb"""
"""comilla hotel  and restaurant , malibag college rd . malibagh bazar road , malibagh""","""malibagh"""
"""ahmad manzil , h 10 , circular rd , hatirpool""","""hatirpool"""
"""rd 4 , sector 13 , uttara""","""uttara"""
"""namira's burger world , arjatpara rd , mohakhali""","""mohakhali"""
"""delhi darbar mohakhali""","""delhi darbar mohakhali"""
"""the hanger project , 85 , road 8 , banani""","""banani"""
"""hazrat shahjalal international airport , dhaka mymensingh highway , hazrat shahjalal international airport , kurmitola""","""kurmitola"""
"""perfume , sector 6 , uttara""","""uttara"""
"""polash leather store , baitul mokarram rd , purana paltan""","""purana paltan"""
"""aster wood , residential area , dhanmondi""","""dhanmondi"""
"""mirpur road  , mukti housing , kallyanpur""","""kallyanpur"""
"""sena malancha , new airport rd , dhaka cantonment""","""dhaka cantonment"""
"""santinibash 78 ,  santinibas baf officers quarter internal rd , pashcim nakhalpara , sher  e  bangla nagar""","""sher  e  bangla nagar"""
"""19/11 , block b  , babor road , mohammadpur""","""mohammadpur"""
"""twenty park , 4 , road 3 , mukti housing , kallyanpur""","""kallyanpur"""
"""jessore pharma , road 19 , pallabi 2nd phase ( eastern housing ) , mirpur""","""mirpur"""
"""airport road , new airport road , kurmitola , sector 2""","""sector 2"""
"""32, road 11, section 2""","""section 2"""
"""baitul mamur jame masjid , school rd , east rampura""","""east rampura"""
"""angina medicine corner , h 1/2 , rd 2, adabor""","""adabor"""
"""shahjalal multi storied car parking , new airport rd""","""new airport rd"""
"""aloki , tejgaon  link road , niketon gulshan""","""niketon gulshan"""
"""hazrat shahjalal international airport  , dhaka mymensingh highway , hazrat shahjalal international airport , kurmitola""","""kurmitola"""
"""shahin hardy , mirpur rd, dhanmondi""","""dhanmondi"""
"""universal  international school""","""universal  international school"""
"""48 jafrabad , zafrabad, mohammadpur""","""mohammadpur"""
"""afghan grill ( chef's table ) , road 8/a , satmasjid road , dhanmondi""","""dhanmondi"""
"""rd 1, block b , pallabi""","""pallabi"""
"""dingi , residential area , dhanmondi""","""dhanmondi"""
"""70/d , dolphin goli, dhanmondi""","""dhanmondi"""
"""green line bus counter , panthapath , dhaka""","""dhaka"""
"""unimart express , united city , madani avenue , vatara""","""vatara"""
"""h 405 , aftab uddin ahmed rd  , block b , basundhara r/a""","""basundhara r/a"""
"""sks tower , mohakhali""","""mohakhali"""
"""talukdar store 2 , eastern housing main rd , block  b , pallabi""","""pallabi"""
"""shopon mamar cha , tsc mor, siddikbazar""","""siddikbazar"""
"""share ta office , gulshan 2, gulshan""","""gulshan"""
"""ab bank ltd atm , mirpur rd , darus salam""","""darus salam"""
"""miniso , banani , block g""","""block g"""
"""prokoushali sangshad ltd, block g , banani""","""banani"""
"""golden tulip the grandmark dhaka , block h, banani""","""banani"""
"""broast cafe , sector - 13 , uttara""","""uttara"""
"""padma garment , hatirjheel link rd , niketon""","""niketon"""
"""h ka 82/1 , rd 10 , baridhara dohs""","""baridhara dohs"""
"""jigatola medicare , rd 21 , mohakhali dohs""","""mohakhali dohs"""
"""bangladesh airlines training center , new airport rd""","""new airport rd"""
"""h 3/2/a , chandri charan bosh rd , wari""","""wari"""
"""582,60feet , mukti housing , dokkhin monipur""","""dokkhin monipur"""
"""geyohaat,sector 11,uttara""","""uttara"""
"""tasty treat panthapath , 44/9 , west panthapath""","""west panthapath"""
"""little einstein tutorial,road 6,block d,niketon""","""niketon"""
"""house 46 , road 12, sector 10, uttara""","""uttara"""
"""road no 3,section 6""","""section 6"""
"""princess palace beauty , h 6, rd 3, mirpur 10""","""mirpur 10"""
"""selim enterprise , h 1/9 , rupnagar rd , chayaneer housing society , pallabi""","""pallabi"""
"""ezzyr,road 8,block c,niketon""","""niketon"""
"""ncc bank ltd atm,station rd,kamalapur""","""kamalapur"""
"""indulg , gulshan 2, gulshan""","""gulshan"""
"""shanta, h19,rd 8,gulshan 1""","""gulshan 1"""
"""bahadur shah park ( victoria park ) , chitta ranjan avenue , bangla bazar , keraniganj subdistrict""","""keraniganj subdistrict"""
"""azad engineering workshop,kha 52,road 106,shahjadpur,badda""","""badda"""
"""airport masjid , new air port rd""","""new air port rd"""
"""7/1 , girls school  road , dhanmondi""","""dhanmondi"""
"""azimpur bus stand masjid,azimpur rd,azimpur""","""azimpur"""
"""sornolota,h 128,rd 4,block a,basundhara r/a""","""basundhara r/a"""
"""embassy of north korea , rd 23 , banani""","""banani"""
"""new airport bus stop  , dakshinkhan""","""dakshinkhan"""
"""amz hospital,shadhinota sarani,north badda""","""north badda"""
"""samorita pvt hospital , panthapath""","""panthapath"""
"""11/f , road no . 17 , basundhara r/a""","""basundhara r/a"""
"""brtc bus counter,mirpur rd,kallyanpur""","""kallyanpur"""
"""city bank atm , 60 feet rd , monipur , mirpur 2""","""mirpur 2"""
"""international centre for diarrhoeal disease research,bangladesh,mohakhaliu,mohakhali bazar road""","""mohakhali bazar road"""
"""uttar  tolarbag general store,darus salam rd,tolarbag,miprur 1""","""miprur 1"""
"""sardar studio , h 276 , muktijoddha abdul salam rd , fakirapool""","""fakirapool"""
"""house 431,road 6,dohs,mirpur""","""mirpur"""
"""baily ritz , 1 , new baily road , wireless , paltan""","""paltan"""
"""greenbee communication,road 9,block g,banani""","""banani"""
"""popular diagnostic centre , h 2 , ave 1 , mohammadia society , mirpur 10""","""mirpur 10"""
"""banani pharmacy, h 100,rd 11,banani""","""banani"""
"""north end cofee roasters,progoti shoroni,gulshan 2""","""gulshan 2"""
"""gp house , alhaz abdus sobhan rd, bashundhara , bashundhara r/a""","""bashundhara r/a"""
"""pasta mania bangladesh , kalachadpur , gulshan 2""","""gulshan 2"""
"""education consultancy ltd,70/b,pantha path,dhanmondi r/a""","""dhanmondi r/a"""
"""517/8, matabbar bari sharak , uttar kafrul , purba kazipara""","""purba kazipara"""
"""ma shahi fuchka and chotpoti house , islambag , lalbagh""","""lalbagh"""
"""aziza mistanno bhander,haricharan ray rd,faridabad""","""faridabad"""
"""capp and cinno restaurant , h 34, gareeb e newaz, ave , sector 11, , uttara""","""uttara"""
"""plot 216,h 217,rd 3,block b,basundhara r/a""","""basundhara r/a"""
"""green line bus counter , panthapath , dhaka""","""dhaka"""
"""yellow's kitchen , barek  mollah mor , mirpur""","""mirpur"""
"""665/2, 665/2 , ibrahimpur road , near kochukhet bazar , cantonment""","""cantonment"""
"""natunbag lohar gate,taltola rd,khilgaon""","""khilgaon"""
"""miss jayeda akter gong , h 148/ , 148/1 , crescent rd , kathalbagan""","""kathalbagan"""
"""hotel holiday inn,to satrasta,wireless,niketon""","""niketon"""
"""orbital edu care school , horinachala rd , kashmipur , 1751""","""1751"""
"""dhaka cmh cancer center , matikata , mirpur ecb""","""mirpur ecb"""
"""sipahibag club moor,sipahibag rd,khilgaon""","""khilgaon"""
"""meo , house 84 , block b , road 7 , block b , bashundhara r/a""","""bashundhara r/a"""
"""taqwa biryani house""","""taqwa biryani house"""
"""s. k villa , h 19 , rd 5 , banashree , rampura""","""rampura"""
"""raina gym & parlour , h 10 , begum rokeya sarani , monipuri para""","""monipuri para"""
"""h 480,shahid baki sarak,taltola,khilgaon""","""khilgaon"""
"""chefs table court side""","""chefs table court side"""
"""dhaka demra highway,gopibag,jatrabari""","""jatrabari"""
"""the holiday , residential area , dhanmondi""","""dhanmondi"""
"""pizza town cafe & resturant,sky view nazma tower,368/b,khilgaon""","""khilgaon"""
"""r.k fashion , h 67 , naya paltan rd , naya paltan""","""naya paltan"""
"""indian spicy & sea food,basundhara city,panthapath""","""panthapath"""
"""az digital furniture bd , borobag , mirpur""","""mirpur"""
"""mridus jail""","""mridus jail"""
"""fazilas fortune residence,block d,banasree""","""banasree"""
"""lotto-lee coper store , mirour 12 , mirpur cantonment""","""mirpur cantonment"""
"""jamiya islamiya darul ulum madaniya 312,jatrabari""","""jatrabari"""
"""nawabpur road,motijheel,gulshan""","""gulshan"""
"""aurora specialized hospital ltd , 19/1 , khulna trade square , kakrail , dhaka -1000""","""dhaka -1000"""
"""bagicha road,newtown r/a,green model town""","""green model town"""
"""shahjadpur bus stop""","""shahjadpur bus stop"""
"""h 14,rd 2,block a,banashree""","""banashree"""
"""tara medicine,,block e,banasree""","""banasree"""
"""h 168/1/b,jheelpar rd,khilgaon""","""khilgaon"""
