pickup point,last part
"""bailey vista, h 6 , siddheswari ln, siddheswari""","""siddheswari"""
"""nawab habibullah model school & college,shahjalal ave,sector 4,uttara""","""uttara"""
"""amicus, house 8, mymensingh road, paribagh, shahbagh""","""shahbagh"""
"""insaf barakah  kidney & general hospital , shahid tajuddin ahmed sarani , mogbazar""","""mogbazar"""
"""al amin house , h8, rd 1, block a, banashree""","""banashree"""
"""al hera jame masjid , pilkhana  rd , azimpur""","""azimpur"""
"""ratan kutir , h 146/1, new baily rd""","""new baily rd"""
"""kohinur general store , h 2/2, mirpur rd, lalmatia""","""lalmatia"""
"""misami bitopi , h 822/3 4 , begum rokeya sarani , west shewrapara""","""west shewrapara"""
"""mutual trust bank, airport  road, new airport road, kurmitola, sector 2""","""sector 2"""
"""h 16 , gopibag 3rd ln , gopibag""","""gopibag"""
"""house 80 , rd 12 , sector 10""","""sector 10"""
"""h 10/13, tajmahal rd , mohammadpur""","""mohammadpur"""
"""shantinagar bus stop""","""shantinagar bus stop"""
"""egol poribohon , dit road , wireless, mogbazar""","""mogbazar"""
"""aurelia, 8/q, road no. 2 , block d, basundhara r/a""","""basundhara r/a"""
"""uttor kafrul , poshchim kafrul""","""poshchim kafrul"""
"""zaheen knitwears  ltd , road 13c , block  e, banani""","""banani"""
"""molla general store , bochila rd, mohammadpur""","""mohammadpur"""
"""tahmina monjil, 209/1, 195 shantibag road, shantibagh, malibagh""","""malibagh"""
"""dhaka medicalhospital 2 , zahir raihan sarani, dhaka medical college""","""dhaka medical college"""
"""3rd class workers association of dmc, and medical store, sir sayed road ,fakirapool , siddikbazar""","""siddikbazar"""
"""ciam school,103,azimpur koborsthan road,nijhum residential area,hazaribagh""","""hazaribagh"""
"""salam summershine,residential area,dhanmondi""","""dhanmondi"""
"""hashi sushi,road 73,gulshan 2""","""gulshan 2"""
"""evercare hospital""","""evercare hospital"""
"""h 10 new/13 old,rd 5,dhanmondi""","""dhanmondi"""
"""asha moni store,lalmatia,mohammadpur""","""mohammadpur"""
"""rajlakshmi bus stopage ,uttara, service road, kurmitola ,sector 3""","""sector 3"""
"""universal music & time books , doctor goli, malibagh""","""malibagh"""
"""rd 7,eastern housing,pallabi 2nd phase""","""pallabi 2nd phase"""
"""sheltech sierra, 236, new elephant road""","""new elephant road"""
"""domestic terminal 9dac0,hazrat shahjalal international airport""","""hazrat shahjalal international airport"""
"""h 22, rd 3, nikunja 2""","""nikunja 2"""
"""kavazo , road 11, block h, banani""","""banani"""
"""lankan alliance finance limited,gulshan 1,gulshan""","""gulshan"""
"""nawab habibullah model school & college , shahjalal ave, sector 4 , uttara""","""uttara"""
"""school of intelligence,road 10/a,sector 11,uttara""","""uttara"""
"""voiya bari, 35/1/d/1, shakhari ngar lane , keraniganj subdisrrict""","""keraniganj subdisrrict"""
"""ciam school, 103, azimpur koborsthan road , nijhum residential area, hazaribag""","""hazaribag"""
"""germania holdings ltd,gulshan 2,gulshan""","""gulshan"""
"""mastermind abacus,road 07,sector 13,uttara""","""uttara"""
"""labaid cardiac centre , green road, dhanmondi""","""dhanmondi"""
"""salam summershine , residential area, dhanmondi""","""dhanmondi"""
"""new fresh food,abdullahpur atipara rd,goaltek,dakshinkhan""","""dakshinkhan"""
"""hashi sushi , road 73, gulshan 2.""","""gulshan 2."""
"""whiteshell it shop ,niharika concord tower, kamal ataturk avenue , block c, banani""","""banani"""
"""chayaneer housing society,dhaka bangladesh""","""dhaka bangladesh"""
"""h 10 new/13 old, rd 5, dhanmondi""","""dhanmondi"""
"""unitrend limited,banani dohs""","""banani dohs"""
"""tk bhaban ,kawran bazar masjid rd, kawran bazar""","""kawran bazar"""
"""asha moni store, lalmatia , mohammadpur""","""mohammadpur"""
"""kohinuir general store ,h 2/2, mirpur rd, lalmatia""","""lalmatia"""
"""h 39,rd 7,merul badda""","""merul badda"""
"""shawarma house dit,merul badda,badda""","""badda"""
"""durum-turkish doner(banani),road 11,block d,banani""","""banani"""
"""magnum management consulting,road 12,niketon,gulshan 1""","""gulshan 1"""
"""desco,vatara rd,natun bazar""","""natun bazar"""
"""shouva,ka 22/b,shahid fazlul haque rd,nadda""","""nadda"""
"""house a/9,al kamal housing,zoo road,mirpur,dhaka""","""dhaka"""
"""ibn sina medical college and hospital,kallyanpur""","""kallyanpur"""
"""ahn tower,bir uttam cr datta rd,hatirpool""","""hatirpool"""
"""shameem refrigeration works ltd,gulshan 1,gulshan""","""gulshan"""
"""pwd jame masjid,rajarbag""","""rajarbag"""
"""golap villa 1,37,road 10a,dhanmondi r/a""","""dhanmondi r/a"""
"""arong er goli,wireless,mogbazar""","""mogbazar"""
"""high park residence , h 99, viqarunnisa rd , shiddeswari""","""shiddeswari"""
"""j and j enterprise,house 144,khilbarirtek main road,vatara,dhaka 1212""","""dhaka 1212"""
"""mohammadia r/a main rd , prominent housing , mohammadpur""","""mohammadpur"""
"""house 14,road 6,sector 10,uttara""","""uttara"""
"""weat merul jame masjid ,west merul badda rd, merul badda""","""merul badda"""
"""ferns wood , 41 , raja bazar indira road , dhanmondi""","""dhanmondi"""
"""lake city concord,khilkhet""","""khilkhet"""
"""house 430, road 17 , block a, bashundhara r/a""","""bashundhara r/a"""
"""galaxy medicine cornee,1/1,section 2""","""section 2"""
"""ayesha villa,h 680,rd 12a,adabor""","""adabor"""
"""shohag tea store ,  sector 8 , uttara""","""uttara"""
"""beirut 99,235,road 13e,banani""","""banani"""
"""samir electronic, 445, 445/1, greenway road , wireless, mogbazar""","""mogbazar"""
"""ck maritime ltd , plot 836 , road 12 , avenew 3 , mirpur dohs""","""mirpur dohs"""
"""52/2, salim uddin market road, senpara parbata, ahmed nagar""","""ahmed nagar"""
"""orienta multi purpas co operative , footoverbridge, nijhum residential area, hazaribag""","""hazaribag"""
"""city bank atm, bir uttam mir shawkat sarak, tejgaon""","""tejgaon"""
"""ogsb hospital , block c, mirpur 13""","""mirpur 13"""
"""sattar vaban , h 32/3, rd 10 , janata housing ,mphammadpur""","""mphammadpur"""
"""vai vai cycle & hardware , rd 8 , shekhertek , mohammadpur""","""mohammadpur"""
"""aarong , lalmatia""","""lalmatia"""
"""15/3, mirertek road , wireless , mogbazar""","""mogbazar"""
"""mna barristers & advocates , suite 3b, h 7, rd 33, gulshan 1""","""gulshan 1"""
"""shahjadpur east south para rd , north badda""","""north badda"""
"""house 37, road  5, sector  10 , uttara""","""uttara"""
"""united seed dhaka , dhaka aricha highway , 1347""","""1347"""
"""aftab nogor main road. block c . 32 number building .5th floor of lift .""","""aftab nogor main road. block c . 32 number building .5th floor of lift ."""
"""green view , 385/4/a/b , free school street ,dhanmondi""","""dhanmondi"""
"""rangs malancha , west , dhanmondi""","""dhanmondi"""
"""h 231, satarkul rd , bawaila para, badda""","""badda"""
"""janata sorok""","""janata sorok"""
"""h 620, rd 19, block f, bashundhara r/a""","""bashundhara r/a"""
"""i care computer system , house 41/2/e/3 , hari charan ray road , faridabad , gendaria , dhaka 1204""","""dhaka 1204"""
"""h 366/6, rd 6, baridhara dohs""","""baridhara dohs"""
"""new janani engineering workshop , nabi nagar housing , mohammadpur""","""mohammadpur"""
"""g. prasanty , 10, road 3 , mukti housing , kallyanpur""","""kallyanpur"""
"""airport road , new airport road, kurmitola n, sector 2""","""sector 2"""
"""sohrawardy avenue,baridhara,gulshan""","""gulshan"""
"""27/26,block d,sher shah suri road,mohammadpur""","""mohammadpur"""
"""popular medical college outdoor , residential area , dhanmondi""","""dhanmondi"""
"""jamiya derachatul madrasa,h54,central rd,dhanmondi""","""dhanmondi"""
"""bank alfalah limited mirpur, house 1, kalsi road, block d, section 11, mirpur, dhaka 1216""","""dhaka 1216"""
"""medicare drug house , 433/a, south paikpara ,road 14 , block d , mukti housing , dokkhin paikpara""","""dokkhin paikpara"""
"""united hospital , rd 72, gulshan 2""","""gulshan 2"""
"""h d 6, outer circular rd , agb colony , motijheel""","""motijheel"""
"""banladesh film developement corporation (fdc),kawran bazar fdc road,wireless,nekatan""","""nekatan"""
"""airport masjid , new airport rd""","""new airport rd"""
"""kawla bus stop , new airport rd""","""new airport rd"""
"""bangladesh aqua zone,kataban road,nijhum residential area,hazaribagh""","""hazaribagh"""
"""kanu lal mistanno bhandar , h  105, mugdapara ,sabujbag""","""sabujbag"""
"""nasrin villa , h 6 ,masjider goli, adabor""","""adabor"""
"""nilima ladies tailors , h 34, rd 4, dhanmondi""","""dhanmondi"""
"""homeopathic foundation hospital& research center, kazipara, mirpur 10""","""mirpur 10"""
"""h 26/11,tajmahal rd,mohammadpur""","""mohammadpur"""
"""sabbir tea store , bosila , mohammadpur""","""mohammadpur"""
"""rony telecom,mosque road2,korail,mohakhali""","""mohakhali"""
"""ific bank limited ( rayer bazar sub-branch ), rayer bazar ,mohammadpur""","""mohammadpur"""
"""hsbc bank atm,west dhanmondi""","""west dhanmondi"""
"""salman""","""salman"""
"""police box,begum rokeya sharani,west kafrul,purba kazipara""","""purba kazipara"""
"""h 480, shahid baki sarak, taltola, khilgaon""","""khilgaon"""
"""ferdausi fashion , sector 9, uttara""","""uttara"""
"""apollo hospital basement masjid,h 81,sts ave,block e,bashundhara r/a""","""bashundhara r/a"""
"""h 49, rd 12, nikunja 2""","""nikunja 2"""
"""house 66,road 2,block a,niketan,gulshan""","""gulshan"""
"""national heart foundation (woman & child cardiac unit), tolarbag 1st  lane, dhaka""","""dhaka"""
