"location","address","area","city","longitude","latitude"
"""international centre for diarrhoeal disease research,bangladesh,mohakhaliu,mohakhali bazar road""","Institute of Epidemiology Disease Control And Research IEDCR, Mohakhali Bazar Road, Mohakhali, Dhaka","Mohakhali","Dhaka","90.4006771","23.7795529"
"""uttar  tolarbag general store,darus salam rd,tolarbag,miprur 1""","Tolarbag Water Tank, Lane 1, Tolarbagh, Mirpur, Dhaka","Mirpur","Dhaka","90.35348162","23.78735156"
"""ma shahi fuchka and chotpoti house , islambag , lalbagh""","Shahi Chotpoti & Fuchka, House  105/1/B, Golartek, Mirpur, Dhaka","Mirpur","Dhaka","90.34288790076971","23.79158770339104"
"""aziza mistanno bhander,haricharan ray rd,faridabad""","Kazi Office, House  56, Haricharan Ray Road, Faridabad, Gendaria, Dhaka","Gendaria","Dhaka","90.4213567044484","23.699523669165853"
"""665/2, 665/2 , ibrahimpur road , near kochukhet bazar , cantonment""","House  665/2, Ashi Dag Road, West Ibrahimpur, Ibrahimpur, Kafrul, Dhaka","Kafrul","Dhaka","90.3805109203085","23.79592139550743"
"""dhaka cmh cancer center , matikata , mirpur ecb""","Raiyan Car AC Center, ECB Chattar, Matikata, Dhaka Cantonment, Dhaka","Dhaka Cantonment","Dhaka","90.39128812704286","23.820986302901233"
"""taqwa biryani house""","Taqwa Biryani House, House  124, Distrillery Road, Murgitola, Gendaria, Dhaka","Gendaria","Dhaka","90.42154469142139","23.707441209519686"
"""mridus jail""","Centeral Jail Jame Masjid, Jail Road, Chawkbazar, Dhaka","Chawkbazar","Dhaka","90.39772868156433","23.717837714722606"
"""aurora specialized hospital ltd , 19/1 , khulna trade square , kakrail , dhaka -1000""","Aurora Specialized Hospital Limited, House  19/1, Kakrail Road, Kakrail, Dhaka","Kakrail","Dhaka","90.41044180000002","23.73927720000001"
"""shahjadpur bus stop""","Khushi, Eidgah Masjid Road, Shahjadpur Bus Stand, Shahjadpur, Dhaka","Shahjadpur","Dhaka","90.42535580177231","23.79217837995847"
"""h 315,khilgaon gulbag rd,shantibag""","House  B/315, Taltola, Khilgaon, Dhaka","Khilgaon","Dhaka","90.42284723371267","23.75410311403604"
"""home tower shopping center ,dhaka chittagong highway""","Home Tower Shopping Center, House  72, College Road, Muslim Nagar, South Matuail, Matuail, Dhaka","Matuail","Dhaka","90.46625383","23.69629838"
"""56, road 8/a , dhanmondi r /a""","MM Hossen, House  56, Road  8/A, Dhanmondi, Dhaka","Dhanmondi","Dhaka","90.37579211709112","23.7461293746563"
"""aarong gulshan , tejgaon gulshan link rd""","Aarong, House  204/B-5, Tejgaon Gulshan Link Road, Gulshan, Dhaka","Gulshan","Dhaka","90.41223172098398","23.771325188960233"
"""kuwaiti masjid , goli 6 , west nakhalpara""","Anwar Store, DNC 6, Banoful Goli, West Nakhalpara, Nakhalpara, Tejgaon, Dhaka","Tejgaon","Dhaka","90.39380351154517","23.766770399064704"
"""city plaza fulbaria super market ,moti sarder rd , fulbaria""","Bonggo Islamia Super Market, Fulbaria Road, Fulbaria, Dhaka","Fulbaria","Dhaka","90.40537","23.72348"
"""h 67 , atish dipankar rd , basabo""","Basabo Bus Stand, Atish Dipankar Road, Basabo, Dhaka","Basabo","Dhaka","90.42753909","23.73968238"
"""secret recipe mohakhali""","Secret Recipe, SKS Tower, Bir Uttam Ziaur Rahman Road, Mohakhali DOHS, Mohakhali, Dhaka","Mohakhali","Dhaka","90.39664950821869","23.778261867336198"
"""cafe tiffin box , chaya bithi'r goli , tikatuli""","Chaya Bithi'r Goli, Sutrapur, Dhaka","Sutrapur","Dhaka","90.4249654","23.72003035"
"""south badda jame masjid , bazar rd , south badda""","Sahaba Jame Masjid, South Badda, Badda, Dhaka","Badda","Dhaka","90.4191890358925","23.77348711054157"
"""89 sihrawardy avenue . road no. 11 baridhara""","House  89, Suhrawardy Avenue, Block K, Baridhara, Dhaka","Baridhara","Dhaka","90.42116984725","23.807924457927264"
"""norshindi pouroshova , norshindi sadar . norshindi""","Norshindi Road, Gulshan, Dhaka","Gulshan","Dhaka","90.41234135","23.784441"
"""airport rail station""","Gandaria Rail Station, Gendaria, Dhaka","Gendaria","Dhaka","90.42895764112473","23.701472151942966"
"""bonosri e block""","Block E, Block E, Lalmatia, Dhaka","Lalmatia","Dhaka","90.366368293762","23.754080647091"
"""shuvastu nagar valley , f/2, bir uttam rafiqul islam ave , shahjadpur""","House  Kha/2, Bir Uttam Rafiqul Islam Avenue, Shahjadpur, Dhaka","Shahjadpur","Dhaka","90.42302285183905","23.791877451051903"
"""arafis dine restaurant , joynogor gov . r/a , mirpur-13""","The Mughals Dine, Road 13/A, Banani, Dhaka","Banani","Dhaka","90.40332","23.79145"
"""paltan model police station,vip road""","Paltan Model Thana, VIP Road, Naya Paltan, Paltan, Dhaka","Paltan","Dhaka","90.41611253999996","23.73592363999999"
"""boss host bd,539/1,w nakhalpara rd,paschim nakhalpara""","House  539/1, Lane 8, West Nakhalpara, Nakhalpara, Tejgaon, Dhaka","Tejgaon","Dhaka","90.39459403224811","23.771324754740565"
"""ific bank limited,mridha bari road,shonir akhra,donia""","Premier Bank Limited Donia Branch, Akanda Villa, House  3, Noyapara, Shonir Akhra, Dhaka","Shonir Akhra","Dhaka","90.44991716","23.70269747"
"""shahin motors  , 58 , bnp bazar agargaon water tank road , taltola , poschim kafrul""","Shahin Motors, House  58, West Agargaon, Agargaon, Dhaka","Agargaon","Dhaka","90.37101966","23.77984529"
"""ena kingdom , 32 , girls school road dhanmindi""","Ena Kingdom, House  32, Lake Circus, Kalabagan, Dhaka","Kalabagan","Dhaka","90.3820993149629","23.750971088016197"
"""ismail arcade,house 27,road 14/a,dhanmondi,dhaka 1209""","Ismail Arcade, House  27, Road  14/A, Dhanmondi, Dhaka","Dhanmondi","Dhaka","90.37063334137201","23.750610859096668"
"""house 41/ 27, road 3b , mohammadia housing limited , mohammadour""","House  37, Road  3B, Mohammadia Housing, Mohammadpur, Dhaka","Mohammadpur","Dhaka","90.35289929","23.76069654000001"
"""islam pharma""","Islam Pharmacy, Sarulia, Demra, Dhaka","Demra","Dhaka","90.4977448146497","23.712433775326453"
"""salam tea store , west kafrul mirpur""","Green Tea Store, Salam Mansion, House  220/D, Begum Rokeya Sarani, West Kafrul, Kafrul, Dhaka","Kafrul","Dhaka","90.37719600079316","23.78715867448852"
"""admiral height , h 18/3 , biri rd , west rajabazar""","House  58/H, West Rajabazar, Rajabazar, Tejgaon, Dhaka","Tejgaon","Dhaka","90.38167967400784","23.75577199663202"
"""dhaka technical bus stop , begum rokeya sarani , kazipara""","Kazipara Bus Stand, Begum Rokeya Sarani, Kazipara, Mirpur, Dhaka","Mirpur","Dhaka","90.37182006897501","23.79914870543317"
"""banani 132/33 kv grid substation , block i""","Mirpur 132/33 kV Grid Substation, PGCB, Mirpur, Dhaka","Mirpur","Dhaka","90.3597248","23.8309394"
"""bangladesh bar council""","Bangladesh Bar Council, Topkhana Road, Segunbagicha, Dhaka","Segunbagicha","Dhaka","90.40365099906921","23.732879008949226"
"""shohag paribagh pvt . ltd , chowdhurypara , malibagh b""","House  8/B, Chowdhurypara, Malibagh, Dhaka","Malibagh","Dhaka","90.41579337055651","23.750143741681605"
"""hashim toweer""","Hashim Tower, House  205/1/A, Gulshan Tejgaon Link Road, Tejgaon, Dhaka","Tejgaon","Dhaka","90.41159469953334","23.77148876169109"
"""intraco cng station,rd 9,block a,mirpurr 12""","Intraco CNG And LPG, Begum Rokeya Sarani, Block C, Section 12, Mirpur, Dhaka","Mirpur","Dhaka","90.36429455555287","23.828616018602446"
"""c 22, road 3 , mohanagar housing project""","House  22, Road  3, Block C, Mohanagar Project, Rampura, Dhaka","Rampura","Dhaka","90.41471511125565","23.764240249590447"
"""tangail chamcham misti ghor , h 180 /d , goran sipahibag rd , goran""","Gazi Shorbot And Moshla Ghor, House  180, North Goran, Goran, Dhaka","Goran","Dhaka","90.4332463034462","23.74830013301392"
"""monir hossain lane , gopibag, kulutola""","Narinda Monir Hossain Lane, Gendaria, Dhaka","Gendaria","Dhaka","90.41901331","23.71135223"
"""panda dumplings , hosna center , gulshan avenue""","Panda Dumplings, Hosna Center, House  106, Gulshan Avenue, Gulshan 2, Gulshan, Dhaka","Gulshan","Dhaka","90.4168320462714","23.788032382020788"
"""h ka 31,old ka 11/1,beribadh rd,nukunja 2""","House  KA-31, Road  10, Nikunja 2, Nikunja, Dhaka","Nikunja","Dhaka","90.4143650829792","23.832225929243492"
"""a k m kniw wear ltd,dhaka aricha highway,nobinagar 1340""","M & U Cycles Ltd, Block K, Baridhara, Dhaka","Baridhara","Dhaka","90.4216314","23.8048461"
"""national heart foundation hospital & research institute , mirpur 2  main rd""","National Heart Foundation Hospital, Mirpur, Dhaka","Mirpur","Dhaka","90.3534094","23.7885487"
"""bagan bari goli , rayer bazar""","Bagan Bari Goli, Hazaribagh, Dhaka","Hazaribagh","Dhaka","90.36115784","23.74554526"
"""kpmlapur railway station dhaka""","Kamlapur Railway Station (Dhaka Railway Station), Outer Circular Road, Kamlapur, Dhaka","Kamlapur","Dhaka","90.42592419657514","23.732037781564763"
