location, address, area, city, longitude, latitude
""BURGER SHOP DHANMONDI"", "American Burger Dhanmondi Outlet, Road 7, Dhanmondi, Dhaka", "Dhanmondi", "Dhaka", "90.38252", "23.74468"
""NEW AIRPORT RD"", "Import Cargo Terminal, Hazrat Shahjalal International Airport, New Airport Road, Biman Bandar, Dhaka", "Biman Bandar", "Dhaka", "90.4000888788176", "23.854977223857606"
""WEST DHOLAIPAR"", "East Dholaipar Kacha Bazar, East Dholairpar Bazar, East Dholairpar, Dholairpar, Dhaka", "Dholairpar", "Dhaka", "90.43857639819538", "23.702941472394393"
""MIRPUR DOHS"", "Mirpur DOHS, Mirpur DOHS, Mirpur, Dhaka", "Mirpur", "Dhaka", "90.369999116958", "23.83729875602"
""KHAJE DEWAN"", "Khaje Dewan Shahi Masjid, Khaje Dewan, Lalbagh, Dhaka", "Lalbagh", "Dhaka", "90.39185296744108", "23.721805698317283"
""GABTALI"", "Gabtali Branch, 1St Colony, Gabtoli, Mirpur, Dhaka", "Mirpur", "Dhaka", "90.3458786027486", "23.784364702820614"
""GULSHAN 1"", "Gulshan 1, Gulshan 1, Gulshan, Dhaka", "Gulshan", "Dhaka", "90.41687965393066", "23.780239574826812"
""TIKATULI"", "Tikatuli, Tikatuli, Dhaka", "Tikatuli", "Dhaka", "90.42268303", "23.71859325"
""DHAKA 1229"", "House  1229, Ekushey Sarak, Uttarpara, Khilkhet, Dhaka", "Khilkhet", "Dhaka", "90.42463750697925", "23.8351995406575"
""SHAHJADPUR"", "Shahjadpur, Shahjadpur, Dhaka", "Shahjadpur", "Dhaka", "90.42455715", "23.7920764"
""PALTAN"", "Paltan Dental Care, Paltan Tower, House  87, Purana Paltan Line, Purana Paltan, Paltan, Dhaka", "Paltan", "Dhaka", "90.41178623715581", "23.733473140007817"
""MALIBAGHG"", "Tailors, Maibagh Railgate Road, Malibagh, Dhaka", "Malibagh", "Dhaka", "90.41358439012419", "23.749458379611777"
""TAJMAHAL ROAD"", "KFC Tajmahal Road, House  Z/20, Tajmahal Road, Mohammadpur, Dhaka", "Mohammadpur", "Dhaka", "90.3619205", "23.7631387"
""SECTOR 2"", "Sector 2, Sector 2, Purbachal, Dhaka", "Purbachal", "Dhaka", "90.505628585815", "23.835247690773"
""nayatola"", "Khan Villa, House  543/A/1, Nayatola Road, Nayatola, Mogbazar, Ramna, Dhaka", "Ramna", "Dhaka", "90.4083931", "23.754427599999957"
""gulshan"", "Gulshan 1, Gulshan 1, Gulshan, Dhaka", "Gulshan", "Dhaka", "90.41687965393066", "23.780239574826812"
""bashundhara r/a"", "House  554,555, Road  23, Block L, Bashundhara R/A, Dhaka", "Bashundhara R/A", "Dhaka", "90.44770081292165", "23.82153768610095"
""KURMITOLA SECTOR 2"", "BOQ 2, Kurmitola Air Base, Dhaka Cantonment, Dhaka", "Dhaka Cantonment", "Dhaka", "90.39949139999999", "23.830718800000017"
