Unique ID,Timestamp,Device Name,Pickup Coordinates,Destination Coordinates,Start Location Name,End Location Name,Info,Image Name
1a1d0eb1-52b3-47bd-8e70-bd7b0b5cc393,2025-03-13 15:27:28,R58T33M77TL,"""(23.81393935530772, 90.43990143820922)""","""(23.807155285333046, 90.40948763341457)""",jatrabari mor,science lab over brg,"Moto Saver,Fare BDT 112.05,driver is 3 minutes away,estimated capacity 1",R58T33M77TL_images/R58T33M77TL_uberx_route_4_20250313_152726.png
e1208f95-394f-4293-ac2a-2dc09ae2f6b1,2025-03-13 15:28:05,R58T33M77TL,"""(23.719767493712958, 90.48359000256355)""","""(23.826699416898393, 90.43266230373557)""",dhanmondi 15 bus stand,agargaon circle,"selected,CNG,Fare BDT 202.44,Estimated drop-off: 15:55, driver is 2 minutes away",R58T33M77TL_images/R58T33M77TL_uberx_route_5_20250313_152803.png
e1208f95-394f-4293-ac2a-2dc09ae2f6b1,2025-03-13 15:28:05,R58T33M77TL,"""(23.719767493712958, 90.48359000256355)""","""(23.826699416898393, 90.43266230373557)""",dhanmondi 15 bus stand,agargaon circle,"Moto,Fare   BDT 97.45,Discounted from BDT 104.78,Estimated drop-off: 15:54, driver is 1 minutes away,estimated capacity 1,Faster",R58T33M77TL_images/R58T33M77TL_uberx_route_5_20250313_152803.png
e1208f95-394f-4293-ac2a-2dc09ae2f6b1,2025-03-13 15:28:05,R58T33M77TL,"""(23.719767493712958, 90.48359000256355)""","""(23.826699416898393, 90.43266230373557)""",dhanmondi 15 bus stand,agargaon circle,"UberX,Fare BDT 271.19,Estimated drop-off: 15:55, driver is 2 minutes away",R58T33M77TL_images/R58T33M77TL_uberx_route_5_20250313_152803.png
e1208f95-394f-4293-ac2a-2dc09ae2f6b1,2025-03-13 15:28:05,R58T33M77TL,"""(23.719767493712958, 90.48359000256355)""","""(23.826699416898393, 90.43266230373557)""",dhanmondi 15 bus stand,agargaon circle,"Moto Saver,Fare BDT 90.33,driver is 2 minutes away,estimated capacity 1",R58T33M77TL_images/R58T33M77TL_uberx_route_5_20250313_152803.png
e1208f95-394f-4293-ac2a-2dc09ae2f6b1,2025-03-13 15:28:05,R58T33M77TL,"""(23.719767493712958, 90.48359000256355)""","""(23.826699416898393, 90.43266230373557)""",dhanmondi 15 bus stand,agargaon circle,"Premier,Fare BDT 313.54,Estimated drop-off: 15:55, driver is 2 minutes away",R58T33M77TL_images/R58T33M77TL_uberx_route_5_20250313_152803.png
83e27df3-b5bf-4df4-a424-0b3f5a63e551,2025-03-13 15:28:41,R58T33M77TL,"""(23.882388743436206, 90.38390237599464)""","""(23.893728149754924, 90.32831284299287)""",mirpur -10,dhaka new market,"selected,CNG,Fare BDT 321.53,Estimated drop-off: 16:36, driver is 2 minutes away,Faster",R58T33M77TL_images/R58T33M77TL_uberx_route_6_20250313_152839.png
83e27df3-b5bf-4df4-a424-0b3f5a63e551,2025-03-13 15:28:41,R58T33M77TL,"""(23.882388743436206, 90.38390237599464)""","""(23.893728149754924, 90.32831284299287)""",mirpur -10,dhaka new market,"UberX,Fare BDT 460.30,Estimated drop-off: 16:36, driver is 2 minutes away",R58T33M77TL_images/R58T33M77TL_uberx_route_6_20250313_152839.png
83e27df3-b5bf-4df4-a424-0b3f5a63e551,2025-03-13 15:28:41,R58T33M77TL,"""(23.882388743436206, 90.38390237599464)""","""(23.893728149754924, 90.32831284299287)""",mirpur -10,dhaka new market,"Moto,Fare   BDT 156.99,Discounted from BDT 168.81,Estimated drop-off: 16:36, driver is 2 minutes away,estimated capacity 1",R58T33M77TL_images/R58T33M77TL_uberx_route_6_20250313_152839.png
83e27df3-b5bf-4df4-a424-0b3f5a63e551,2025-03-13 15:28:41,R58T33M77TL,"""(23.882388743436206, 90.38390237599464)""","""(23.893728149754924, 90.32831284299287)""",mirpur -10,dhaka new market,"Moto Saver,Fare BDT 146.67,driver is 2 minutes away,estimated capacity 1",R58T33M77TL_images/R58T33M77TL_uberx_route_6_20250313_152839.png
83e27df3-b5bf-4df4-a424-0b3f5a63e551,2025-03-13 15:28:41,R58T33M77TL,"""(23.882388743436206, 90.38390237599464)""","""(23.893728149754924, 90.32831284299287)""",mirpur -10,dhaka new market,"UberXL,Fare BDT 883.66,Estimated drop-off: 16:38, driver is 4 minutes away",R58T33M77TL_images/R58T33M77TL_uberx_route_6_20250313_152839.png
ae36fe31-8e5d-48b2-8677-58832620e4b6,2025-03-13 15:29:17,R58T33M77TL,"""(23.899469169376644, 90.37779349858235)""","""(23.795403847975553, 90.41389175764485)""",tsc circle,dhaka uddan housing,"selected,Intercity,Fare BDT 5,571.59,estimated drop-off 18:10,Longer wait",R58T33M77TL_images/R58T33M77TL_uberx_route_7_20250313_152915.png
ae36fe31-8e5d-48b2-8677-58832620e4b6,2025-03-13 15:29:17,R58T33M77TL,"""(23.899469169376644, 90.37779349858235)""","""(23.795403847975553, 90.41389175764485)""",tsc circle,dhaka uddan housing,"Moto [Moulouvibazar],Fare BDT 786-1,044,estimated capacity 1,Longer wait",R58T33M77TL_images/R58T33M77TL_uberx_route_7_20250313_152915.png
47d4a8d1-f5e3-4167-8d2d-fe7ac170ad6e,2025-03-13 15:30:59,R58T33M77TL,"""(23.732566513200094, 90.4655500002764)""","""(23.857642940030594, 90.3046854101442)""",dhanmondi 15 bus stand,banani,"selected,CNG,Fare BDT 291.65,Estimated drop-off: 16:23, driver is 2 minutes away",R58T33M77TL_images/R58T33M77TL_uberx_route_10_20250313_153057.png
47d4a8d1-f5e3-4167-8d2d-fe7ac170ad6e,2025-03-13 15:30:59,R58T33M77TL,"""(23.732566513200094, 90.4655500002764)""","""(23.857642940030594, 90.3046854101442)""",dhanmondi 15 bus stand,banani,"Moto,Fare   BDT 158.96,Discounted from BDT 170.92,Estimated drop-off: 16:22, driver is 1 minutes away,estimated capacity 1,Faster",R58T33M77TL_images/R58T33M77TL_uberx_route_10_20250313_153057.png
47d4a8d1-f5e3-4167-8d2d-fe7ac170ad6e,2025-03-13 15:30:59,R58T33M77TL,"""(23.732566513200094, 90.4655500002764)""","""(23.857642940030594, 90.3046854101442)""",dhanmondi 15 bus stand,banani,"UberX,Fare BDT 409.38,Estimated drop-off: 16:22, driver is 1 minutes away",R58T33M77TL_images/R58T33M77TL_uberx_route_10_20250313_153057.png
