File Name,Price,Current Time,ETA Time
uberx_route_203.png,460.03,Not found,2:20pm - 4 min away
uberx_route_204.png,208.95,1:32,1:53pm - 4 min away
uberx_route_205.png,162.48,1:33,1:43pm - 3 min away
uberx_route_206.png,439.03,Not found,2:20pm - 3 min away
uberx_route_207.png,Not found,1:34,Not found
uberx_route_208.png,359.39,Not found,2:09pm - 3 min away
uberx_route_209.png,369.71,Not found,2:18pm -3 min away
uberx_route_21.png,323.09,11:02,11:32am -2 min away
uberx_route_210.png,Not found,1:36,Not found
uberx_route_211.png,252.34,1:37,1:59pm - 4 min away
uberx_route_212.png,500.62,1:37,2:27pm -3 min away
uberx_route_213.png,482.14,1:38,2:25pm - 3 min away
uberx_route_214.png,Not found,1:38,Not found
uberx_route_215.png,514.82,1:39,2:24pm - 2 min away
uberx_route_216.png,484.60,1:40,2:20pm - 2 min away
uberx_route_217.png,570.18,1:40,2:37pm -2 min away
uberx_route_218.png,524.54,1:41,2:35pm - 3 min away
uberx_route_219.png,561.19,1:42,2:41pm -3 min away
uberx_route_22.png,189.56,11:03,11:15am -2 min away
uberx_route_220.png,608.64,1:43,2:47pm -3 min away
uberx_route_221.png,642.46,1:43,3:03pm - 3 min away
uberx_route_222.png,637.04,1:44,3:12pm - 2 min away
uberx_route_223.png,517.75,1:45,2:30pm - 3 min away
uberx_route_224.png,469.59,Not found,2:40pm - 3 min away
uberx_route_225.png,448.06,1:46,2:27pm -2 min away
uberx_route_226.png,Not found,Not found,2:21pm -3 min away
uberx_route_227.png,Not found,1:48,2:21pm -3 min away
uberx_route_228.png,219.80,4:48,2:09pm - 3 min away
uberx_route_229.png,Not found,1:49,Not found
uberx_route_23.png,336.19,11:03,11:34am -2 min away
uberx_route_230.png,Not found,1:50,Not found
uberx_route_231.png,Not found,1:50,Not found
uberx_route_232.png,Not found,Not found,Not found
uberx_route_233.png,386.08,1:51,2:21pm -3 min away
uberx_route_234.png,240.28,1:52,2:12pm - 3 min away
uberx_route_235.png,Not found,Not found,Not found
uberx_route_236.png,Not found,1:54,Not found
uberx_route_237.png,Not found,1:54,Not found
uberx_route_238.png,Not found,1:55,Not found
uberx_route_239.png,506.18,1:56,2:40pm - 3 min away
uberx_route_24.png,250.67,11:04,11:27am - 2 min away
uberx_route_240.png,510.32,1:56,2:38pm - 2 min away
uberx_route_241.png,492.16,1:57,2:35pm - 2 min away
uberx_route_242.png,592.07,1:58,2:49pm - 2 min away
uberx_route_243.png,551.80,1:58,2:53pm - 2 min away
uberx_route_244.png,Not found,1:59,Not found
uberx_route_245.png,538.68,2:00,2:50pm - 2 min away
uberx_route_246.png,532.95,2:02,2:53pm - 2 min away
uberx_route_247.png,Not found,2:03,Not found
uberx_route_248.png,545.52,2:04,2:54pm - 2 min away
uberx_route_249.png,500.45,2:05,2:44pm - 2 min away
uberx_route_25.png,324.37,Not found,11:33am - 4 min away
uberx_route_250.png,605.07,2:05,3:07pm - 2 min away
uberx_route_251.png,327.30,Not found,2:35pm - 2 min away
uberx_route_252.png,Not found,2:07,2:13pm -2 min away
uberx_route_253.png,Not found,2:08,Not found
uberx_route_254.png,533.62,2:09,3:06pm - 3 min away
uberx_route_255.png,471.52,2:10,2:58pm - 3 min away
uberx_route_256.png,Not found,Not found,Not found
uberx_route_257.png,342.36,Not found,2:44pm - 2 min away
uberx_route_258.png,313.67,2:12,2:41pm - 2 min away
uberx_route_259.png,Not found,2:13,Not found
uberx_route_26.png,Not found,1:05,11:45am - 4 min away
uberx_route_260.png,448.99,2:14,2:54pm - 2 min away
uberx_route_261.png,Not found,2:15,Not found
uberx_route_262.png,205.81,2:15,2:32pm - 2 min away
uberx_route_263.png,286.47,Not found,2:45pm - 2 min away
uberx_route_264.png,Not found,Not found,Not found
uberx_route_265.png,Not found,Not found,Not found
uberx_route_266.png,408.57,Not found,3:00pm -1 min away
uberx_route_267.png,307.75,2:19,2:53pm -1 min away
uberx_route_268.png,398.26,Not found,3:01pm - 1 min away
uberx_route_269.png,260.93,2:20,2:44pm - 2 min away
uberx_route_27.png,Not found,11:06,Not found
uberx_route_270.png,444.91,2:21,3:17pm -1 min away
uberx_route_271.png,Not found,2:22,Not found
uberx_route_272.png,510.61,2:23,3:28pm - 1 min away
uberx_route_273.png,542.50,2:24,3:38pm - 1 min away
uberx_route_274.png,199.32,2:24,2:41pm - 2 min away
uberx_route_275.png,Not found,Not found,Not found
uberx_route_276.png,333.87,Not found,2:55pm - 2 min away
uberx_route_277.png,Not found,2:26,3:03pm - 5 min away
uberx_route_278.png,Not found,2:27,Not found
uberx_route_279.png,388.60,Not found,3:00pm - 1 min away
uberx_route_28.png,Not found,11:07,Not found
uberx_route_280.png,537.54,2:29,3:30pm -1 min away
uberx_route_281.png,Not found,Not found,Not found
uberx_route_282.png,Not found,2:30,Not found
uberx_route_283.png,Not found,2:32,Not found
uberx_route_284.png,Not found,2:32,Not found
uberx_route_285.png,226.83,Not found,2:53pm - 2 min away
uberx_route_286.png,Not found,2:34,Not found
uberx_route_287.png,628.80,2:35,3:31pm -1 min away
uberx_route_288.png,Not found,Not found,Not found
uberx_route_289.png,Not found,2:37,Not found
uberx_route_29.png,Not found,Not found,Not found
uberx_route_290.png,Not found,Not found,3:17pm -1 min away
uberx_route_3.png,255.87,10:49,11:12am - 4 min away
uberx_route_30.png,162.48,11:09,11:19am - 3 min away
uberx_route_31.png,355.80,11:09,11:36am -2 min away
uberx_route_32.png,Not found,Not found,Not found
uberx_route_33.png,399.52,11:10,11:52am -3 min away
uberx_route_34.png,Not found,11:11,Not found
uberx_route_35.png,Not found,11:12,Not found
uberx_route_36.png,181.06,Not found,11:28am - 3 min away
uberx_route_37.png,266.55,11:13,11:35am -3 min away
uberx_route_38.png,248.32,11:14,11:33am -3 min away
uberx_route_39.png,Not found,14:14,11:41am -3 min away
