Start Coordinates,End Coordinates
"23.7361, 90.4115","23.7271, 90.3841"
"23.7361, 90.4115","23.7363, 90.3791"
"23.7361, 90.4115","23.7664, 90.4071"
"23.7361, 90.4115","23.7689, 90.4283"
"23.7361, 90.4115","23.7451, 90.3676"
"23.7361, 90.4115","23.7304, 90.4226"
"23.7361, 90.4115","23.7527, 90.4271"
"23.7361, 90.4115","23.7409, 90.4116"
"23.7361, 90.4115","23.7163, 90.4162"
"23.7361, 90.4115","23.8288, 90.4269"
"23.7361, 90.4115","23.8712, 90.379"
"23.7361, 90.4115","23.7045, 90.4042"
"23.7361, 90.4115","23.7681, 90.3526"
"23.7361, 90.4115","23.7786, 90.4265"
"23.7361, 90.4115","23.8125, 90.4341"
"23.7604, 90.3919","23.7806365, 90.4193257"
"23.7604, 90.3919","23.7915995, 90.4167872"
"23.7604, 90.3919","23.793584, 90.404194"
"23.7604, 90.3919","23.810331, 90.426283"
"23.7604, 90.3919","23.875854, 90.379249"
"23.7604, 90.3919","23.803072, 90.353491"
"23.7604, 90.3919","23.824086, 90.365407"
"23.7604, 90.3919","23.750942, 90.367135"
"23.7604, 90.3919","23.751634, 90.367504"
"23.7604, 90.3919","23.733664, 90.416993"
