Unnamed: 0,Pickup Point,Pickup Area
1896,"ADPERIENCE LTD , HOUSE 137 , LANE 4 , MOHAKHALI DOHS , MOHAKHALI",Mohakhali
1898,"TENEMENT 1, H 301/A, RD 6 , BLOCK E, BASHUNDHARA R/A",Bashundhara R/A
1899,"LAKE BREEZE , 34, ROAD 104 , GULSHAN 2 ,GULSHAN",Gulshan
1900,"CP FIVE STAR - FASHION PARADISE , ROAD 20, SECTOR 11, UTTARA",Uttara
1901,"PREMIER BANK PANTHAPATH , BIR UTTAM KAZI NURUZZAMAN ROAD, WEST PANTHAPATH , PANTHAPATH",Panthapath
1903,"ZAHID MANSION , 42, ROAD # 2, BLOCK C , BASHUNDHARA R/A",Bashundhara R/A
1910,"H 44, MADRASA RD LN , METROPOLITON COOOPERATIVE HOUSING SOCIETY , MOHAMMADPUR",Mohammadpur
1916,"FITMENT CRAFT,MIRPUR DOHS",Mirpur
1917,"AMTOLI JAME MASJID,NEW AIRPORT ROAD,MOHAKHALI",Mohakhali
1919,"FISH & CO,BIR UTTAM MIR SHAWKAT  SARAK,GULSHAN 1",Gulshan
1920,"PIZZA HUT,SECTOR 3,UTTARA",Uttara
1921,"LUCKY STAR,BLOCK F,BANANI",Banani
1922,"LUPINE,PLOT 297/D,ROAD NO 12,BLOCK C,BASUNDHARA R/A",Bashundhara
1923,"ASMANI SADIQ,654 & 655,BLOCK F,ROAD 20,BASUNDHARA R/A",Bashundhara
1926,"ROAD 1,NIKETON HOUSING SOCIETY,GULSHAN",Gulshan
1928,"INTERFLG TRADING AGENCY LIMITED,SECTOR 11,UTTARA",Uttara
1930,"ABADIL ACADEMY,ROAD NO 8,DAKKHIN BADDA,GULSHAN",Gulshan
1931,"GAOCHIA CHISTIA STORE,ADABOR,MOHAMMADPUR",Mohammadpur
1933,"HOUSE 46,ROAD 16,SECTOR 11,UTTARA",Uttara
1934,"SOVEREIGN,H 4,RD 18,BANANI",Banani
1935,"GA HOUSE, ALHAZ ABDUS SOBHAN RD , BASHUNDHARA B, BASHUNDHARA R/A",Bashundhara R/A
1936,"JIGATOLA BUS STAND , SATMASJID RD , DHANMONDI",Dhanmondi
1938,"SM KHALED'S HOME , BLOCK H , BANANI",Banani
1939,"HEALTHY FOOD , VERTEX PROMINENT , MOHAKHALI",Mohakhali
1941,"BANGLADESH EYE HOSPITAL , SAT MASJID RD , DHANMONDI",Dhanmondi
1944,"HOME HEALTH MEDICAL SERVICES , SECTION 1, MIRPUR",Mirpur
1945,"7/4, BLOCK D, AURANGZEB ROAD , MOHAMMADPUR",Mohammadpur
1946,"PROF. DR. M.R. KHAN , RESIDENTIAL AREA, DHANMONDI",Dhanmondi
1947,"TITAS PAE INTERNATIONAL , HOUSE 484, ROAD 32 , MOHAKHALI DOHS , MOHAKHALI",Mohakhali
1951,"KOBIR SUPER STORE  , GP 191/1 , TB GATE RD , MOHAKHALI",Mohakhali
1954,"CITY CONSULTANCY LTD , H 13 /A/1, PANTHAPATH",Panthapath
1955,"SQUARE HOSPITAL LTD , PANTHAPATH RD ,  KALABAGAN",Kalabagan
1957,"BADDA POLICE STATION , ROAD 17 , DAKKHIN BADDA , GULSHAN",Gulshan
1958,"ABC APARAJITA , ROAD 07, BLOCK H , BANANI",Banani
1959,"EAST HAJIPARA , DHAKA , BANGLADESH",Agargaon
1961,"H 1/F SHAFAET ROAD MAATI PROPERTIES , BLOCK C , BASHUNDHARA R/A",Bashundhara R/A
1963,"COMILLA HOTEL  AND RESTAURANT , MALIBAG COLLEGE RD . MALIBAGH BAZAR ROAD , MALIBAGH",Malibagh
1965,"RD 4 , SECTOR 13 , UTTARA",Uttara
1966,"NAMIRA'S BURGER WORLD , ARJATPARA RD , MOHAKHALI",Mohakhali
1969,"THE HANGER PROJECT , 85 , ROAD 8 , BANANI",Banani
1973,"PERFUME , SECTOR 6 , UTTARA",Uttara
1975,"ASTER WOOD , RESIDENTIAL AREA , DHANMONDI",Dhanmondi
1986,"19/11 , BLOCK B  , BABOR ROAD , MOHAMMADPUR",Mohammadpur
1988,"JESSORE PHARMA , ROAD 19 , PALLABI 2ND PHASE ( EASTERN HOUSING ) , MIRPUR",Mirpur
2002,"32, ROAD 11, SECTION 2",Mirpur
2005,"SHAHJALAL MULTI STORIED CAR PARKING , NEW AIRPORT RD",Biman Bandar
