Location Name,Address,Classified Area
NR TOURS & TRAVELS,"Sector 4, Uttara",Uttara
METRO PROPERTIES LIMITED,"Road 36, Gulshan 2, Gulshan",Gulshan
SHOHAH MANZIL,"KA 86/A, Rd 12, Baridhara DOHS",Baridhara
GULEV JANNAT ARIFABAD MAHILA MADRASA,"I/10, Arifabad Housing Road, Extended Pallabi, Mirpur",Mirpur
CAFE HUNGRY BITES,"Satmasjid Rd, Jigatola",Jigatola
"H18, MAIN RD, SOUTH BANASHREE PROJECT","Main Rd, South Banashree Project",Banashree
HEAVEN SALON,"77, Road 17A, Banani",Banani
DUTCH BANGLA BANK LIMITED,"Shyamoli Road No 2, Shyamoli Complex, Shyamoli",Shyamoli
EMON MAHMUD,"House 1, Road 7, Block B, Rajmoni Tower, Nobodoy Housing",Mohammadpur
RAJMONI TOWER,"Green Road, Dhanmondi",Dhanmondi
UNIQUE DIAGNOSTIC CENTER,"H 146, Rd 8, Block D, Bashundhara R/A",Bashundhara
RELIANCE BUILDING,"Shahid Buddijibi Munir Chowdhury Road, Dhanmondi",Dhanmondi
SHAHID BUDDIJIBI MUNIR CHOWDHURY ROAD,"Sector 7, Uttara",Uttara
METLIFE ALICO (KADER AGENCY),"Shyamoli, Mohammadpur",Mohammadpur
SUMON TEA STORE,"H 662, Rd 20, Block F, Bashundhara R/A",Bashundhara
"H 662, RD 20, BLOCK F","Commerce College Road, Section 2",Section 2
MUKTA PHARMACY,"40/B2, Sylheti Para Road, Maneshwar, Hazaribag",Hazaribag
DR CHADAT ULLAH NATIONAL SCHOOL,"236, New Elephant Road",Elephant Road
SHELTECH SIERRA,"111, Road 4, Block C, Bashundhara R/A",Bashundhara
KHUSHBU,"R K Mission Rd, Gopibag",Gopibag
APURUPA HAIR STYLE,"423, South Paikpara, Garden View Road, Mukti Housing, Dakshin Paikpara",Mirpur
KOMIKA NID MAHAL,"H 8, Rd 30, Dhanmondi",Dhanmondi
"H 8 , RD 30, DHANMONDI","Jahurul Islam Ave, Merul Badda",Badda
MUTUAL TRUST BANK,"H 93/1, Rd 8, Niketon",Niketon
SPICY CHICKEN RESTAURANT,"Jagannath University, Atish Deoankar Road, Moddho Bashabo, Shahjahanpur",Bashabo
"H 93/1 , RD 8","Sector 12, Uttara",Uttara
PROJONMO BUS STOP,"Siddheswari Ln, Siddheshwari",Siddheshwari
NASIM ENTERPRISE,"House 8, Mymensingh Road, Paribagh, Shahbagh",Paribagh
BAILEY VISTA,"H 8, Rd 1, Block A, Banashree",Banashree
AMICUS,"Mirpur Rd, Lalmatia",Lalmatia
AL AMIN HOUSE,"New Airport Road, Kurmitola, Sector 2",Biman Bandar
RATAN KUTIR,"House 80, Rd 12, Sector 10",Uttara
KOHINUR GENERAL STORE,"Shantibagh, Malibagh",Malibagh
"HOUSE 80, RD 12, SECTOR 10","209/1, 195 Shantibagh Road, Shantibagh, Malibagh",Malibagh
SHANTINAGAR BUS STOP,"Zahir Raihan Sarani, Dhaka Medical College",Dhaka Medical College
TAHMINA MANZIL,"Doctor Goli, Malibagh",Malibagh
DHAKA MEDICAL HOSPITAL 2,"Mirpur, DOHS Rd, Pallabi",Mirpur
UNIVERSAL MUSIC & TIME BOOKS,"Road 11, Block H, Banani",Banani
NTRENZ,"Jagannath University, Atish Deoankar Road, Moddho Bashabo, Shahjahanpur",Bashabo
KAVAZO,"Sector 12, Uttara",Uttara
PROJONMO BUS STOP,"Shahjalal Ave, Sector 4, Uttara",Uttara
NAWAB HABIBULLAH MODEL SCHOOL,"Shahid Tajuddin Ahmed Sarani, Moghbazar",Moghbazar
INSAF BARAKAH KIDNEY & GENERAL HOSPITAL,"H 8, Rd 1, Block A, Banashree",Banashree
AL AMIN HOUSE,"Pilkhana Rd, Azimpur",Azimpur
AL HERA JAME MASJID,"H 146/1, New Bailey Rd",Bailey Road
RATAN KUTIR,,
SHOUVA,"KA 22/B, Shahid Fazlul Haque Rd, Nadda",Nadda
"HOUSE A/9, AL KAMAL HOUSING","Zoo Road, Mirpur, Dhaka",Mirpur
IBN SINA MEDICAL COLLEGE AND HOSPITAL,Kallyanpur,Kallyanpur
AHN TOWER,"Bir Uttam CR Datta Rd, Hatirpool",Hatirpool
SHAMEEM REFRIGERATION WORKS LTD,"Gulshan 1, Gulshan",Gulshan
PWD JAME MASJID,Rajarbag,Rajarbagh
GOLAP VILLA 1,"37, Road 10A, Dhanmondi R/A",Dhanmondi
ARONG ER GOLI,"Wireless, Moghbazar",Moghbazar
HIGH PARK RESIDENCE,"H 99, Viqarunnisa Rd, Siddheswari",Siddheswari
J AND J ENTERPRISE,"House 144, Khilbarirtek Main Road, Vatara, Dhaka 1212",Vatara
MOHAMMADIA R/A MAIN RD,"Prominent Housing, Mohammadpur",Mohammadpur
"HOUSE 14, ROAD 6, SECTOR 10","Sector 10, Uttara",Uttara
WEAT MERUL JAME MASJID,"West Merul Badda Rd, Merul Badda",Badda
FERNS WOOD,"41, Raja Bazar Indira Road, Dhanmondi",Dhanmondi
LAKE CITY CONCORD,Khilkhet,Khilkhet
"HOUSE 430, ROAD 17","Block A, Bashundhara R/A",Bashundhara
GALAXY MEDICINE CORNEE,"1/1, Section 2",Section 2
AYESHA VILLA,"H 680, Rd 12A, Adabor",Adabor
SHOHAG TEA STORE,"Sector 8, Uttara",Uttara
BEIRUT 99,"235, Road 13E, Banani",Banani
SAMIR ELECTRONIC,"445, 445/1, Greenway Road, Wireless, Moghbazar",Moghbazar
CK MARITIME LTD,"Plot 836, Road 12, Avenue 3, Mirpur DOHS",Mirpur DOHS
SALIM UDDIN MARKET ROAD,"52/2, Salim Uddin Market Road, Senpara Parbata, Ahmed Nagar",Senpara Parbata
ORIENTA MULTI PURPAS CO OPERATIVE,"Foot Overbridge, Nijhum Residential Area, Hazaribag",Hazaribag
CITY BANK ATM,"Bir Uttam Mir Shawkat Sarak, Tejgaon",Tejgaon
