Location Name,Address,Classified Area
KALLYANPUR BUS STAND,"Kallyanpur Main Road, Mukti Housing, Kallyanpur",Kallyanpur
DELTA HEALTH CARE MIRPUR LTD,"Section 7, Mirpur",Mirpur
"35, BLOCK D, SHER SHAH SURI ROAD","Sher Shah Suri Road, Mohammadpur",Mohammadpur
IEB TENNIS COURTS,"Fakirapool, Paltan",Paltan
UNITED HOSPITAL,"Road 71, Gulshan 2, Gulshan",Gulshan
CMH BUS STOP,"Kurmitola Road, Uttor Kafrul, Purba Kazipara",Kurmitola
AMERICAN INTERNATIONAL UNIVERSITY BANGLADESH,"408/1, Kuratoli Road, Kuril, Dhaka 1229",Kuril
MAYER DOA CHOTPOTI AND FUSKA,"Sector 5, Uttara",Uttara
"HORIZONTAL 2, ROAD 08","Priyanka City, Uttara",Uttara
SAYED NAZRUL ISLAM NATIONAL SWIMMING COMPLEX,"Main Rd, Mirpur 10",Mirpur
MERAJ NAGAR,"Meraj Nagar, Dhaka",Meraj Nagar
SOUTHERN GARMENTS LTD,"Zirabo to Bishmail Rd, Rustampur, Ashulia 1342",Ashulia
"HOUSE 189, ROAD 6, BLOCK 6","Block J, Bashundhara R/A",Bashundhara
RAYERBAG BUS STOP,Dhaka Chattogram Highway,Rayerbagh
IQRA MODEL SCHOOL AND COLLEGE,"Zia Sarani Road, Rayerbag, Sonir Akhra",Rayerbagh
INTERNATIONAL MEDICAL COLLEGE HOSPITAL,"Medical College Rd, Rustampur",Rustampur
LABAID CAFE,"Green Road, Dhanmondi",Dhanmondi
HAFIZUR TELECOM GRAMEEN PHONE EXPRESS,"Dhaka Tangail Highway, Mouchak",Mouchak
PROPERTY TYRE,"H 38, Lake Circus, Kalabagan",Kalabagan
SQUARE HOSPITAL LTD,Panthapath,Panthapath
EXIM BANK LIMITED,"Dania Road, Noyapara, Shanir Akhra",Shanir Akhra
HOTEL DHAKA GOLDEN INN,"Block K, Banani",Banani
GREEN LIFE MEDICAL COLLEGE & HOSPITAL PHARMACY,"H 32, Crescent Rd, Kalabagan",Kalabagan
POPULAR HOSPITAL,"Dhanmondi Road 2, Dhanmondi R/A",Dhanmondi
CHITROGOLPO,Mirpur DOHS,Mirpur DOHS
RAFIQUL HAQUE & ASSOCIATES,"Malibagh Rail Gate, Malibagh",Malibagh
"H 53, STAMFORD UNIVERSITY RD",Siddheshwari,Siddheshwari
INDIAN EXPRESS,57 Siddheshwari Road,Siddheshwari
ATISH DEPANKAR ROAD,"Moddho Bashabo, Shahjahanpur",Bashabo
BASIS,"Kazi Nazrul Islam Ave, Kawran Bazar",Kawran Bazar
HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,"Terminal 2, Airport Road, New Airport Road, Kurmitola, Sector 2",Biman Bandar
NAWABI VOJ,"AQP Shopping Mall, New Baily Road",New Baily Road
AHSANIA MISSION CANCER & GENERAL HOSPITAL,"Dhaka Ashulia Highway, Sector 10, Uttara",Uttara
SARKAR MEDICAL HALL,"Ibrahimpur Road, Uttar Kafrul, Purba Kazipara",Kazipara
LAB AID SPECIALIZED HOSPITAL,"House 6, Road 4, Dhanmondi",Dhanmondi
UNITED COMMERCIAL BANK(UCB),"Namapara Road, Bottola, Khilkhet",Khilkhet
MUZAHID NAGAR RD,"Newtown R/A, Jatrabari",Jatrabari
LE MERIDIEN DHAKA,"H 79/A Commercial Area, New Airport Rd, Khilkhet",Khilkhet
LUTHFA PLACE,"H 27/CHA, East Rajabazar, Farmgate",Farmgate
RD 117,Gulshan 1,Gulshan
"327, ROAD NO 14","Block A, Bashundhara R/A",Bashundhara
GRAND DHAKA HOTEL,"Dhaka Mymensingh Highway, Sector 9, Uttara",Uttara
ASSORT NAMEER,"Road No 2, Block D, Bashundhara R/A",Bashundhara
PROPERTY TYRE,"H 38, Lake Circus, Kalabagan",Kalabagan
NORTH SOUTH UNIVERSITY,Bashundhara R/A,Bashundhara
ATTIN ARABIAN RESTAURANT,"H 9, RD 22, Block K, Banani",Banani
HABIB HUMAYRA DOA,"H 310, RD 3, Adabor",Adabor
GRAND DHAKA HOTEL,"Dhaka Mymensingh Highway, Sector 9, Uttara",Uttara
UNITED HOSPITAL,"RD 71, Gulshan 2",Gulshan
SOBHANBAG FOOT OVERBRIDGE,"Mirpur Rd, Sobhanbag, Dhanmondi",Dhanmondi
CALIFORNIA FRIED CHICKEN & PASTRY SHOP (CFC),"Section 1, Mirpur",Mirpur
BAY'S LAKEWOOD,"New Airport Flower Garden, New Airport Rd",Biman Bandar
AMERICAN INTERNATIONAL UNIVERSITY BANGLADESH,"Kuratoli Road, Kuril, Dhaka 1229",Kuril
EASTERN PLAZA COMMERCIAL,"Free School Street, Sonargaon Road, Hatirpool",Hatirpool
JAMUNA BANK TOWER,"Block CWS(C), A K Khondkar Road, Gulshan 1",Gulshan
STAR HOTEL AND KABAB,Elephant Rd,Elephant Road
SOLITAIRE,"House 55, Road 28, Gulshan 1",Gulshan
INSAF HOSPITAL,Rathkhola Sadar Hospital Rd,Rathkhola
HOTEL THE PROGOTI,"H 33 37, School Rd, Mohakhali",Mohakhali
NILIMA 164,"Road 4, Block D, Bashundhara R/A",Bashundhara
MISSION FARHAN,"428, Road 11, Bashundhara R/A",Bashundhara
HAZRAT SHAH JALAL INTERNATIONAL AIRPORT,"Terminal 1, Airport Road, New Airport Road, Kurmitola, Sector 2",Biman Bandar
CONCORD BITHI VILLA,"House No 42B, Road No 41, Gulshan 2",Gulshan
HONEY MUSTARD,"Jagannathpur, Bashundhara Road",Bashundhara
DIABARI HOTEL & RESTAURANT,"Dia Bari Gabtoli Road, Gabtoli",Gabtoli
SAAD KABAB GHAR,"Ceramics Rd, 1340",Mirpur
ROYAL EMBASSY OF THAILAND,"Shahid Coloner Gulzar Uddin Rd, Baridhara",Baridhara
MARUF TRADERS,"H 25/1, BCC Rd, Banagram",Banagram
CHAYANIR,"Section 13, Mirpur",Mirpur
HASNA HENA,"48, Girls School Road, Dhanmondi",Dhanmondi
JONONI FURNITURE SECTOR,"Sector 7, Uttara",Uttara
THE ENT AND HEAD NECK CANCER HOSPITAL,North Shyamoli,Shyamoli
JAKIR SWEETS,"H 60, Johnson Rd, Ray School Rd, Sabujbag",Sabujbag
BAZAR SADAI DEPARTMENTAL STORE,Dewanbag,Dewanbag
G.H.P ELECTRONICS,"Dhaka Chittagong Highway, West Jatrabari",Jatrabari
HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,"Terminal 1, Airport Road, New Airport Road, Kurmitola, Sector 2",Biman Bandar
AMITA MINI MART,"Jashimuddin Ave, Sector 01, Uttara",Uttara
"206/1, NORTH SHAJAHANPUR ROAD","Uttor Shahjahanpur Railway Banijjik Alaka, Shahjahanpur",Shahjahanpur
PIRERBAG JHILPAR JAME MASJID,"Mukti Housing, Dokkhon Paikpara",Pirerbagh
STATE UNIVERSITY OF BANGLADESH,"H 138, Mirpur Rd, Kalabagan",Kalabagan
GLOBAL ISLAMI BANK ATM,"Shyamoli, Mohammadpur",Mohammadpur
"ROAD 22, MOHAKHALI DOHS",Mohakhali DOHS,Mohakhali DOHS
CIVIL AVIATION C TYPE QUARTER,New Airport Road,Biman Bandar
ALLIANCE HOSPITAL LIMITED,"Shyamoli, Mohammadpur",Mohammadpur
"H 52/3, NEW EASKATON RD","New Eskaton Rd, New Eskaton",New Eskaton
KHAO SAN,"Residential Area, Dhanmondi",Dhanmondi
INSAF BARAKAH KIDNEY & GENERAL HOSPITAL,"Shahid Tazuddin Ahmed Ave, Mogbazar",Mogbazar
KRISHIBID INSTITUTION BANGLADESH CONVENTION HALL,"Khamarbari Rd, Farmgate",Farmgate
DUTCH BANGLA BANK LTD ATM,"Station Rd, Kamalapur",Kamalapur
NADDA PARA,"Boisakhe Mor, Hazi Camp Rd, Nadda Para, Dakshinkhan",Nadda
NEW BIKRAMPUR PHARMACY,"H 19/1, Rankin St, Wari",Wari
IBN SINA PHARMACY,"H 48, RD 9A, Dhanmondi",Dhanmondi
CITY BANK ATM,"Maruf Market, Malibagh",Malibagh
MADARTEK ABDUL AZIZ HIGH SCHOOL,"Poschim Madartek Road, Purbo Nondipara, Shahjahanpur",Shahjahanpur
BISWA SAHITWA KENDRO,"H 17, Bishwa Sahitto Kendro Ln, Paribag, Ramna",Paribag
SARKARI KARMACHARI HOSPITAL,"Priya Bhaban 1, Section 2, Banani",Banani
ROYAL BUFFET,"Residential Area, Dhanmondi",Dhanmondi
PROTTASHA BRIDGE,"Dhaka Ashulia Highway, Bhatalia, Uttara",Uttara
"H 48, NEW ESKATON RD",New Eskaton,New Eskaton
ABESH HOTEL BIRIYANI HOUSE,Mirpur - 2,Mirpur
"H 41, RD 2","PC Culture Housing Society, Mohammadpur",Mohammadpur
NANDIPARA GARMENTS RD,Nandipara Basabo,Basabo
NANDAN SELIM,"Block D, Bashundhara R/A",Bashundhara
TEJGAON REGISTRATION COMPLEX JAAME MOSQUE,"Love Road, East Nakhalpara, Niketon",Nakhalpara
SHANTA GARDEN,Motijheel,Motijheel
MOTIJHEEL IDEAL SCHOOL AND COLLEGE OFFICE,"Mazar Rd, AGB Colony, Motijheel",Motijheel
HAWAI GOLI,"Moddho Bashabo, Shahjahanpur",Shahjahanpur
MONSUR VABAN,"House 125, Peer Shaheber Goli, Shantinagar, Kakrail",Shantinagar
COAL POWER GENERATION COMPANY BANGLADESH LIMITED (CPGCBL),"Unique Heights, Level 17, Eskaton",Eskaton
KHATUN E JANNAT JAME MASJID,"Hazi Piar Ali Rd, Rustampur",Rustampur
BEAUTY,"318, Al Haj Abdus Sobhan Road, Block B, Bashundhara R/A",Bashundhara
THE TYRE & BATTERY BAZAR,"H 60, Kazi Nazrul Islam Ave, East Tejturipara",Tejturipara
ISLAMI BANK BANGLADESH LIMITED,"Basabo Market Road, Tempo Stand, Middle Basabo",Basabo
AIRPORT POLICE STATION,New Airport Road,Biman Bandar
SHAT TARA GOLI,Mogbazar,Mogbazar
TETUL PARA SHAHI JAME MASJID,Namapara Tetul Tola,Tetul Tola
SOHRAWARDY AVENUE,"Baridhara, Gulshan",Baridhara
DNCC DEDICATED COVID-19 HOSPITAL,Mohakhali,Mohakhali
DAKKHINPARA,Dakkhinpara,Dakkhinpara
HOME TOWN COMPLEX,87 New Eskaton Road,New Eskaton
WALTON SERVICE CENTRE,"Dhaka Chittagong Highway, Sign Board, Shiddhirganj, Narayanganj",Shiddhirganj
90/1 JOMIDAR GOLI,"Shiddheswari, Ramna",Shiddheswari
ALHAZ MD NEWAZ ALI,"H 882, RD 10, Khilgaon",Khilgaon
HEALTHCARE BODY SPA,Gulshan 1,Gulshan
HERITAGE SCHOOL,"Chashara, Narayanganj",Narayanganj
AD DIN HOSPITAL RD,Moghbazar,Moghbazar
"HOUSE 51, ROAD 17","Sector 11, Uttara",Uttara
ENTRY GATE FOR RD 5,"Hazrat Shahjalal International Airport, Kurmitola",Biman Bandar
HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,"Bhuiyan Eastate, Outer Stadium",Rayer Bazar
RAYER BAZAR,Mirpur 2,Mirpur
MILK VITA RD,Mohammadpur,Mohammadpur
"BLOCK C, TAJMAHAL ROAD",Dhanmondi,Dhanmondi
IBN SINA CONSULTATION & DIAGNOSTIC CENTER,"Jashim Uddin Member Rd, Ahiyaan City, Dakshinkhan",Dakshinkhan
NORTHERN UNIVERSITY (PERMANENT CAMPUS),,
SHAMSUR MADRASA CIRCLE,"H 29, RD 6, South Banasree Project",Banasree
RADIANT,"Rampura Banashree RD, Block E, Banashree",Banashree
SHADHINATA TOWER,"H 1667, Bir Uttam Ziaur Rahman RD, Shaheenbag",Shaheenbag
LA-BAY SERVICES,"Bosila, Mohammadpur",Mohammadpur
4/7 BLOCK A,Lalmatia,Lalmatia
@42,"Road 1, Niketon Block A, Niketon Housing Society, Gulshan",Gulshan
SNACKBAR EXPRESS,"Food Zone, Naya Paltan",Naya Paltan
JAMUNA FUTURE PARK,"Progati Sarani, Bashundhara R/A",Bashundhara
DUTCH BANGLA BANK,"Road 2, Nikunja 2",Nikunja
AAA ENGINEERS,"Sector 11, Uttara",Uttara
"9/1, ROAD NO 7",Lalmatia,Lalmatia
"H 479, RD 16","Block F, Bashundhara R/A",Bashundhara
NAMAPARA,Bashundhara R/A,Bashundhara
POLICE BOX,"Manik Mia Ave, Dhanmondi",Dhanmondi
JAHAN,"Jigatola Main RD, Jigatola",Jigatola
FUTURE TECHNOLOGY,"Kemal Ataturk Avenue, Banani",Banani
AIRPORT ROAD,"New Airport Road, Kurmitola, Sector 2",Biman Bandar
AZMIRI HOTEL AND RESTURANT,"Ashkona RD, Dakshinkhan",Dakshinkhan
WHITE SMILE DENTISTRY,"Road 130, Gulshan 1",Gulshan
WASA,"Darussalam, Mirpur",Mirpur
MK ELECTRONICS,"H 4/1, Mirpur RD, Lalmatia",Lalmatia
SPRING DALE,"Banashree, Block D",Banashree
DAY DREAMERS HQ,"Sector 17, Uttara",Uttara
ULAB,"H 56, RD 4A, Dhanmondi",Dhanmondi
ABINTA KABIR FOUNDATION SCHOOL,"Madani Avenue, Bashundhara R/A",Bashundhara
SARA SIMRAN,"Kaderabad Housing, Mohammadpur",Mohammadpur
SALBON FILLING STATION,Dhaka Mymensingh Highway,Biman Bandar
CHILIS,"Sector 6, Uttara",Uttara
ALBRATOSS EDUCATION,"Sector 4, Uttara",Uttara
CRYSTAL PALACE,"Sector 7, Uttara",Uttara
POLWEL CARANATION SHOPPING CENTRE,"RD 140, Gulshan 1",Gulshan
BAF PARKING,"Sector 8, Uttara",Uttara
GERMAN CLUB,"Bir Uttam Ziaur Rahman RD, Shaheenbag",Shaheenbag
BANGLADESH EYE HOSPITAL,Gulshan 2,Gulshan
SONALI BANK LTD ATM,"Sat Masjid RD, Dhanmondi",Dhanmondi
ACCESS TO INFORMATION OFFICE,"Mirpur RD, Lalmatia",Lalmatia
DER FOOD ISLAND,"Prime Minister's Office RD, Tejgaon",Tejgaon
EMERGENCY DEPARTMENT (NIRTOT),"3/8, North Peerbug, Mukti Housing, Dokkhon Monipur",Monipur
BAY'S LAKEWOOD,"Sayed Mahbub Morshed Road, Sher-e-Bangla Nagar",Sher-e-Bangla Nagar
"H 33/6, TAJMAHAL RD","Sector 18, Uttara",Uttara
KHAMAR BARI,"Tajmahal RD, Mohammadpur",Mohammadpur
THAI CHI RESTAURANT AND CAFE,"Khamarbari RD, Farmgate",Farmgate
MUTUAL TRUST BANK LIMITED,"H 117/A, Bijoy Sarani Tejgaon Link RD, Tejkunipara",Tejgaon
MOTALIB PLAZA,"RD 34, Gulshan Ave, Gulshan 2",Gulshan
AFROZA BEGUM ROAD,Hatirpool Circle,Hatirpool
,Bashundhara R/A,Bashundhara
SCIC SCHOOL,"Zoo RD (Ciriagana RD), Mirpur 2",Mirpur
SHOILPIC,"403/C, I Block Road 4, Bashundhara R/A",Bashundhara
JAKARIA PHARMACY,"H 39/1, Sher E Bangla RD, Tali Office, West Dhanmondi",Dhanmondi
HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,"Terminal 1, Airport Road, New Airport Road, Kurmitola, Sector 2",Biman Bandar
DOMINOS PIZZA,"Residential Area, Dhanmondi",Dhanmondi
STAR KABAB & RESTAURANT,"Block C, Banani",Banani
"H 2, FELANI RD",Gulshan 1,Gulshan
IMPERIAL HEAVEN,"Chha 56/B, Badda Girls School Road, Dakkhin Badda, Gulshan",Gulshan
EASTERN GARDEN,"Garments Goli, West Razabazar, Indira Road, Khamarbari Mor, Farmgate",Farmgate
PRAPTI CITY,"Pagla Link RD, Pagla, Narayanganj",Narayanganj
NAKSHI PALACE,"H 2/KA/14, Habibullah RD, Shahbag",Shahbag
SHAHANA MANSION,"H 27, RD 1, Block A, Banasree",Banasree
KINGS KABAB AND RESTAURANT,"RD 3, Niketon",Niketon
COFFEE AVENUE,"Zafrabad, Mohammadpur",Mohammadpur
BASHER POOL DOGAIR BAZAR,Dogair Bazar,Dogair
UNIVIEW BANGLADESH,"Block G, Banani",Banani
AHMED LODGE,"13, Salim Uddin Market Road, Senpara Parbata, Ahmed Nagar",Senpara Parbata
BURGWICH TOWN MIRPUR 1,"Zoo Road, Mirpur 1",Mirpur
PONGKHUMIYA JAME MASJID,"Rani Mohol Boro Vanga RD, Dustbin, Zahir Raihan Sharani RD, Noorbagh, Siddikbazar",Siddikbazar
"71, MIDDLE PAIKPARA","Mukti Housing, Moddho Paikpara",Paikpara
URBAN PANORAMA,"Residential Area, Dhanmondi",Dhanmondi
LAKE LODGE,"Sector 10, Uttara",Uttara
"A 1, ROAD 2","Mohanagar Housing Project, Niketon",Niketon
"H 25, RD 11","Sector 13, Uttara",Uttara
SUBWAY ZONE,"Sector 13, Uttara",Uttara
WHITE FACE WASH MEN'S GROOMING SALOON,"Jigatola, Dhanmondi",Dhanmondi
NSU ADMIN BUILDING,"NSU Driveway, Block B, Bashundhara R/A",Bashundhara
BAITUL FALA JAME MASJID,"RD 4, Block E, Banasree",Banasree
DHAKA POWER DISTRIBUTION COMPANY LTD,"Shahid Baki Sarak, Taltola, Khilgaon",Khilgaon
BANGLADESH AGRICULTURE RESEARCH COUNCIL (BARC),"Old Airport RD, Monipuri Para",Monipuri Para
NURERCHALA TAHASIL OFFICE,"Nurerchala RD, Notun Bazar, Badda",Badda
AARRANA,"64/B, Road 15/A, Dhanmondi R/A",Dhanmondi
"H 3 Q, RD 7","RD 7, Block G, Bashundhara R/A",Bashundhara
SHAMSUDDIN TOWELS LIMITED,"Kemal Ataturk Avenue, Banani",Banani
DREAM STAR,"H 21, Shadhinota Sarani, North Badda",North Badda
AHMED LODGE,"13, Salim Uddin Market Road, Senpara Parbata, Ahmed Nagar",Senpara Parbata
PIZAA INN,"RD 8, Banani",Banani
FRIENDS FASHION,"Shimultoly RD, 1702",Badda
SHANTA ASSET MANAGEMENT LIMITED,"Gulshan 1, Gulshan",Gulshan
BOITHOK,"Block F, Banani",Banani
WEST TOLLABAGH ROAD,"Maneshwar, Hazaribagh",Hazaribagh
BIDDUT BHABAN,"H 1, Abdul Gani RD, Purana Paltan",Paltan
"H 9, RD 28",Banani,Banani
ROAD 17,Bashundhara R/A,Bashundhara
SQUARE HOSPITAL LTD,Panthapath,Panthapath
MAOLANA BHASANI ROAD,"Fakirapool, Paltan",Paltan
SHARIF HEIGHTS,"Block G, Banasree",Banasree
"HOUSE - 47, ROAD -11","Sector-13, Uttara",Uttara
BOUDDHO MONDIR BUS STOPPAGE,"Autish Dipankar Road, Moddho Bashabo, Komlapur",Bashabo
IMARAT MOTOR CYCLE ENGINE OIL,"DIT RD, Malibagh Rail Gate, Malibagh",Malibagh
RASUL NAGAR,"Dhaka, Bangladesh",Dhaka
PROJONMO BUS STOP,"Atish Depankar Road, Moddho Bashabo, Shahjahanpur",Bashabo
SONAR BANGLA MEDIA,"Nurerchala RD, Nurercahala",Badda
TRIMOHONI POSCHIMPARA ALHE HADITH JAME MASJID,"Banashree Demra RD, Khilgaon",Khilgaon
"125/KHA, FRIENDS ROAD","Mukti Housing, Dokkhon Pirerbagh",Pirerbagh
NOOR VILLA,Section 6,Mirpur
BANK ALFALAH LIMITED MIRPUR,"Kalsi Road, Block D, Section 11, Mirpur",Mirpur
PATHAO HQ,"H CWN 3A, RD 49, Gulshan 2",Gulshan
MIRPUR 11 METRO RAIL STATION,"Mirpur 11, Dhaka",Mirpur
YASMEENS,"House 227, Road 6C, Block B, Bashundhara R/A",Bashundhara
LUCKY STAR,"Block F, Banani",Banani
DUTCH BANGLA BANK ATM,"Airport Road, New Airport Road, Kurmitola, Sector 2",Biman Bandar
MAA HOMEO PHARMACY,"Block D, RD 25, Block TA, Mirpur 12",Mirpur
FATEMAS FASHION,"Green Road, Dhanmondi",Dhanmondi
PURBACHALGAS FILLING STATION,"Darus Salam Road, Darus Salam",Darus Salam
NAVANA SOMERSET,"Chamilibagh, Dokkhon Shahjahanpur, Paltan",Paltan
AHNAF SANITORY,"Green Road, Dhanmondi",Dhanmondi
"5, KACHABAZAR ROAD",Section 10,Mirpur
BANK ASIA ATM,"Shabag RD, Shahbag",Shahbag
NEW ROSHMELA SWEETS AND BAKERY,"Vatara RD, Natun Bazar",Vatara
KHABAR BILASH,"Block B, Section 12, Pallabi (Kalshi Main Road), Mirpur",Mirpur
THE JUTE 7,"Road 8, Kurmitola, Sector 3",Kurmitola
TABAQ GRAMEENPHONE OFFICE,"Bashundhara RD, Bashundhara",Bashundhara
INDIRA RD,"East Rajabazar, Tejgaon",Tejgaon
ANJUMAN MUFIDUL ISLAM RD,Naya Paltan,Naya Paltan
"227, ROAD 12, SECTION 12",Shahbag,Shahbag
"1/11, SIR ALLAMA MUHAMMAD IQBAL ROAD",Mohammadpur,Mohammadpur
KHILKHET BAZAR,"Khilkhet Bazar RD, Khilkhet",Khilkhet
"RD 12/A, DHANMONDI LAKE PARK",Dhanmondi,Dhanmondi
BASHIR RAZIA VILLA,Banani,Banani
UTTARA BANK BRANCH 26,"Begum Rokeya Sharani, Section 11",Mirpur
"SAC, NSU RD","Block B, Bashundhara R/A",Bashundhara
HASHIM TOWER,Uttara,Uttara
FAMILY HOUSE 2,"North Pererbug, Mukti Housing, Dokkhon Monipur",Monipur
WOODEN SPOON,"NSU Road, Bashundhara R/A",Bashundhara
NEVIN GENERAL STORE,Middle Badda,Badda
PIZZA WALY,"Lake Drive Road, Middle Badda",Badda
AARONG,"Tejgaon Gulshan Link Road, Gulshan 1",Gulshan
MIRPUR DOHS,"House 710, Road 10, Avenue D, Mirpur DOHS",Mirpur
RANGS NIKETON,"Road 9, Block C, Niketon, Gulshan",Gulshan
NATIONAL HEART FOUNDATION HOSPITAL,"Tolarbag, Mirpur 1",Mirpur
"RDE 6, BLOCK B",Banasree,Banasree
"H 48, INDIRA ROAD",Farmgate,Farmgate
ROAD 10 BLOCK D HOUSE 328,Bashundhara,Bashundhara
"HOUSE 83/5, OMAR ALI LANE","West Rampura, Rampura",Rampura
BIROTI RESTORA,"Station RD, Kamalapur",Kamalapur
POPULAR PHARMACY,"Zafrabad, Mohammadpur",Mohammadpur
BHUIYA LODGE,"8, Road 3, Section 2",Mirpur
NEST SOURCING LTD,"RD 10, Mirpur DOHS",Mirpur DOHS
CRIMSON CUP,"300 Feet Entrance, Bashundhara",Bashundhara
SUSHI KYUBEY,"Road 50, Gulshan 2",Gulshan
CHEF'S TABLE,Gulshan 1,Gulshan
THE BUFFET STORIES MIRPUR,Mirpur,Mirpur
AMELA VILLA,"H 204/1, Rampura Titas RD, Block C, Banashree",Banashree
MOJAR TV,"Outer Circular RD, Kamalapur",Kamalapur
PALMYRA,"317, Road No 14, Block A, Bashundhara R/A",Bashundhara
NORTH END COFFEE ROASTERS,"Road 23, Gulshan 1",Gulshan
NAPD OFFICE,"Kataban RD, Nilkhet",Nilkhet
DUTCH BANGLA BANK ATM,"Airport Road, New Airport Road, Kurmitola, Sector 2",Biman Bandar
"461, I BLOCK ROAD 1",Bashundhara R/A,Bashundhara
"H 534, RD 11",Baridhara DOHS,Baridhara DOHS
NONGOR,"323, Al Haj Abdus Sobhan Road, Block B, Bashundhara R/A",Bashundhara
BISHNURPRIYA HOTEL,"Tati Bazar, Kotwali",Kotwali
CP FIVE STAR,"Unmesh Datta Road, Noorbagh, Siddikbazar",Siddikbazar
CHURCH HOLYCROSS,"Holycross College RD, Farmgate",Farmgate
GULSHAN LINK RD,Gulshan,Gulshan
AZIM GARMENTS LTD,"Chadd Uddan Housing, Mohammadpur",Mohammadpur
SAULYS FOOD,Panthapath,Panthapath
STAMFORD UNIVERSITY,"Dhaka Chittagong Highway, Sayedabad",Sayedabad
IBN SINA HOSPITAL,"68, Road 15A, Dhanmondi R/A",Dhanmondi
M/S MUKTA GENRAL STORE,"35/A, Salim Uddin Market Road, Senpara Parbata, Ahmed Nagar",Senpara Parbata
JANATA BANK LIMITED,"West, Dhanmondi",Dhanmondi
BEGUNBARI,"Ajmir, Tejgaon",Tejgaon
BAITUL FALA JAME MASJID,"RD 4, Block E, Banashree",Banashree
AL MATIN TOWER,"146, Road 13B, Banani",Banani
"12/1/2, ROAD NO 2","Road No 2, Mukti Housing, Shyamoli",Shyamoli
INMAS MIRPUR ROAD,"Shahid Suhrawardy Medical College, Sher-e-Bangla Nagar",Sher-e-Bangla Nagar
"H 16, RD 4",Mirpur 13,Mirpur
SURGEPORT LOGISTICS PRIVATE LIMITED,"Kemal Ataturk Avenue, Banani",Banani
SABOZ AUTOMOBILES AND CAR WASH,"Road 3B, Sector 15, Uttara",Uttara
"LN 8, BENARASHI PALLI",Mirpur 10,Mirpur
"RD 12, BLOCK C",Mirpur 6,Mirpur
"930, SABRINA SOBHAN 4TH AVENUE ROAD","Block D, Bashundhara R/A",Bashundhara
"HOUSE 36, ROAD 7","Uttara, Sector 13",Uttara
"3/1, ROAD 3","Mukti Housing, Kallyanpur",Kallyanpur
SHARIFA PHARMA,Section 6,Mirpur
NESCAFE,"Khilgaon, Shahjahanpur",Khilgaon
NAMAPARA,"Station RD, Kamalpur",Kamalapur
OXFORD REFRIGERATION,Bashundhara R/A,Bashundhara
MUSLIN INTERNATIONAL LIMITED WAREHOUSE,"H 41/7, Culvert RD, Fakirapool",Fakirapool
DOMINANT BUILDER LTD,"Dholipara, Uttara",Uttara
YMCA TRAINING CENTRE,"Section 6, Mirpur",Mirpur
BAR Q TONITE,Savar,Savar
IDEAL COLLEGE,"27 (Old), Dhanmondi",Dhanmondi
,"Central RD, Dhanmondi",Dhanmondi
PANDA DUMPLINGS -PD,"Gulshan 2, Gulshan",Gulshan
HAWLADAR FURNITURES,"Sector 3, Uttara",Uttara
DHL EXPRESS HOTEL OFFICE,"Joar Shahara, Kuril",Kuril
EXIM BANK LIMITED,"DIT Road, Gulshan North Commercial Area, Gulshan 2",Gulshan
ROAD 23,"Dakkhin Badda, Gulshan",Badda
SHANGHAI 10,"Block C, Banani",Banani
TEJGAON THANA HEALTH COMPLEX,"14/1D, Block D, Sir Sayed Road, Mohammadpur",Mohammadpur
DOMESTIC TERMINAL (DAC),Hazrat Shahjalal International Airport,Biman Bandar
"H 405, AFTAB UDDIN AHMED RD","Block B, Bashundhara R/A",Bashundhara
"SECTOR 17, BLOCK H1",Uttara Residential Model Town,Uttara
NEW DHANSIRI RESTAURANT - GULSHAN2,"Road 46, Gulshan 2, Gulshan",Gulshan
HAZI ABDUL LATIF MANSION,"Alhaz Abdus Sobhan RD, Bashundhara R/A",Bashundhara
AMERICAN BURGER,"Shop 21/22 2, RD 46, Gulshan 2",Gulshan
"H 80/1, SHANTIBAG MASJID RD","Shantibag, Malibagh",Malibagh
HAVEN PLACE,"Zafrabad, Mohammadpur",Mohammadpur
LINK IN LIMITED,"Block E, Banani",Banani
ITTADI SUPER SHOP,"Shadhinota Sarani, North Badda",Badda
ALLIANCE HANIF VILLA 2,"Section 6, Mohakhali DOHS",Mohakhali DOHS
BRAC BANK LIMITED ATM BOOTH,"Road 23, Block B, Banani",Banani
SHAPTAK KAJORIA,"Road 1, Lalmatia",Lalmatia
KOSHAI BARI RAILGATE,Dakshinkhan,Dakshinkhan
KARIM AND SONS,"Toyenbee Circular RD, Motijheel",Motijheel
SHAHID JANANI JAHANARA IMAM SARONI,Dhanmondi,Dhanmondi
ARMANA GROUP LTD,"Road 71, Gulshan 2, Gulshan",Gulshan
MUGHDA MEDICAL COLLEGE AND HOSPITAL,"Hazi Kodom Ali RD, Mugdapara, Sabujbag",Mugda
APR A4 HOUSE 6,"Road 109, Gulshan 2",Gulshan
SHAW WALLACE BANGLADESH LID,"Road 126, Dakkhin Badda, Gulshan",Badda
SHWAPNO,"Kamal Ataturk Avenue, Banani",Banani
"H 48, RD 5",Nikunja 1,Nikunja
