"","location"
"19416","JAM JAM TOWER,H 171,172,173,
ATISH DIPANKAR RD,BASABO"
"19417","BANGLADESH BANK,MOTIJHEEL SHAPLA CHOTTOR,MOTIJHEEL"
"19418","SHEWRAPARA BUS STAND,BEGUM ROKEYA SARANI,WEST SHEWRAPARA"
"19419","DE CASTEL , H 70 , GREEN RD"
"19420","RUPAYAN CITY COMMUNITY CLUB , NALBHOG , UTTARA"
"19421","NAHAR VILLA , H 63, 9/A , WEST DHANMONDI"
"19422","RABINDRA SHARABOR , DHANMONDI"
"19423","J.N SAHA RD , LALBAG"
"19424","SECTOR 4,UTTARA,DHAKA"
"19425","SHAT TARA GOLI, MOGBAZAR"
"19426","ETERNALI BLISS SPA , GULSHAN 1"
"19427","ROAD 6/C , BANANI DOHS , BANANI"
"19428","SADIA DENTAL CARE , SECTOR 5 , UTTARA"
"19429","TASTY TREAT MIRPUR 10"
"19430","MAKKA EYE HOSPITAL , SECTOR 1, UTTARA"
"19431","NOBORATRI-HALL 4,INTERNATIOANAL CONVENTION CITY BASHUNDHARA,PURBACHAL 300 FEET ROAD,DHAKA"
"19432","HOUSE 1,ROAD 1,SECTOR 7,UTTARA"
"19433","N/A,ROAD 2,BARIDHARA,GULSHAN"
"19434","BAF SHAHEEN COLLEGE , KURMITOLA , KURMITOLA RD , DHAKA CANTONMENT"
"19435","MIRPUR ZOO , ZOO ROAD, PALLABI 2ND PHASE  ( EASTERN HOUSING ) , BLOCK F"
"19436","MAYER DOWA TELECOM CENTER , SOUTH BADDA"
"19437","ISLAMI BANK BANGLADESH LIMITED,ROAD 11,BLOCK F,BANANI"
"19438","BANGLADESH CHINA FRIENDSHIP EXHIBITION CENTER,SECTOR 21,PURBACHAL"
"19439","MIRPUR 11.5 BUS STAND,DHAKA 1216,BANGLADESH"
"19440","DHAKA INERNATIONAL TRADE FAIR ( BANIJJO MELA ) SECTOR 4, PURBACHL"
"19441","JAPAN GARDEN CITY BIDG NO. 07 , JAPAN GARDEN CITYRD , JAPAN GARDEN CITY , MOHAMMADPUR"
"19442","8 , TOYENBEE ROAD , MOTIJHEEL , HATKHOLA"
"19443","RIAZUL JANNAH JAME MASJID , ASHKONA RD , DAKSHINKHAN"
"19444","WAYES,UPWORK TOP RATED FREELANCER,PURANA PALTAN"
"19445","GULSHAN CLUB LIMITED, ROAD 50 , GULSHAN 2 , DHAKA"
"19446","MIRPUR DOHS RD , MIRPUR DOHS"
"19447","NEW VISION SOLUTIONS LTD , BLOCK F , BANANI"
"19448","ABUL HOTEL , CHOWDHURYPARA , MALIBAGH"
"19449","PADMA NILIMA 329/1 SENPARA PARBATA"
"19450","GRACE HOSPITAL LTD , GREEN ROAD , DHANMONDI"
"19451","AGRANI BANK LIMITED,SONARGAON ROAD BRANCH,45,BIR UTTAM CR DATTA ROAD,HATIRPOOL,WIRELESS,PALTAN"
"19452","HOUSE 618 , ROAD 9 , BLOCK I BASHUNDHARA R/A"
"19453","WHITE HEART,8/A,ROAD NO 2,BLOCK D,BASUNDHARA R/A"
"19454","THE WORLD BANK , E 32, SYED MAHBUB MORSHED AVE , SHER E BANGLA NAGAR"
"19455","BIHS GENERAL HOSPITAL,DARUS SALAM RD,DARUS SALAM"
"19456","JARALAWN , RESIDENTIAL AREA , DHANMONDI"
"19457","NAHAR VILLA , H 23 , PANTHAPATH"
"19458","FEMALE PRAYER PLACE , RESIDENTIAL AREA DHANMONDI"
"19459","BATA , 76 , GULSHAN AVENUE , DAKKHIN BASSA , GULSHAN"
"19460","THE SPORTS ARENA , SHAGUFTA HOUSING SOCIETY , MIRPUR DOHS"
"19461","H 83/5, GATE 3 RD , MONIPURI PARA"
"19462","apprentice consulting , sector 9 , uttara"
"19463","DEWAPPLES RUPNAGAR RESIDENTIAL AREA , MIRPUR"
"19464","HEMAYETPUR BUS  STOP , DHAKA ARICHA HIGHWAY , BILAMALIA , JADUR CHAR"
"19465","EBL 365 PLUS , BLOCK A , BASHUNDHARA R/A"
"19466","MIRPUR DOHS AVENUE 2,ROAD 12,HOUSE 887"
"19467","ALHAZ MOFIZUR RAHMAN JAME MASJID , RD 11, MOHAMMADIA HOUSING SOCIETY , MOHAMMADPUR"
"19468","LALKUTHI MARKET,MIRPUR 1"
"19469","LUCKY VILLA , 519 , ROAD 1 , BLOCK D , BASUNDHARA R/A"
"19470","RUPNAGAR RESIDENTIAL AREA,ROAD 20,HOUSE 66,RUPNAGAR RESIDENTIAL AREA,MIRPUR"
"19471","STR ENTERPRISE LIMITED , MIRPUR ROAD , NEW MARKET"
"19472","PURBO NAMAPARA PUKUR,EAST NAMAPARA,KABARSTHAN RD"
"19473","BANGLADESH TECHNICAL EDUCATION BOAR,SHER E BANGLA RD,AGARGAON"
"19474","POPULAR DIAGONSTIC CENTRE LTD ( UTTARAB GARIB -E- NEWAZ BRANVH ), SECTOR 13"
"19475","OFFICERS CLUB , BAILY RD , RAMNA"
"19476","PANTONEER,7/3,BLOCK D,AURANGZEB ROAD,MOHAMMADPUR"
"19477","FAZLUL HAQUE MUSLIM HALL EXTENTION,COLLEGE RD,FULBARIA"
"19478","UNIVERSAL COLLEGE BANGLADESH (UNIVERSITY OF LONDON0,GULSHAN 1,GULSHAN"
"19479","H 842 , RING RD , ADABOR"
"19480","JIGATOLA BUS STAND , SATMASJID RD , DHAMNONDI"
"19481","DAILY TOUCH , NAYA PALTAN"
"19482","BRIDGE KHUSHBU , BLOCK C, BASHUNDHARA R/A"
"19483","MONDOL MARKET,BORO DEWRA RD,WEST ARICHPUR ,RUSTAMPUR"
