"","location"
"356","AIRPORT ROAD NEW AIRPORT ROAD KURMITOLA SECTOR 2"
"369","CP FIVE STAR  HAFSA SNACKS , BODDHO MONIR SOBUJBAG"
"375","MEYOR MOHAMMAD SAYED KHOKON CENTER , DISTILARY ROAD , GOPIBAG , DAYA GANJ"
"391","H 260,AFROZA BEGUM RD,BLOCK F,BASUNDHARA R/A"
"407","REALIANCE BUILDING,H 146,RD ,BLOCK D,BASUNDHARA R/A"
"414","BARISHAL STORE , SADARGHAT LAUNCH TERMINAL"
"418","CRIMSON CUP , 300 FEET ENTRANCE BASHUNDHARA"
"439","MAHARAJA SWEETS , DHAKA MYMENSINGH HIGHWAY , WEST ARICHPUR , MOINARTEK"
"440","SHERATON DHAKA , KEMAL ATATURK AVENUE , BANANI"
"448","YASMEENS,HOUSE 227,ROAD 6C,BLOCK B,BASUNDHARA R/A"
"450","I  BLOCK ROAD 1 , BASUNDHARA R/A"
"453","DHAMRAI BUS STATION"
"468","BLOCK D,BASUNDHARA R/A"
"470","HARUNS K-26,SHAHID ABDUL AZIZ RD,BLOCK A,BASUNDHARA R/A"
"481","BIMAN HOLIDAY PREMIMUM LOUNGE,
HAZRAT SHAJALAL INTERNATIONAL AIRPORT,KURMITOLA"
"482","RD 7,BLOCK C,BASUNDHARA R/A"
"492","RD 7 , BLOCK  I , BASUNDHARA R/A"
"494","CATERING SERVICE TEHARI GHAR(SOBHANBAG)"
"505","ZENITH TOWER DHANMONDI , RESIODENTIAL AREA"
"515","GULISTAN BUS STAN D"
"520","AL HAJ ABDUS SOBHAN ROAD 1,BASUNDHARA R/A"
"527","BTI SANDRINGHAM BLOCK H BASHUNDHARA R/A"
"529","EESTAN PONTO,KEANDO,H 52,RD 7,BLOCK B,BANSHREE"
"546","ALOKI.TEJGAON LINK RD,NIKETON"
"550","CHOWDHURY COMMUNITY CENTER , 42  , ROAD 6A , DHANMONDI R/A"
"563","H 346 , RD 5 , BLOCK F , BASUNDHARA R/A"
"570","BRB HOSPITAL LTD,PANTHPATH"
"582","MUKTA HAIR CUTTING SALOON,ANARKOLY RD,WEST ARICHPUR,MOINARTEK"
"595","lake city concord khilkhet"
"600","144 , I BLOCK ROAD 7 , BASUNDHARA R/A"
"601","VASANTEK MARKET , BAZAR RD , VASHANTEK"
"622","ROAD NO. 14 , BLOCK A , BASUNDHARA R/A"
"641","LAKE GARD H 110 , 1 NO LAKE CIRCUS KALABAGAN RD"
"652","urban maliha garden 75 , road12a dhanmondi r/a"
"655","THE FOOD HALL,SABRINA SOBHAN AVENUE ROADD,BLOCK D,BASUNDHARA R/A"
"658","ANEX TOWER , TALERTEK RD"
"659","NILA MARKET , PURBACHAL EXPRESS HIGHWAY , TAHORDIA , NARYANGANJ"
"662","HAZRAT SHAHZJALAL INTERNATIONAL AIRPORT"
"664","H 287, RD 16 , SOUTH BANASHREE PROJECT"
"665","354, ROAD NO. 13 , BASUNDHARA R/A"
"673","KAJI MOTAHAR HOSSAIN BUILDING DEPARTMENT OF GEOGRAPHY AND ENVIROMENT , SIR SAYED ROAD , FAKIRAPOOL  SIDDIKBAZAR"
"678","ZENITH TOWER,8/A/1,ROAD 13,DHANMONDI R/A"
"689","SRI SRI SIDDHESWARI KALI MONDIR , SHIDDESWARI ROAD"
"702","GREEN LILY , 18 ROAD 4, DHANMONDI R/A"
"717","MIRPUR DOHS RD,MIRUR DOHS"
"721","BASILLA,ROAD 4A,DHANMONDI R/A"
"725","LAND REGISTRATION OFFICE , SHAHID TAZUDDIN AHMED AVE , TRJGAON INDUSTRIAL AREA"
"735","BANGLADESH AIRLINES TRAINING CENTER"
"743","CONCORD GHRAND , H 169, SHANTINAGAR RD , SHANTNAGAR"
"750","HOUSE -28 , ROAD 5 , BLOCK -A , RAMPURA BANSREE"
"756","PURBACHAL RESIDENTIAL MODEL TOWN SECTOR 18"
"772","MAPEL LEAF SCHOOL , MAGICIAN'S STREET , DHANMONDI R/A"
"773","H 612 , RD 7 , BLOCK G , BASUNDHARA R/A"
"782","SLAW , ROAD 11 , BARIDHARA DIPLOMATIC AREA"
"791","37/C,ROAD 3,BLOCK D,BASUNDHARA R/A"
"793","TRISHAS'S EXTENSION & BEAUTY ZONE , BLOCK A , NIKETON"
"795","GREEN SAINTMARTIN EXPRESS PANTHAPATH BRANCH,LAKE CIRCUS ROAD,KALABAGAN"
"810","PANSHI 36,ROAD NO -1,BLOCK A,BASUNDHARA R/A"
"834","KICHUKHON , BLOCK H , BASUNDHARA RESIDENSIAL"
"835","HOUSE 83/5, OMAR ALI LANE, WEST RAMPURA , PAMPURA"
"840","GATE 2 , BANHGABANDHU NATIONAL STADIUM"
"842","76, ROAD NO 5 BLOCK D BASHUNDHARA R/A"
"850","ASHIYAN MEDICAL COLLEGE CATH LAB BARUA KHILKHET"
"853","NSU , NSU DRIVEWAY M BLOCK B , BASUNDHARA R/A"
"855","NAZRAT SHAHJALAL INTERNATIONAL AIRPORT"
"856","BRB HOSPITAL"
"864","TABAQ COFFEE CONCORD SILVY"
"871","SUOXI HOSPITAL , SHOSHI HOSPITAL ,ACUOUNCTURE HOSPITAL , ACUOUNCTURE"
"886","ASSET BLOSSOMDALE , BLOCK E , NIKETON"
"891","HOUSE 187 , SOUTH KAFRUL ROAD , NORTH KAFRUL , KACHUKHET"
"907","BASUNDHARA MASJID,R4 ,RD 3,BLOCK D,BASUNDHARA R/A"
"912","KHAN PALACE APARTMENT"
"922","POPULAR HOSPITAL , DHANMONDI ROAD 2, DHANMONDI R/A"
"926","AYIRPORT"
"939","BAITUL MAMUR JAME MASJID , GONO KOBORSHTAN RD , FAYDABAD , DAKSHINKHAN"
"945","sohrab service station run by m/s anik enterprise kallyanmpur mirpur"
"971","HOLIDAY INN DHAKA CITY CENTRE AN IHG HOTEL INDUSTRIAL AREA TEJGAON"
"977","AFROZA BEGUM ROAD,BASUNDHARA R/A"
"996","KHILKHET FOOT OVERBRIDGE"
"1000","MASTER BARI NUPUR"
"1003","THE CITY BANK LTD AMEX LOUNGE
DOMESTIC TERMINAL HSIA,HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,
KURMITOLA"
"1018","FORTUNE , HOUSE 15  ROAD 1 , BLOCK J , BANNAI"
"1021","PRINCE BAZAR LTD, TAJMAHAL ROAD, MPHAMMADPUR"
"1026","SHEIKH JAMAL DHANMONDI CLUB LTD , RD 8 , DHANM,ONDI"
"1039","ROAD 24 , MOHAKHALI DOHS , NIKETON"
"1042","LALBAG CHOURASTA,SHAYESTA KHAN RD"
"1043","SECRET RECIPE , 54 , ROAD 10 A, DHANMONDI R/A"
"1052","H KA 31,OLD KA 11/1,BERIBADH RD,NUKUNJA 2"
"1056","ESQUIRE ELECTRONICS LIMITED , 102, TO SATRASTA , WIRELESS , NIKETON"
"1072","SARKARI KARMACHARI HOSPITAL"
"1073","INDEPENDENT UNIVERSITY BANGLADESH(IUB),BASUNDHARA R/A"
"1076","RD 2C , BLOCK C , BASUNDHARA R/A"
"1077","H-CUBE SALON , AZIZ SHARAK BRANCH ,. JAGANNATH VATARA"
"1095","POPULAR HOSPITAL , DHANMONMDI ROAD 2, DHANMONDI R/A"
"1097","LILY,H 398,NEW EASKATON RD,NEW EASKATON"
"1111","34,UTTAR SHYAMOLI,PASCHIM AGARGAON,SHYAMOLI ROAD NO 2,MA VILLA GOLI,MUKTI HOUSING,UTTAR SHYAMOLI,PASCHIM AGARGAON"
"1115","open kitchen 2"
"1120","121,D BLOCK 7 NO ROAD, BASUNDHARA R/A"
"1133","farmhouse burger"
"1140","BRITANNIA NISHAT,BLOCK C,BASUNDHARA R/A"
"1149","PESHWARAIN, WARI , 16B , 1 RANKING STREET"
"1166","AMBLE NONGOR,BLOCK E, BASUNDHARA R/A"
"1178","EXTENSION WING 2 SQUARE HOSPITALS LIMITED , LAKE CIRCUS ROAD , KALABAGAN"
"1179","RAHMAN ASSADA , GA 41 , SCHOOL RD MOHAKHALI"
"1182","PLOT 228 , RD 2 , BLOCK B , BASUNDHARA R/A"
"1186","LEGAL SOLUTIONS HIGH-COURT AREA SHAHBAGH"
"1197","HOSSAIN MOHAMMAD ARSHAD GOVT. PRIMARY SCHOOL,BLOCK C,KHILGAON,CHOWDHYRPARA,KHILAON"
"1198","H 224/G , OUTER CIRCULAR RD , MALIBAGH , SHAHI MOSHJID MALIBAGH"
"1207","NOYA NAGAR JAME MASJID , ABUR TEK RD KHILKHET"
"1219","8/3 LAKE CIRCUS KALABAGAN"
"1226","DOMESTIC TERMINAL (DAC),HAZRAT SHAHJALAL,INTERNATIONAL AIRPORT"
"1231","BULBUL DREAM,740,ROAD NO 10,BASUNDHARA R/A"
"1233","JAMAYET HAZRAT ABUBAKKAR SIDDIQ ( RA) DAKHIL MADRASA"
"1237","RD 9,BLOCK I,BASUNDHARA R/A"
"1238","GUCHARTEK GRAVEYARD , DEWANPARA RD , VASHANTEK"
"1240","12//THA,SHYAMOLI ROAD NO 3,MUKTI HOUSING,UTTAR SHYAMOLI,PASCHIM AGARGAON"
"1246","ASHIRBAD BANANI DOHS"
"1254","URVBAN SHAH RASTI HOUSE , 46 , ROAD 5 , DHANMONDI R/A"
"1255","BIMAN HOLIDAY-PREMIUM LOUNGE,
HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,
KURMITOLA"
"1262","DHAKA AIRPORT SERVICES,
HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,
KURMITOLA"
"1263","NITOL NILOY TOWER NIKUNJO 2"
"1266","AHR,S K MANNAN RDD,MOINARTEK"
"1268","MAJUMDER'S KEMAL ATATRUK AVENUE BANANI"
"1270","CLARA CARE SERVICE LTD , HEAD OFFICE , SOUTH KURIL"
"1272","MOON LIGHT , 520 . SARAK 15/A, BASHUDNHARA R/A"
"1276","DUSTBIN , ZAHIR RAIHAN SHARANI RD, NOORBAGH , SIDDIKBAZAR"
"1286","UTTARA SECTOR 4 TURF GROUND"
"1287","UNICAFE RESTAURANT & FUN PANTHAPATH"
"1304","10/3 10/4 ""SHARALIPI  SHILALIPI "" TALLABAG , SOBHANBAGH , DHAKA"
"1309","NOOR TAJ , H 257 , AFROZA BEGUM RD , BLOCK F , BASUNDHARA R/A"
"1316","SHYAMOLI SHISHU MELA BUS STOP"
"1322","MUTUAL TRUST BANK LIMITED , ROAD 01 ,BLOCK B , BASHUDNHARA"
"1324"," TENEMENT 2, H 301/A, RD 6 , BLOCK E, 
BASHUNDHARA R/A"
"1331","DHKA RAILWAY STATION"
"1332","NATIONAL INSTITUTE OF CARDIOVASCULAR DISEASES (NICVD)"
"1347","NIRUPOMA GARDEN APARTMENT,MIRBAGH,MAGBAZAR"
"1349","DAKSHIN MOLLA TAG,BOTTOLA,DAKSHIN MOLLA TAG,DAKSHINKHAN"
"1354","RIVERDALE REGALIA , 34 , ROAD 28 ( NEW 15 ) , DHANMONDI R/A"
"1355","JAFF ARENA ACADEMY"
"1357","LANE 2, SAECVTION 6"
"1361","ZAEA TOWER NHOSUE 273/274, ROAD 1 ADABAR , MOHAMMADPU"
"1363","AFTAB NAGAR MAIN RD"
"1371","MUGDA PARA POLICE STATION"
"1385","VERTICAL HORIZON , 31/A , ROAD 5 , DHANMONDI R/A"
"1399","HOUSE 25 , ROAD 3 , RESIDENTIAL AREA , SHANMONDI"
"1403","H 283 292,RD 11,BLOCK A,BASUNDHARA R/A"
"1405","159/16/A CHANDRIMA LANE,MUKTI HOUSING,PASCHIM SHEWRAPARA"
"1414","CONCORD TWIN TOWER SHOPPING COMPLEX , SHANTINAGAR RD , SHNATINAGAR"
"1423","DREAM HOME,HOUSE 1036,ROAD 49,BLOCK L,BASUNDHARA R/A"
"1426","BOSHAR JAYGA , PURBO , CHANDIMA UDDAN , SHONGSADH BHABAN"
"1427","HOUSE 300 , NSU DRIVEWAY , BLOCK B , BASUNDHARA R/A"
"1428","SARWAR GARDEN , HOUSE 117 , BLOCK B , ROAD 6 , BLOCK B , BASUNDHARA R/A"
"1436","35,ROAD 5,DHANMONDI R/A"
"1447","28,ROAD NO 1,BLOCK A,,BASUNDHARA R/A"
"1448","203,AGARGAON SHYAMOLI,PASCHIM AGARGAON,SHYAMOLI ROAD NO 2,MUKTI HOUSING,AGARGAON SHYAMOLI,PASCHIM AGARGAON"
"1450","SWAPNEER, LAKE CITY CONCORD , KHILKHET"
"1454","JAMUNA FUTURE PARK APARTMENT COMPLEX , NSU RD , BLOCK B , BASUNDHARA R/A"
"1455","ROZA GREEN"
"1458","REDICAL HOSPITAL,SHAH MAKDUM AVE,SECTOR 12"
"1460","BENGAL MEAT , SECTOR 3 , UTTARA JASHIMUDDIN AVENUE"
"1462","RD 3 , NOBODOY HOUSING SOCIETY , MOHAMADPUR"
"1463","SHIKDER MEDICAL COLLEGE"
"1465","DHAKA ELEVATED EXPRESS -SHEWRA RAIL GATE"
"1470","DHAKA NEW MARKET MASJID,FOOTOVER BRIDGE,NEW MARKET"
"1474","BASHUNDHARA PANIR PUMP , AL HAJ  ABDUS SOBHAN ROAD 1 , BASHUNDHARA R/A"
"1475","NANDIPARA GARMENTS RD, NANDIPARA BASABO"
"1488","HOUSE 21 , NIKUNJA 2"
"1490","POPULAR HOSPITAL,DHANMONDI ROAD 2,DHANMONDI R/A"
"1494","BATB PLAY GROUND,MOHAKHALI DOHS"
"1496","CKD UROLOGY HOSPITAL,32,ROAD NO 3,MUKTI HOUSING SHYAMOI"
"1497","HAZARIBAGH PARK MATH,NOBABGONJ MAIN RD,BOTTOLA,HAZARIBAGHJ"
"1498","SHAWAPNOPURI,197,ROAD 6/1,BASUNDHARA R/A"
"1502","VERVAIN BANANI , BLOCK G"
"1505","SEL OASIS , H 116/A , KAZI NAZRUL ISLAM AVE , PARIBAG , RAMNA"
"1506","BIO-XIN COSMECEUTICALS , MIRPUR DOHS"
"1507","71/A , ROAD NO 1 , BLOCK A , BASUNDHARA R/A"
"1509","PLOT 620 , ROAD 9 , AVE 2, MIRPUR DOHS"
"1524","HOUSE 753,ROAD 33,BLOCK L,BASUNDHARA R/A"
"1525","271/C , I BLOCK ROAD 7 , BASHUDNHARA R/A"
"1527","A.S SHOPNO NEER , 484/2 , NORTH KAFRUL ROAD , SOUTH KAFRUL , POSCHIM KAFRUL"
"1528","DHALI FOOD COURT,BASUNDHARA R/A,BLOCK E"
"1534","ZIA UDDAN MASJID,CHANDRIMA UDDAN RD,CHANDRIMA UDDAN"
"1535","SOMASPUR HOUSE , H 329, ULON RD ULON"
"1536","DUTCH BANGLA BANK , MIRPUR ROAD , SECTION 2"
"1538","HAJI ABDUL QADIR JAME MASJID COMPLEX(AC MOSJID),SHANTIBAG,MALIBAG"
"1542","EURO LIFT , BLOCK I , BASHUNDHARA R/A"
"1555","MOHANAGAR PROJECT WATER PUMP ,  ROAD 7 MOHANAGAR HOUSING PROJECT , NIKETAN"
"1557","BAITUL QURBAN JAME MASJID AND MADRASA, MOSJID ROAD , BAUNIABADH , SECTION 11"
"1561","NEXUS URBAN , ERSHAD ULLAH JEWEL 9.8 KATA M BLOCK , BASHUNDHARA R/A"
"1566","NORTH SOUTH  UNIVERSITY ( NSU)"
"1568","ROAD NO 5 , BLOCK A , BASUNDHARA R/A"
"1569","SQUARE HOSPITAL LTD , PANMTHAPATH"
"1573","DHAKA MEDICAL COLLEGE HOSPITAL,SIR SAYED ROAD,FAKIRAPOOL,SIDDIKBAZAR"
"1574","HOUSING AND BUILDING RESEARCH INSTITUTE MIRPOUR RD , DARUSSALOM DARUS SALAM"
"1575","BRB PVT HOSPITAL LTD,PANTHAPATH"
"1576","KAWLA BAZAR , KAWLA BAZAR RD , CIVIL AVIATION RESIDENRIAL AREA , DAKSHINKHAN"
"1580","RAJDARSHAN: HALL-3 ( ICCB ) , INTERNATIONAL CONVENTION CITY BASHUNDHARA ( ICCB ) , 300 FEET"
"1581","SPRING RAJBARI , 32 , ROAD 2 , SECTOR 12"
"1583","G-STUDIO , K M DAS LN , TIKATULI"
"1584","UTTARA CABLE NETWORK,SECTOR 9"
"1586","H 447,RD 6,BLOCK D,BASUNDHARA R/A"
"1590","SHOILPIC , 403/C , I BLOCK , ROAD 4 , BAHSUDNHARA R/A"
"1592","HOTEL ZAKARIA INTERNATIONAL,H 50,RD 1,MOHAKHALI"
"1593","ZIGATOLA TENARI MOR"
"1594","CENTRAL RD,MOHAKHALI DOHS"
"1596","MEDINOVA,OUTER CIRCULAR ROAD,MALIBAGH MOR,MALIBAGH"
"1597","BKASH CARE,BANASREE,BLOCK G"
"1602","#259 , 260 , ROAD 9 , BLOCK C , BASUNDHARA R/A , 1229"
"1603","IBN SINA HOSPITAL 68 ROAD 15A DHANMONDI R/A"
"1605","METRO HOUSING BLOCK A ROAD 3 BOCHILA MOHAMMADPUR DHAKA,BOSILA,MOHAMMADPUR"
"1606","ROAD 6 NIKETON , NIKETON HOUSING SOCIETY , NIKETON `"
"1609","SHOPNO NIBASH , 12 /A , ROAD NO . 17 , BASUNDHARA R/A"
"1613","MATUAIL MEDICAL BUS STOP,DHAKA CHITTAGONG,HIGHWAY"
"1614","DHAKA BANK,MIRPUR RD,KALABAGAN"
"1615","KALACHANDPUR BAITUL NUR CENTRAL JAMIA MASJID , KALACHANDPUR MAIN RD , KALACHANDPUR"
"1617","AVILSAH , 831, ROAD NO 17 , BASHUNDHARA R/A"
"1618","OUTFIT , UTTARA 10 ., SECTOR 10"
"1619","LN 10,MOHAKHALI DOHS"
"1624","WALTON HEADQUARTER,RD 8,BLOCK D,BASHUNDHARA R/A"
"1629","LADIES ' CLUB AUDITORIUM , ESKATON GARDEN RD , OLD ESKATON"
"1630","SATARA CONVENTION HALL , H 1/11, BEGUM ROKEYA SARANI , BLOCK B , MIRPUR 12"
"1631","MIM STORE,H 63/4,MASJIDER GOLI,ADABOR"
"1633","BTCL OFFICE,MIRPUR DOHS"
"1634","PHILO,56,ROAD 15A,DHANMONDI R/A"
"1636","SUNNYDALE EARLY LEARNING I(DHANMONDI CAMPUS),RESIDENTIAL AREA"
"1638","LIFEMED POLYMER TECHNOLOGY LTD,NAMAPARA,KHILKHET"
"1640","H 14 , RD 3 , BLOCK E , BANASHREE"
"1642","EAT HAUS , ROAD 17 , BANANI"
"1646","FOODSPIRE"
"1655","DHAKA WASA HARUN MOLLAH EID GAON MATH PUMP STATION BLOCK A MIRPUR 12"
"1656","DAILY SHOPPING,KHILKHET NAMAPARA RD,LAKECITY CONCORD,KHILKHET"
"1659","RD 15 , BLOCK G , BASUNDHARA R/A"
"1662","416, ROAD NO 16 , BLOCK A , BASHUNDHARA R/A"
"1666","NORTH SOUTH UNIVERSITY(NSU0"
"1667","BHUIYAN BAI,NAMAGENDA,BANK TOWN"
"1671","KOLAPATA RESTAURANT,HOUSE 13,ROAD 19,NIKUNJA 2"
"1676","NINAKABBO,BIR UTTAM MIR SHAWKAT SARAK,EAST NAKHALPARA,NIKETON"
"1683","MOTALIB PLAZA , HATIR POOL CIRCLE"
"1684","H 69,RD 8,BLOCK B,BASHUNDHARA R/A"
"1685","BAIPAYL BUS STOP  , NABINAGAR CHANDRA ROAD , BAIPAYL"
"1688","FANCY TRAVELER,BLOCK C,BANANI"
"1691","ananda food house"
"1692","AHMED AKBAR SOBHAN KARJALOY , BLOCK E , BASHUNDHARA"
"1694","PLOT 490 , RD 15 , BLOCK G , BASHUNDHARA R/A"
"1695","SOHAG BUS DEPOT,MALIBAGH BAZAR RD,CHOWDHURIPARA,MALIBAGH"
"1702","BABY SHOP,10,KACHA BAZAR ROAD,SECTION 11"
"1705","235/1 A , MOSJID GOLI , AHMMED NAGAR , PAIK PARA , SENPARA PARBATA , AHMED NAGAR"
"1706","DHAMRAI GOVERNMENT COLLEGE"
"1709","GHOSH GAO KOBORSTHAN PANJAGANA MASJID PASCHIM GA"
"1710","3/43/A,NIRBAN SHANTIKUNJA,SHOHORKUNJA R/A,SULTANGANJ RD,RAYER BAZAR,DHAKA"
"1713","H 48, NEW EASKATONRD, NEW EASKATON"
"1714","UNIQUE REGENCY HOTEL DHAKA , BLOCK C, BANANI"
"1715","HOUSE 23, ROAD 2, BLOCK G , BANASREE PROJECT"
"1720","SYDABAD BUS STAND"
"1722","TARA MEDICAL CENTER , H 2 , TARA MEDICAL RD , MOHAMMADPUR SOCIETY , MIRPUR 10"
"1723","HABIB ENTERPRISE 9,SENPARA PARBATA,SECTION 13"
"1724","TAREK ASSOCIATES BIR UTTAM CR DUTTA ROAD,WEST BANGLAMOTOR"
"1727","RELAX MATS , BLOCK B , BANASREE"
"1729","EASTERN MOLLIKA SHOPPING COMPLEX"
"1730","MIZAN JAME MOSJID , 213/4/3 , UTTAR SHYAMOLI , PASCHIM AGARGAON , SHYAMOLI ROAD NO.2 , MUKTI HOUSING , PASCHIM AGARGAON"
"1731","CHADPUR BOOK CENTER,NILKHET,NEW MARKET"
"1734","AL ARAFA ISLAMI BANK LTD , H 262,263, ALHAZ ABDUS SOBHAN RD , BLOCK B , BASUNDHARA R/A"
"1742","DAMINI DALAN , HOUSE NO 22 , BLOCK D , ROAD 6 , NIKETON HOUSING SOCIETY , GULSHAN 1"
"1745","AIRPORT FURNITURE , ASHKONA, DAKKHINKHAN"
"1748","HAWKER FARUK BANDHU AT DHANMONDI,DHAKA,WEST"
"1754","BAITUL MAMUR JAME MASJID,HAZI ALA BOX RD,WEST ARICHPUR"
"1755","BNS HAJI MOSHIN , SOUTH KAFRUL ROAD , SOUTH KAFRUL , WEST KAFRUL"
"1758","FARIA GENERAL STORE , ABDULLAHPUR ATIPARA RD , GOALTEK , DAKSHINKHAN"
"1761","KHILGAON MODEL COLLEGE , SHAHID BAKI SARAK , KHILGAON , SHHJAHANPUR"
"1768","NSU FEMALE LOUNGE,BLOCK B,BASUNDHARA R/A"
"1770","UTTARA SECTOR 5 WELFARE SOCIETY"
"1776","BARIDHARA DIPLOMATIC  ZONE"
"1785","BASHIR UDDIN RD , KALABAGAN"
"1790","BAITUS SALAT KUWETI MOSQUE"
"1804","SIGNBOARD BUS STOP , DHAKA CHITTAGONG HIGHWAY  , SIGN BOARD , SHIDDHIRGANJ , NARYANGANJ"
"1805","NINAKABBO, BIR UTTAM MIR SHAWKAT SARAK, EAST NAKHALPARA, NIKETON"
"1806","LAZ PHARMA UTTARA 1 BRANCH"
"1813","PUBLIC WORKS DEPARTMENT,
SHER E BANGLA NAGAR AGRICULTURAL UNIVERSITY,
SHER E BANGLA NAGAR"
"1824","SHAHJALAL INTERNATIONAL AIPORT DOMESTIC TERMINAL"
"1826","NIKETON CENTRAL JAME MASJID,RD 4,BLOCK A,NIKETON"
"1829","NORTH SOUTH UNIVERSITY (NSU0"
"1843","KAWLAR BAZAR JAME MASJID , SHIYALDANGA RD , KAWLAR BAZAR DAKSHINKHAN"
"1845","AIUB CAMPUS,KURTALI,KHILKHET, BASUNDHARA R/A"
"1847","NOOR JAHAN POWER  COMPANY , GREEN ROAD , DHANMODNI"
"1850","RAHIM COTTAGE , H 10 /12, IQBAL RD , MOHAMMAFDPUR"
"1853","HEALTH AND HOPE SPECIALIZED HOSPITAL PANTHAPATH"
"1876","PLOT 575 , RD 9 , BLOCK G , BASUNDHARA R/A"
"1878","NORTHWOOD , H 379, RD 9 , BLOCK D , BASUNDHARA R/A"
"1884","LOBELIA , 21 , ROAD 28 ( NEW 15 ) , DHANMONDI R/A"
"1890","SHONI SQUARE CHATTAR MIRPUR ZOO ROAD"
"1916","CENTRAL SHAHEED MINAR,SIR SAYED ROAD,FAKIRAPOOL,SIDDIKBAZAR"
"1922","G/9 , BASH BARI ROAD , MOHAMMDPUR"
"1925","ABDUL GHANI LODGE  , 23/P , ROAD NO. 2 , BLOCK D , BASUNDHARA R/A"
"1926","THE MIRROR A TASTE OF FUSION CUISINE , ROAD 8 , DHANMONDI R/A"
"1934","RD 9 BLOCK B , BASUNDHARA R/A"
