"","location"
"3","1/X , ROAD NO 9 , BASHUDNHARA R/A"
"6","SHUKTARA,BLOCK D,BASUNDHARA R/A"
"16","HOSUE 644 , ROAD 9 , BLOCK I , BASHUDNHARA R/A"
"19","H 22/3 , FREE SCHOOL ST , HATIRPOOL"
"21","THIKANA,K-1/B,LICHU BAGAN RD,JOAR SHAKARA"
"26","krisha cura , h 74/c/1  gate 3 rd monipuri para"
"28","ISHANDI SARAK"
"30","TARKA BANANI"
"36","PALLABI EXT. GATE 2"
"43","SHAHEERSTAR , FAIDABAD , DAKKHINKHAN"
"45","SQUARE HOSPITALS LTD , PANTHAPATH RD  , KALABAGAN"
"52","H 977/2 BEGUM ROKEYA SARANI WEST SHEWRAPARA"
"57","PARK PANAROMA, 42 , ROAD 5, DHANMONDI R/A"
"58","RD 19 , BLOCK J , BASUNDHARA R/A"
"67","NORTH SOUTH UNIVERSITY  ( NSU )"
"84","SOMEREST ROSACEASE , H 185, RD 5 , BLOCK A , BASHUDNHARA R/A"
"110","KHILGAON IMAMBAG JAME MASJID,KHILGAON JHEELPAR RD,TALTOLA,KHILGAOON"
"116","NAJEEBITES,BLOCK J,BASUNDHARA R/A"
"118","masdair , naryanganj"
"120","JAMIA MADINATUL ULUM MADRASA, BAITUL RAHMOT MASJID RD, NURERCHALA VATARA"
"137","HOUSE 1224,ROAD 29,BLOCK K,BASUNDHARA R/A"
"146","PLOT 134,RD 12,BLOCK G,BASUNDHARA R/A"
"147","SALMA HERITAGE , 421 , I BLOCK ROAD 4 , BASUNDHARA R/A"
"151","riazbagh taltola khilgaon 3namvar road , riajbagh"
"160","NEXTUS FATEA , 243, D BLOCK 7 NO ROAD BLOCK D, BASHUDNHARA R/A"
"163","square hospital ltd panthapath"
"171","BAVS PRODHAN KARJALOY , MIRPUR MODEL THANA , MI"
"179","ROAD 6 , DHANMONDI R/A"
"183","PATURIA FERRY GHAT"
"186","NORI,BLOCK C,BANAN"
"188","PINEWOOD: CAFE+KITCHEN DHANMONDI , ROAD-6 , GREEN ROAFD"
"199","H 961, PARTY HOUSE RD , RAJARBAG , MALIBAG"
"205","SQUARE HOSPITAL  LTD , PANTHAPATH RD , KALABAGAN"
"214","AMERICAN HOSPITAL H 5 ,. MAIN RD , SOUTH BANASREE PROJECT , ARMPURA"
"227","AZIZ GARDEN,554,AHMED AKBAR SOBHAN AVENUE,BLOCK D,BASUNDHARA R/A"
"240","PLOT 639 , RD 5 , BLOCK G , BASUNDHARA R/A"
"246","H 281 , RD 9 , BLOCK D , BASHUDNHARA R/A"
"254","BANGLADESH BONOSHILPO CORPORATION"
"258","BHOLA CHARSHIFULY,SADAGHAT LAUNCH TERMINAL"
"260","EUNOOS CENTER,DILKUSHA,MOTTIJHEEL"
"272","VASHANTEK BAZAR JAME MASJID , BAZAR RD VASHANTEK"
"279","PREMIER BANK LIMITED, DHAKA MYMENSINGH HIGHWAY, WEST ARCHIPUR, MOINARTEK"
"282","UTTAR BADDA PURBO BAITUL MAMUR JAME MASJID , SHATARKUL RD , EAST NURERCHALA"
"300","BANALATA , HOUSE 239 , ROAD NO. 2 , BLOCK B , BASUNDHARA R/A"
"303","2 , RD 14 , ASABOR"
"304","NOETH SOUTH UNIVERSITY ( NSU )"
"305","ADARSHA SHISU GOVERNMENT PRIMARY SCHOOL K B SHAH RD AMLAPRA MARYAMGAMJ SADAR NARYANGANJ 1400"
"311","NIKETON SOCIETY GATE 3, RD 11, BLOCK E , NIKETON"
"318","MOTALIB PLAZA C, HATIRPOOL CIRCLE"
"324","HOUSE 166,BLOCK B,ROAD 4,BLOCK B, BASUNDHARA R/A"
"325","HONDA SHOWROOM BIKE VALLEY , CHOWRASTA MOAR , GATACHAR"
"331","JAMUNA FUTURE PARK ENTRY WAY,
PROGATI SARANI, BASUNDHARA "
"343","NORTH SOUTH FOOT OVER BRIDGE"
