"","location"
"11949","BANANI MODEL SCHOOL,ROAD 05,BLOCK F,BANANI"
"11950","NAM VILLAGE,10,ROAD NO 2,MOHAKHALI,GULSHAN"
"11951","BISWAS SULTAN PLAZA , BIR UTTAM ZIAUR RAHMAN ROAD , ARJOTPARA , MOHAKHALI"
"11952","MITHAI MIRPUR CHIRIAKHANA RD"
"11953","SHOHOZ WEB,MOHAMMADIA HOUSING SOCIETY,MOHAMMADPUR"
"11954","HOUSE 1/F ( BELANEEL ) , SHAFIAT ROAD ( END OF ROAD 2 ) BLOCK C , BASUNDHARA R/A"
"11955","KHILKHET TRAFFIC POLICE BOX , NIKUNJA 2"
"11956","B.N.C.C. CANTEEN & RESTAURANT , SECTOR 6, UTTARA"
"11957","KHILGAON MATIR MASJID , MATIR MASJID RD , KHIJGAON"
"11958","BTI COSMOPOLITON , BLOCK J , BANANI"
"11959","MODHUBAG PLAYGROUDDN,MODHUBAG,BORO BAZAR"
"11960","BANGLADESH ARMY HEADQUARTERS , DHAKA CANTONMENT"
"11961","PEOPLES HOSPITAL LIMITED CHOWDHURYPARA MALIBAGH"
"11962","HOUSE 53,ROAD 13,BLOCK E,BANANI,DHAKA"
"11963","BHAI BHAI HAIR STYLE SALOON , SECTOR"
"11964","DHAKA NEW MARKET MASJID FOOTOVER BRIDGE , NEW MARKET"
"11965","TITAS GAS , H 105, KAZI NAZRUL ISLAM AVE, KAWRAN BAZAR"
"11966","BAFSD ENGLISH LANGUAGE & LITERATURE CLUB , BAF SHAHEEN COLLEGE , JAHANGIR GATE"
"11967","SARKAR MEDICAL HALL , 792/1 , IBRAHIMPUR ROAD , NORTH KAFRUL , PURBA KAZIPARA"
"11968","WELL FOOD HEAD OFFICE , VIP ROAD , MOHAKHALI DOHS , MOHAKHALI"
"11969","IQBAL CENTER , KEMAL ATATRUK AVENUE , BANANI"
"11970","6 , ROAD 5 , SECTION 6"
"11971","AL MADINA GENERAL STORE , DHAKA UDDAN , MOHAMMADPUR"
"11972","ALHAZ GROUP OF INDUTRIES , KAMALAPUR  RD , MOTIJHEEL"
"11973","TURKISH BAZAAR & RESTAURANT , 48 , ROAD 13C , BANANI"
"11974","CHAPAKHANAR MOR , AHMADNAGAR , PAIKPARA"
"11975","ROSE CASTLE 71 , ROAD NO 5, BLOCK D, BASHUDNHARA R/A"
"11976","MEAT THEORY , BLOCK F ,BANANI"
"11977","JAMUNA FUTURE PARK , PROGATI SHARANI , ABSHUDNAHRA R/A"
"11978","BAITUL WAHAB JAME MASJID , H 173 , RD 6 , MOHAMMADI HOUSING SOCIETY , MOHAMMADPUR"
"11979","HOUSE 345, ROAD 12 , BLOCK E , BAHSUDNHARA R/A"
"11980","EASTERN HOUSING EID CATTLE MARKET , PALLABI , MIRPUR -12"
"11981","SUMON MEDICINE CORNER , IPH ROAD MOHAKHALI"
"11982","KAZI PHARMACY , MIRPUR ROAD , TALTOLA , SHYAMOLI"
"11983","ADDA MULTI CUISINE RESTAURANT , RESIDENTIAL AREA DHANMONDI"
"11984","ADABAR ROAD 2, MOHAMMADPUR"
"11985","AZIMPUR CHAPRA MASJID , AZIMPUR RD"
"11986","SOUTH KAFRUL , KAFRUL"
"11987","HOUSE 66, ROAD 13 , SECTOR 11, UTTARA"
"11988","SIMPLE TREE ANARKOLI"
"11989","AHSANIA MISSION CANCER HOSPITAL , PLOT 3 , EMBANKMENT DRIVE WAY , SECTOR 10 , UTTARA"
"11990","MAYER DOWA GENERAL STORE , ROAD 10 , SECTOR 10 , UTTARA"
"11991","NAM VILLAGE , H 1/2 , RD 6 , GULSHAN 1"
"11992","JAPAN EAST WEST MEDICAL COLLEGE"
"11993","KHONIKALOY , 244, ROAD NO 10 , BLOCK A , BASHUNDHARA R/A"
"11994","AL HELAL HOSPITAL , H 150 , AL HELAL HOSPITAL GOLO , SENPARA PARBATA , MIORPUR 10"
"11995","EVERCARE HOSPITAL , PLOT 81 , BASHUNDHARA ROAD , BLOCK -E , BASUNDHARA"
"11996","PLOT 281 281/B , SAYEM SOBHAN  ANVIR ROAD , BLOCK  C , BASUNDHARA R/A"
"11997","BANGLADEDSH OPEN UNIVERSITY, BANGLADESH OPEN UNIVERSITY RD , 1711"
"11998","HOUSE 29, ROAD 13 , SECTOR 10 , UTTARA"
"11999","NATIONAL INSTITUTE OF MENTAL HEALTH  AND HOSPITAL, MIRPUR RD, SOHRAWARDI MEDICAL COLLEGE & HOSPITAL , SHE E BANGLA NAGAR"
"12000","BAILEY ROAD OFFICERS COLONY , SAHID CAPTEN MUNSUR ALI AVENUE , WIRELESS, PALTAN"
"12001","SHEIKH JAMAL DHANMONDI CLUB LTD,RD 8,DHANMONDI"
"12002","SATARKUL RD , NORTH BADDA"
"12003","10, BEGUM ROKEYA SHARANI , MIRPUR 11 , 1216"
"12004","ZH SIKDAR WOMENS MEDICAL COLLEGE HOSPITAL,BERIBADH RD,RAYER BAZAR"
"12005","sub registry office , industrial area , tejgaon"
"12006","HOUSE 27,ROAD 1A,BLOCK I,BANANI,DHAKA"
"12007","MENTORS ' UTTARA CAMPUS 1 & BRITISH COUNCIL IELTS TEST VENUE , SECTOR 3"
"12008","MAYER DOA GENERAL STORE , H 591 , RD 10 , ADABOR"
"12009","MUGHAL KABAB HOUSE , ROAD 27 , DHANMONDI"
"12010","PROMINRNT HOUSING BAITUL JAMIA MASJID PC, CULTURE RD 3, ADABAR"
"12011","AAA HOUSE  ( HOUSE 11) SECTOR 7, UTTARA"
"12012","DAKKHIN BISHIL ADARSHA BIDDANIKETON RD 6 , MIRPUR 1"
"12013","AA SADIK TOWER , H 176 , EAST KAZIPARA RD , KAZIPARA"
"12014","AMIN GARDEN , 3/A , RAZA SREENATH STREAT, LALBAGH"
"12015","INCEPTA PHARMACEUTICAL COMPANY LTD , SHAHID TAJUDDIN AHMED SARANI , TEJGAON"
"12016","SAMPAN - MUGHAL KABAB HOUSE , ROAD 27 , DHANMONDI"
"12017","248/1/2, UTTAR SHYAMOLI , PASCHIM AGARGAON , SHYAMOLI ROAD NO 2, MUKTI HOUSING , PASCHIM AGARGAON"
"12018","RD 16 NO . BAZAR , BAITUL AMAN HOUSING"
"12019","SECTOR 10 , UTTARA"
"12020","BRAC BANK LIMITED  ATM, SEGUNBAGICHA"
"12021","RD 11 , BLOCK C , MIRPUR 6"
"12022","SIGNATURE BD , BLOCK D , BANANI"
"12023","ALLIANCE FRANCAISE DE DHAKA , GULSHAN 1 , GULSHAN"
"12024","HASNAHENA , HOUSE 350/A , ROAD 9 , BLOCK C , BASINDHARA R/A"
"12025","H 12/A , RD 9  JANATA HOUSING MOHAMMADPUR"
"12026","LAZZ PHARMA,FARMGATE,TJGAON"
"12027","WEST WIND POINT CHA 89/4 , 89/5, FLAT F  15 NORTH BADDA , PROGATI SARANI"
"12028","WEST NAYAMATI RAILLING JAME MASJID , PAGLA LINK RD , PAGLA , NARAYANGANJ"
"12029","AN ARK HOUSE , 103 , AVENUE 1  , MIRPUR DOHS , MIRPUR DHAKA 1216"
"12030","BITEL TELECOM, H 65/C JIGATALA POST OFFICE RD , JIGATALA"
"12031","HIDOKS ELEVATOR BANGLADESH(SUPPLIER SUPPORT CENTRE),MIRPUR DOHS"
"12032","RD 58 , GULSHAN 2"
"12033","DHAKAIYA KACCHI,KARIM CHAMBER,MOTIJHEEL"
"12034","H 1, RD 15 , GULSHAN 1"
"12035","RAJU MUDI STORE,ROAD NO 2,BLOCK A,BASUNDHARA R/A"
"12036","RUPA'S HOUSE , H 94/2, MANESHWAR RD , HAZARIBAG"
"12037","COMPUTER NETWORK SYSTEMS LTD , BRINDABON RD , MIRPUR  DOHS"
"12038","MIRPUR 6 NO BAZAR , MIRPUR 6"
"12039","68 , SHONALIBAGH , WIRELESS , MOGBAZAR"
"12040","H 153 R-5, BLOCK C , BLOCK C , BASHUNDHARA R/A"
"12041","AFPI , KURMITOLA ROAD , UTTAR KAFRUL , PURBA KAZIPARA"
"12042","UNITED COMMERCIAL BANK LIMITED ATM, SHYAMOLI , MOHAMMADPUR"
"12043","N.J GARDEN , 405/2, FREE SCHOOL STREET , DHANMONDI"
"12044","EXPRESS FASHION BLIND,BARIDHARA J BLOKCK,NOTUN BAZAR"
"12045","AMANULLAH TRADE CENTER , GULSHAN 2 , GULSHAN"
"12046","CHUNKUTIA GIRLS HIGH SCHOOL,KALIGONG BAZAR RD,BANGLA BAZAR,KERANIGANJ SUBDISTRICT"
"12047","A BLOCK,BASUNDHARA RESIDENTIAL AREA,DHAKA,BANGLADESH"
"12048","479, ROAD NO.17 , BASUNDHARA R/A"
"12049","H 3 , RD 12 , SOUTH BANASHREE PROJECT , RAMPURA"
"12050","KOLABAGAN BUS STOP,MIRPUR RD,DHANMONDI"
"12051","DAILY SHOPPING,ROAD 2,SECTOR 10,UTTARA"
"12052","RD 1 , BARIDHARA"
"12053","BANGLAMOTOR BUS STOP , BANGLAMOTOR RAMNA"
"12054","SKY VIEW TRADE CENTRE , SHANTINAGAR ROAD , SHANTINAGAR , KAKRAIL"
"12055","KIRONHOUSE,HOUSE 27/A,ROAD 5,BLOCK F,BANASHREE"
"12056","POWER GRID OF BANGLADESH LIMITED , WAPDA RD , WEST RAMPURA"
"12057","BAF SHAHEEN COLLEGE,KURMITOLA,KURMITOLA RD,DHAKA CANTONMENT"
"12058","SB TOWER , BLOCK-E , SECTOR - 2 , AFTABNAGAR , BLOCK E"
"12059","HOUSE 36 ROAD 7 UTTORA SECTOR 13"
"12060","HOTEL SARINA DHAKA , KEMAL ATATURK AVENUE , BANANI"
"12061","PAYRA MODEL SCHOOL, 1, SECTION 2"
"12062","SHARNALI 38 , ROAD 6 , BLOCK C, BANANI"
"12063","HOUSE 6/C , ROAD 1 , BLOCK D , NOBODOY HOUSING SOCIETY , MOHAMMADPUR"
"12064","KHILGAON POLICE STATION,SHAHID BAKI SARAK,TALTOLA,KHILGAON"
"12065","H 70/7,NIJHUM RESIDENTIAL RD,NIJHUM R/A,HAZARIBAG"
"12066","THIKAN ARIVER SIDE WODDEN  PLATFORM , BORO BERAID"
"12067","1/E,ROAD 2,BLOCK C,BASUNDHARA R/A"
"12068","HOUSE-47 , ROAD -11 , SECTOR -13 , UTTARA"
"12069","12 13 MOR , SECTOR 12"
"12070","DOMINOS PIZZA BANANI,ROAD 11,BLOCK E,BANANI"
"12071","SRG ,BLOCK K, BASHUNDHARA R/A"
"12072","
RYANS COMPUTER MIRPUR 12, EASTERN PALLABI , MIRPUR 11.5 "
"12073","SOFTIC,BIR UTTAM CR DUTTA ROAD,WEST BANGLAMOTOR"
"12074","HOUSE 77 , ROAD 17 , SECTOR 14, UTTARA"
"12075","TOGUMOGU PARENTING APP,WEST DHANMONDI"
"12076","AT MACH , CHOWDHURY PARA , MALIBAGH"
"12077","NUVISTA PHARMA LIMITED , MIRPUR DOHS"
"12078","RD 6 , BAITUL AMAN HOUSING SOCIETY , ADABOR"
"12079","STANDARD CHARTERED BANK,GULSHAN 1,GULSHAN"
"12080","MATIR GHOR RESTAURANT , DHAKA CITY BYPASS, RAYERDIA , RUPGANJ , NARAYANGANJ"
"12081","PRINTMAN PICKUP POINT NSU , JAMUNA FUTURE PARK , KURIL"
"12082",",AX - 2GENTS PARLOUR AND EXCLUSIVE SALON, SECTOR 9, UTTARA"
"12083","PANDA DUMPLINGS , HOSNA CENTER , GULSHAN AVENUE"
"12084","ROAD 13A, SHANMONDI R/A"
"12085","RANA AVE , BLOCK D , BASUNDHARA R/A"
"12086","H 111/4,DIT RD,MALIBAG"
"12087","NEXTBUY MINI MART , 896 , MOMEMBAG ROAD , DOKKHIN SHAJAHANPUR , SHHJAHANPUR"
"12088","ARMY GOLF CLUB ENTRANCE,KURMITOLA"
"12089","7, ROAD 4 , SECTION 12"
"12090","12/A/5,BLOCK F,HAJI CHINO MIA ROAD,MOHAMMADPUR"
"12091","EASTERN HOUSING MAIN RD , EASTERN HOUSING , PALLABI"
"12092","BANANI GRAVEYARD,RD 27,BANANI"
"12093","KATHER MASJID , SHAHID MUZAFFAR SARAK , JATRABARI"
"12094","ROKEYA KUNJO COMUNITY CENTER,GIRDA URDU RD,BAKSHI BAZAR,KHAJE DEWAN"
"12095","GAS STATION,DHAKA CHITTAGONG HIGHWAY,SONARGAON,NARAYANGANJ"
"12096","TIFFINBOX,GULSHAN 2,GULSHAN"
"12097","1/6, BLOCK D , LALMATIA , MOHAMMADPUR"
"12098","HOUSE - 60 , ROAD -05, SECTOR - 13"
"12099","NAKHALPARA NOTUN RD ,  MOHAKHALI"
"12100","XINDIAN RESTAURANT , ROAD 16 , ( NEW ) 27 (OLD ) , DHANMONDI"
"12101","MOHAMMADI HOUSING LTD , MOHAMMADPUR"
"12102","LAB AID CARDIAC CENTRE,GREEN RD"
"12103","MONSURABAD ROAD 4 , HOUSE 25"
"12104","STAR SDOT COMPUTER,NURERCHALA RD,NURER CHALA,BADDA"
"12105","RD 30 , DHANMONDI"
"12106","BHAGGO KUL SREE NAGAR ,MUNSHIGANJ"
"12107","TAMANNA PHARMACY , 565, NORTH KAFRUL ROAD , SOUTH KAFRUL , PASCHIM KAFRUL"
"12108","COMPANY GHAT RD,COMPANY GHAT,KAMRANGICHAR"
"12109","PAKA MASJID 60 FEET RD , PIRERBAG"
"12110","SRANDARD CHARTERED BANK , GULSHAN CENTER POINT , HOUSE 67 , ROAD 91 , GULSHAN 1 , GULSHAN"
"12111","RD 5A,BLOCK C, BASUNDHARA R/A"
"12112","PAKAR MATHA LN , WEST SHEWRAPARA"
"12113","CHALET RESTAURANT & BAR , PARIBAGH , SHAHBAGH"
"12114","MEMBERS OF PARLIAMENT HOSITEL , SANGSAD BHABAN RD , SHER E BANGLA NAGAR"
"12115","NATIONAL PHYSIOTHERAPY & REHABILATION CENTRE,IQBAL ROAD,MOHAMMADPUR"
"12116","BRAC BANK LIMITED  ATM BOOTH , ROAD 23 , BLOCK B , BANANI"
"12117","GULISTAN,BANGABANDHU AVE,MOTIJHEEL"
"12118","IFIC BANK LTD,MIRPUR RD,GABTALI"
"12119","UPPERCRUST BOULANGERIS & PATISSERIE , GULSHAN 2 , GULSHAN"
"12120","SIMU HOME KITCHEN,NAZIMUDDIN ROAD,CHANKHARPUL"
"12121","PRIME AUTO CARE , BARIDHARA J BLOCK , NOTUN BAZAR"
"12122","DREAM PALACE , SECTOR 15 , UTTARA"
"12123","BASHUNDHARA CITY SHOPPING COMPLEX , PANTHAPATH  DHAKA"
"12124","PLOT 492 , RD 15 , BLOCK G , BASUNDHARA R/A"
"12125","DIRECTORATE GENERAL OF HEALTH SERVICES,TB GATE,MOHAKHALI"
"12126","BANGLALINK CENTER , BIR UTTAM MIR GHAWKAT SARAK , GULSHAN 1"
"12127","MONTARI H 295 , 296 , RD 7/A BLOCK E BASHUNDHARA R/A"
"12128","UNIVERSITY OF ASIA PACIFIC , GREEN RD , FARMGATE"
"12129","64 , ROAD 9/A , DHANMONDI R/A"
"12130","MUSAFIR MANZIL , BLOCK E , MIRPUR 1"
"12131","NAVANA ZOHURA SQUARE , KAZI NAZRUL ISLAM AVE , BANGLAMOTOR , SHSHBAG"
"12132","SHAHBAG MOR , SHAHBAG"
"12133","H 24 , ESKATON GAEDEN RD , OLD ESKATON"
"12134","CORPORATE LANDMARK DEVELOPER LTD , SECTOR 9 , UTTARA"
"12135","WINDSOR CORNER , 19 , ROAD NO. 14 , DHANMONDI R/A"
"12136","RD 44,GULSHAN 2"
"12137","SALAM SUMMERSHINE,RESIDENTIAL AREA,DHANMONDI"
"12138","SUVASTU ARCADE B( ICT BHABAN ) NEW ELEPHANT ROAD , KATABON"
"12139","JYOTI BHABAN,181/4/A,JAFRANBUG RESIDENTIAL AREA ROAD,WIRELESS,MOGBAZAR"
"12140","RING RD , ADABOR"
"12141","AHSANULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY , LOVE RD , TEJGAON"
"12142","MEENA SWEETS , SECTOR 14, UTTARA"
"12143","IRANIAN CULTURAL CENTER DHAKA , RESIDENTIAL AREA , DHANMONDI"
"12144","BAITUL AMAN MADRASA MASJID O ETIMKHANA COMPLEX, H 984, RD 16, ADABOR"
"12145","nextus fatema , 243, d block 7 no road , block d, bashundhara r/a"
"12146","MOMO STATION CLOUD , BLOCK B, MIRPUR 10"
"12147","HOSUE BUILDING BUS STAND M SECTOR 6 , UTTARA"
"12148","BASHUNDHARA D BLOCK , SERVICE ROAD, BLOCK D, BASHUNDHARA R/A"
"12149","J S INTERNATIONAL,SECTOR 5,UTTARA"
"12150","SAN CLASSIC,7,ROAD 101,GULSHAN 2,GULSHAN"
"12151","ROAD 12 MIRPUR DOHS , MIRP[UR 12"
"12152","BEL TOWER ( BEXIMO ) , RESIDENTIAL AREA , DHANMONDI"
"12153","H 429, RD 3, ADABAR"
"12154","81/A , BASIRUDDIN ROAD , DHANMONDI"
"12155","SHANTO-MARIA, UNIVERSAITY OF CREATIVE TECHNOLOGY SECTOR 17 UTTARA"
"12156","HOUSE 49 ,ROAD 14 , SECTOR 3 , UTTARA"
"12157","SIGNBOARD BUS STOP , DHAKA CHITTAGONG HIGHWAY , SHIDDHIRGANJ , NARAYANGANJ"
"12158","WHOLESALE MARKET , BLOCK C , NEW MARKET"
"12159","PLI BHABAN KEMAL ATATRUK AVENUE BANANI"
"12160","UNITED COMMERTIAL BANK LTD , SCIENCE LABORATORY RD , ELEPHANT RD"
"12161","MIRPUR DOHS"
"12162","DHOLAIPAR MASJID , DANIA DHOLAIPAR RD , DANIA JATRABARI"
"12163","NANDAN DEWAN PARK , SECTOR 4, UTTARA"
"12164","BISHWA SAHITTO KENDRO LN , PARIBAG , RAMNA"
"12165","SHANTA LIFESTYLE , INDUSTRIAL AREA , TEJGAON"
"12166","CHILDREN GARDEN HIGH SCHOOL,H 95/1,HASSAIN SAHEB LN,JAFRABAD,MOHAMMADPUR"
"12167","DARUL ULOOM MADANI NAGAR MADRASAH , DHAKA CHITTAGONG HIGHWAY , SIGN BOARD , SHIDDHIRGANJ , NARAYANGANJ , 1361"
"12168","MODERN DENTAL CARE , DHANMONDI , GREEN ROAD , KATHALBAGAN"
"12169","SHEBA. XYZ HOUSE 454 , ROAD 31 , MOHAKHALI DOHS , MOHAKHALI"
"12170","KOSHAI BARI RAIL CROSSING KOSAI BARI LEVEL CROSSING  , SECTOR 2 , UTTO"
"12171","LIMA STORE,H 33/2,KALUNAGAR RD,BOTTOLA,HAZARIBAG"
"12172","BANGLADESH TELEVISION BHABAN , DIT RD , RAMPURA"
"12173","PHARMA TREAT LTD, MOHAKHALI DOHS"
"12174","STAR KABAB & RESTAURANT,BLOCK C,BANANI"
"12175","SHIP INTTERNATIONAL HOSPITAL,BHATULIYA,TURAG"
"12176","UDAY TOWER , PLOT 57 & 57/A GULSHAN AVE, GULSHAN 1"
"12177","RFL & UNILIVER PRODUCTS,MIRPUR ROAD,DHANMONDI"
"12178","KEYA KUNJA,H 263,BATAR GOLI,MOGBAZAR"
"12179","SIDDIQ SORENTU,289,290,290/1,8/A,WEST DHANMONDI"
"12180","ASGAR ALI HOSPITAL , DISTILLERY RD GANDARIA"
"12181","AUTO TECH , TIKATULI , WARI"
"12182","SIFAT FASHION,HASAN NAGAR,KAMRANGIRCHAR"
"12183","AGRANI BANK LTD , GATE 2 RD , MONIPURI PARA"
"12184","KHILGAON CHOURASTA,KHILGAON"
"12185","BRAC BANK LIMITED  , SHAHID BAKI RD , BLOCK C , TALTOLA , KHILGAON"
"12186","BIPULASHAR , MONOHORGANJ , COMILLA"
"12187","RINGTECH BANGLADESH LIMITED , ROAD 11 , BLOCK E , BANANI"
"12188","16/18 , BLOCK B , BABOR ROAD , MOHAMMADPUR"
"12189","38A , ROAD 103, GULSHAN 2, GULSHAN"
"12190","BASHUNDHARA GATE SOUTH , MADANI AVE , DHAKA , BANGLADESH"
"12191","DEEPTO TV, TEJTURI BAZAR KAWRANBAZAR RD, KAWRAN BAZAR VEGETABLE MARKET , TEJGAON"
"12192","DIPIKA MOR BEGUNBARI,INDUSTRIAL AREA,TEJGAON"
"12193","RD 34 , SECTOR 7 , UTTARA"
"12194","RD 1,BLOCK C,MIRPUR 13"
"12195","MAMA VAIGNA STORE , DHAKA CHITTAGONG  HIGHWAY , SIGN BOARD , SHIDDHIRGANJ , NARAYANGANJ 1361"
"12196","KHAZANA RESTAURANT CAFE LTD,SOUTH JATRABAI,DOLAIPAR"
"12197","UTTORA SECTOR 12 KHALPAR,SECTOR 12,UTTARA"
"12198","DHAKA MEDICAL COLLEGE HOSPITAL , SIR SAYED RD  , UNIVERSITY OF DHAKA"
"12199","MOTHER FABRICS & VARIETIES , BONOMALA RD"
"12200","CROWNE PLAZA DHAKA GULSHAN,GULSHAN 2,GULSHAN"
"12201","PAGLA BAZAR, DHAKA NARAYANGANJ RD , PAGLA , NARAYANGANJ"
"12202","SHIMANTO SQUARE , RESIDENTIAL AREA , DHANMONDI"
"12203","FABRILIFE , MUKTOBANGLA SHOPPING COMPLEX , MIRPUR 1"
"12204","OTOBI,BIR UTTAM A K KHANDAKAR ROAD,MOHAKHALI,GULSHAN"
"12205","HANDI ( GULSHAN BRANCH ) , GULSHAN 2 , GULSHAN"
"12206","TAQWA BIRYANI HOUSE"
"12207","PREMIUM SWEETS , GULSHAN 1 , GULSHAN"
"12208","DANIA UNIVERSITY COLLEGE,DHAKA CHATTOGRAM,HIGHWAY,JATRABARI"
"12209","NIRUPOMA, 178, ROAD NO 5, BLOCK D, BASHUNDHARA R/A"
"12210","PUTLIR BARI,PLOT 198,RD 6,BLOCK B,BASUNDHARA R/A"
"12211","FUWANG CLUB,NIKETON,GULSHAN 1"
"12212","NITOL NILOY TOWER NIKUNJA 2"
"12213","CHOWKBAZAR MODEL POLICE STATION,URDU RD,CHAWKBAZAR"
"12214","355, ROAD 5, MIRPUR DOHS , MIRPUR 12"
"12215","HOUSE 38,ROAD 2,BLOCK E,SECTOR 1,AFTABNAGAR"
"12216","INTER CONTINENTAL DHAKA HOTEL , SHAHBAGH"
"12217","AHSANA,376,I BLOCK ROAD 5,BASUNDHARA  R/A"
"12218","AAUNIA PALACE , 16, SECTION 2"
"12219","GAZIPUR CHOWRASTA BUS STAND,DHAKA,MYMENSINGH,GAZIPUR"
"12220","HOUSE 592 , ROAD 20 , BLOCK J , BASHUNDHARA R/A"
"12221","CALIFORNIA FRIED CHICKEN & PASTRY SHOP (CFC), SECTION 1, MIRPUR"
"12222","A PLUS SOURCING , SECTOR 15 , UTTARA"
"12223","AVIONIC SERVICES , GAZI GOLAM DASTAGIR RD , ARAMBAG"
"12224","KALOM TOWER , H 6 , RD 2 , BANASHREE , RAMPURA"
"12225","RD 17,BAITUL AMAN HOUSING SOCIETY,MOHAMMADPUR"
"12226","HABIBA PALACE 251 D BLOCK 8 NO ROAD , BLOCK D BASHUNDHARA R/A"
"12227","HOUSE 54 , ROAD 19 , SECTOR 11 , UTTARA"
"12228","RUPALI BANK LTD , DIT RD , MALIBAG"
"12229","H 314/A/3 , ULON RD , ULON"
"12230","GLORIA JEAN'S COFFEES , GULSHAN 1 , GULSHAN 1 ,. GULSHAN"
"12231","BOMETTA,BANANI DOHS"
"12232","AJAX LEATHER GOOD & FOOTGEAR , RANAVOLA , UTTARA"
"12233","KALLYANPUR  BUS STAND"
"12234","BIR MUKTIJODDHA BATEN SARAK,MIRPUR 6"
"12235","SUTI PARA , DHAMRAI , DHAKA"
"12236","PRINCE BAZAR , RING RD , SHYAMOLI"
"12237","CAF BANANI"
"12238","HAQUE KACHA  BAZAR, WIRELESS MOHAKHALI , SCHOOL RD , MOHAKHALI"
"12239","BICHARPOTI BHABAN 67, SAHID CAPTEN MUNSUR ALI AVENUE , WIRELESS PALTAN"
"12240","HOUSE 15 , BLOCK C , GHOROAR MOR , EASTERN HOUSING , PALLABI 2ND PHASE , MIRPUR `"
"12241","EASTERN TUBES LIMITED , ( ETI) , INDUSTRIAL AREA , TEJGAON"
"12242","AARONG , MUKTOBANGLA SHOPPING COMPLEX , MIRPUR 1"
"12243","MUNTA HARDWARE ELECTRIVE & PAINT ASIAN PAINTS DEALER,NAYA PALTAN"
"12244","NEW DHANMONDI RESTORA,ROAD 8/A,EAST RAYER BAZAR"
"12245","AZAN KHABAR GHAR , H 13 , RD 2 , SECTOR 3 , UTTARA"
"12246","BOISAKHI BUILDING LAKE CITY ROAD , KHILKHET"
"12247","DHAKA MYMENSINGH HIGHWAY,SECTOR 6,UTTARA"
"12248","NONI FULL CREAM SWEETS,SECTOR 7,UTTARA"
"12249","ALINAGAR VILLA , 15 , SECTION 6"
"12250","BTI AMABILIA , MOHAKHALI DOHS"
"12251","PERFECT HELICOPTER  SPOTTING FLAT ,ADABAR , MOHAMMADPURN"
"12252","DOMESTIC TERMINAL,
HAZRAT SHAHJALAL INTERNATIONAL AIRPORT"
"12253","AZIM HARDWARE,MODHUMITA RD,WEST ARICHPUR,MOINARTEK"
"12254","ZERO GRAVITY VENTURES LIMITED ,  BLOCK G , BANANI"
"12255","LA JAWAB FAST FOOD,DINANATH SHEN ROAD,GANDARIA"
"12256","PATAR CHAONI,H 284,RD 4,MOHAKHALI HOUSING SOCIETY,MOHAMMADPUR"
