"","location"
"11916","FINE WEAR BD , SECTOR 10, UTTARA"
"11917","SOVEREIGN , H 4 , RD 18 , BANANI"
"11918","1/6,BLOCK B,MIRPUR ROAD,DHANMONDI R/A/SHYAMOLI"
"11919","BRTC DHAKA TRUCK DEPOT,INDUSTRIAL AREA,TEJGAON"
"11920","CENTRAL HOSPITAL LIMITED,ROAD 5,DHANMONDI"
"11921","LAB AID GULSHAN H 13/A KAMAL ATATRUK AVE , GULSHAN 2"
"11922","77,ROAD 3,SECTION 12"
"11923","MAMTAZ SQUARE , PLOT 841 , ROAD 19 , BLOCK K , BASUNDHARA R/A"
"11924","H 10/1, SIR SAYED RD , MOHAMMADPUR"
"11925","SHWAPNO MIRPUR 10,C BLOCK,HOPER GOLI,BLOCK C,MIRPUR 10"
"11926","SARDAR STUDIO , H 276 , MUKTIJODDHA ABDUL SALAM RD , FAKIRAPOOL"
"11927","DHAKA CITY COLLEGE , DHANMONDI ROAD 2, DHANMONDI R/A"
"11928","COSMIC STEEL BUILDING LTD , KALLYANPUR , MIRPUR"
"11929","DHAKA CMH , DHAKA CANTONMENT"
"11930","NOBABERBAG , MIRPUR 1"
"11931","HOUSING 40 FEET,BOSILA,MOHAMMADPUR"
"11932","PALASHI GOVERNMENT STAFF COLONY"
"11933","BHULTA,RUPGANJ,NARAYANGONJ"
"11934","H 283 , H 292, RD 11 , BLOCK A , BASUNDHARA R/A"
"11935","WHOLESALE CLUB,JAMUNA FUTURE PARK,BASUNDHARA R/A"
"11936","STANDARD GARMENTS , LALMATI , KALSHI"
"11937","ARUNACHAL , H 91/A , RD 23 /A , BANANI"
"11938","FOUR SEASONS,SATMASJID RD,DHANMONDI"
"11939","AREF NISHAN , 43/B , NORTH CIRCULAR  ROAD , DHANMONDI"
"11940","JURAIN RAILGATE BUS STOP , JURAIN RAILGATE , POSTOGOLA"
"11941","BISMILLAH JAME MASJID , AVOY DAS LANE , GOPIBAG , HATKHOLA"
"11942","CERAMIC AVE BLOCK A , MIRPUR 12"
"11943","IBN SINA MEDICAL COLLEGE RD AND HOSPITAL , KALLYANPUR"
"11944","NOWABGANJ-2, GENERAL STORE , P C, CULTURE HOUSING SOCIETY , ADABOR"
"11945","SHANKAR BUS STAND,SAT MASJID RD,DHANMONDI"
"11946","RD 15 , MOHAKHALI DOHS"
"11947","H 419, RD 19 , BLOCK G , BASHUNDHARA R/A"
"11948","KOLOMBIA SUPER MARKET,H 31,WIRELESS RD,MOHAKHALI"
