"","location"
"21916","URBAN SOUTHERN HEIGHTS , 30 RD 14/A, DHANMONDI"
"21917","MIRPUR DOHS HOUSE  710 ROAD 10 AVENUE 3 FLAT 4 A"
"21918","HAZRAT SHAH JALAL INTERNATIONAL AIRPORT , NEW AIRPORT ROAD , KURMITOLA , SECTOR 2"
"21919","DHAKA INTERNATIONAL TRADE FAIR (BANIJJO MELA ) SCETOR 4 , PURBACHAL"
"21920","CP FIVE STAR , H 99/2, AZIMPUR RD , AZIMPUR"
"21921","RD 10,SECTOR 10,UTTARA"
"21922","ZAYTUN GARDEN RESTAURANT , AGARGAON , MIRPUR -1"
"21923","KALACHADPUR BAITUL NUR CENTRAL JAMIA MASJID , KALACHANDPUR MAIN RD , KALACHANDPUR"
"21924","NAMIRA RESTAURANT , BIR UTTAM ZIAUR RAHMAN RD , MOHAKHALI"
"21925","NANNU MARKET , RD 4 , BLOCK A , MIRPUR 11"
"21926","gabtoli bus station , mirpur road abdul rafiq housing , gabtali"
"21927","AYNAL HOTEL,SHAH MAKDUM AVE,SECTOR 12,UTTARA"
"21928","SANTI NIR 5,SECTION 6"
"21929","ISPAHANI COLONY,MOGHBAZAR RD"
"21930","RD 4,BLOCK F,BASUNDHARA R/A"
"21931","BILASH BHABAN COMMUNITY CENTER,BEGUM ROKEYA SARANI,MIRPUR 10"
"21932","6,4,SECTION 10"
"21933","RAJBARI SWEETS , BLOCK H , MIRPUR 2"
"21934","IMS-INTERGRATED MARKETING SERVICE LIMITED HEAD OFFICE,ROAD 4,BLOCK F,BANANI"
"21935","HOME TOWER SHOPPING CENTER ,DHAKA CHITTAGONG HIGHWAY"
"21936","ROAD 26 , BANANI"
"21937","HAZI ABDUL LATIF MANSION,H 9/A,ALHAZ ABDUS SOBHAN RD,BASUNDHARA R/A"
"21938","PROMISEXYZ,PURANA PALTAN"
"21939","AAWAZ STUDIO,BLOCK B,NIKETON"
"21940","MUTUAL TRUST BANK,AIRPOR ROAD,NEW AIRPORT ROAD,KURMITOLA,SECTOR 2."
"21941","GULBAGH LAUNDRY , GULBAGH , MALIBAGH"
"21942","HOUSE 692 , ROAD 2 , BLOCK H , BASUNDHARA R/A"
"21943","MASJID E NOOR , SAFIUDDIN SARKER ACADEMY RD"
"21944","L/6 , BLOCK E , KAZI NAZRUL ISLAM ROAD , MOHAMMADPUR"
"21945","DESIGN FAIR ARCHITECHTURAL PLAN & DESIGN CENTRE , EASTERN HOUSING , MIRPUR"
"21946","ISLAMI BANK HOSPITAL & CARDIAC CENTRE MIRPUR , MIRPUR 7"
"21947","AD HOLSING LTD , TOPKHANA RD , RAMNA"
"21948","LG BUTTERFLY,ROAD 8,EXTENDED PALLABI,MIRPUR"
"21949","THE CARNATION H 5 , CIRCUIT RD , KAKRAIL"
"21950","MANDARI, LAKSHNIPUR SADAR , LAKSHMIPUR"
"21951","RAMNA PARK RAMNA"
"21952","HOUSE 41 , ROAD 9/B , SECTOR 5 , UTTARA"
"21953","THE PARK REDIANCE , HOUSE 412, NSU , DRIVEWAY , BLOCK B , BASHUNDHARA R/A"
"21954","SBHS PLAYGROUND , SHIDDHESWARI ROAD"
"21955","PARJATAN PARIBAHAN,AGARGAON,MIRPUR"
"21956","TOYENBEE CIRCULAR RD , ARAMBAG"
"21957","TT PARA BUS STAND , KAMALAPUR ROAD , DHAKA , BANGLADESH"
"21958","FOOD YARD,H 62,GAREEB E NEWAZ AVE,SECTOR 11,UTTARA"
"21959","PARIZA , BLOCK C , BANSREE"
"21960","12 , ROAD 1 , SECTION 11"
"21961","SINAMM ENGINEERING LIMITED,RESDIENTIAL AREA,DHANMONDI"
"21962","KALLYANPUR GIRLS SCHOOL AND COLLEGE , KALLYANPUR MAIN RD"
"21963","JAHANGIRNAGAR HOUSING RD , SAVAR , 1340"
"21964","RAJUK UTTARA APARTMENT PROJECT (RUAP),SECTOR 18"
"21965","VAI VAI SANITERY & ELECTRIC,H 6/5,LALMATIA RD,BLOCK B,LALMATIA"
"21966","REHMAN'S IN TRUBEAUTY , RESIDENTIAL AREA , DHANMONDI"
"21967","234,WASA ROAD,WEST SHEWRAPARA,DHAKA 1216"
"21968","ANWER KHAN MODERN MEDICAL COLLEGER,HOUSE NO 17,ROAD 8,DHANMONDI"
"21969","MUGDA MEDICAL COLLEGE & HOSPITAL,HAZI KHADEM ALI RD,MUGDA"
"21970","ALANA SILVA,14,MITALI HOUSING SOCIETY,SOUTH KAFRUL"
"21971","ROAD 14 , BARIDHARA , GULSHAN `"
"21972","HOUSE 7,ROAD 32,SECTOR 7,UTTARA"
"21973","JAMEYA HAZRAT ABU BAKAR SIDDIK (RA) DAKHIL MADRASA"
"21974","MIRPUR 2, BLOCK E, ROAD 2, SECTION 2"
"21975","HOUSE 22 , ROAD 9/B, SECTOR 5, UTTARA"
"21976","H 206/10,RD 7,KHILGAON"
"21977","RUPAYAN LAKE CASTLE"
"21978","H 507 , ADARSHA MOHOLLA RD , MIRPUR 14"
"21979","SAIHAM TEXTILES MILLS LIMITED , SAIHAM TOWER , HOUSE 43 , ROAD 136, GULSHAN 1 , GULSHAN"
"21980","RAJLAKHSMI BUS STOP,UTTARA SERVICE ROAD,KURMITOLA,SECTOR 3"
"21981","138 EAST , ROAD 138 , GULSHAN 1 , GULSHAN"
"21982","RD 6,BLOCK A,MIRPUR 12"
"21983","H 41/7 , CULVERT RD , FAKIRAPOOL"
"21984","HOUSE 10/B , ROAD 10 , SECTOR 9 UTTARA"
