"","location"
"21985","ENAM MEDICAL COLLEGE,JAME MASJID,THANA RD,1340"
"21986","MULTIBRAND WORKSHOP LTD . ( BODY SHOP ) , EAST NAKHALPARA , TERJGAON"
"21987","PRAAVA HEALTH , 7 , ROAD 17 , BANANI"
"21988","GOVT BANGLA COLLEGE , DARUSSALAM RD , MIRPUR 1"
"21989","IUT TREE PARK"
"21990","NORTH SOUTH  UNIVERSITY ( NSU )"
"21991","CUMILLA ASIA AIRCON BUS COUNTER , AGB COLONY , KAMALAPUR"
"21992","HIGH POWER TRANSMITTING STATION 1,BANGLADESH BETAR,DHAKA ARICHA HIGWAY"
"21993","SYHRAWARDY MEDICAL COLLEGE AND HOSPITAL , SHER E BANGLA NAGAR"
"21994","MIRPUR 10, CIRCLE , MIRPUR 10"
"21995","SUVASTU NAJAR VALLEY SHOPPIUNG MALL,SHAHJADPUR"
"21996","BURGER KING JAMUNA FUTURE PARK, BASHUNDHARA R/A"
"21997","H 407, RD 8 BLOCK D BASHUNDHARA R/A"
"21998","PANPACIFIC SONARGAON HOTEL , KAZI NAZRUL ISLAM AVE , BANGLAMOTOR SHAHBAGH"
"21999","AZIZ COMPLEX , SECTOR 11, UTTARA"
"22000","HOUSE 138,LANE 1,BARIDHARA DOHS"
"22001","BANK ALFALAH LIMITED MIRPUR,HOUSE 1,KALSI ROAD,BLOCK D,SECTION 11,MIRPUR DHAKA 1216"
"22002","THE POLARIS,SHANTA HOLDINGS LTD.SHAHEED MOINUR ROAD,DHAKA CANTONMENT"
"22003","MEENA BAZAR,RD 9/A,DHANMONDI"
"22004","SECTOR 3,UTTARA,DHAKA"
"22005","PIS ONLINE , SHAHJADPUR , BADDA"
"22006","H 695/6,RD 11,ADABOR"
"22007","SQUARE HOSPITALS LTD , PANTHAPATH RD  KALABAGN"
"22008","GREEN ZONE TOWER,TIPU SULTAN RD,WARI"
"22009","RICEMAN"
"22010","HEMAYETPUR BUS STOP , DHAKA ARICHA HIGHWAY , BILAMALIA , JADUR CHAR"
"22011","HENA CARE ROAD 04 SECTOR 13 UTTARA"
"22012","H 3/2/1 , SIPAHIBAG RD , KHILGAON"
"22013","fatema villa , industrial area , tejgaon"
"22014","SENA KOLLYAN SONGOSTHA TOWER , BIR UTTAM ZIAUR RAHMAN RD , MOHAKHALI"
"22015","BISWAS CREDENCE,H 68,R 7A,DHANMONDI"
"22016","419,I BLOCK,ROAD 4,BASUNDHARA R/A"
"22017","FRIENDS BUSINESS CENTRE,H 53,HONDA ST. TEJKUNIPARA"
"22018","RUSSEL SQUARE , PANTHAPATH"
"22019","ACI AGROLINK LIMITED , AGB COLONY , MOTIJHEEL"
"22020","PALTAN TOWER , NAYA PALTAN"
"22021","SAANVI TYRE & BATTERY SHOP , CHOWRASTA MOAR , GHATARCHAR"
"22022","MOTIJHEEL ROAD SHAPLA CHATTAR , MOTIJHEEL"
"22023","WARI JAME MASJID,RANKIN ST,WARI"
"22024","RD 9C , NIKUNJA 1"
"22025","PUBALI BANK LIMITED , DIT ROAD , EAST RAMPURA , RAMPURA"
"22026","7/17, ROAD NO 7 , LALMATIA"
"22027","RETIRED ARMAN FORCES OFFICERS WELFARE ASSOCIATION CLUB ( RAOWA CLUB ) , VIP ROAD , MOHAKHALI DOHS , MOHAKHALI"
"22028","V2 TECHNOLOGIES LTD , MOHAKHALI DOHS , MOHAKHALI"
"22029","BENAROSHI PALLI , H 36/1 , BENAROSHI POLLI RD , BLOCK B , MIRPUR 10"
"22030","TRAVELER ROUTES CHANDRIMA MODEL TOWN , MOHAMMADPUR"
"22031","EASTERN BABY GARDEN , ROAD 23/A , BLOCK B , BANANI"
"22032","CONCUMER POINT , TONGI PAURASHAVA"
"22033","DHAKA MASS RAPID TRANSIT DEVELOPEMENT PROJECT,ESKATON GARDEN ROAD,RAMNA"
"22034","MIKA ROOFTOP RESTAURANT,RUPNAGAR RESIDENTIAL AREA,MIRPUR"
"22035","AL NUR PROPERTY,ADVOCATE BELAL,TALLABAG,JIGATOLA"
"22036","MALLIKA NIR , H 2/A , RD 18 , NIKUNJA 2"
"22037","AUSTRAL SHIBLEE AND SIDDIQUE HERITAGE HOUSE,PALLABI ROAD,EASTERN PALLABI,MIRPUR 11.5"
"22038","sheba holdings ltd, purana paltan"
"22039","PROMISE ENTERPRISE,EAST RAMPURA"
"22040","NAFI TOWER,53,GULSHAN AVENUE,GULSHAN 1,GULSHAN"
"22041","NUR-NAHAR ANIKA JAME MASJID , SECTION 13 , MIRPUR"
"22042","A H DREAM,BLOCK E,BANASREE"
"22043","BTITHERSUNRISE,BLOCK D,BASUNDHARA R/A"
"22044","BEING STRONG GYM , SECTOR 7 , UTTARA"
"22045","RAJBARI FOOD COURT , RD 2 , BLOCK A , BASSHUNDHARA R/A"
"22046","MAA TELECOM,H 278/1,SHER E BANGLA RD,TALI OFFICE,WEST DHANMONDI"
"22047","GOLF HEIGHTS,BLOCK A,BANANI"
"22048","JAGANNATH HALL,JAGANNATH HALL,DU,RAMNA"
"22049","MOTSO BHABAN GHORI CHATTAR,SEGUMBAGICHA"
"22050","POPULAR MEDICAL COLLEGE RD 2 DHANMONDI"
"22051","GPO ZERO POINT BUS STOP,PURANA PALTAN"
"22052","ANOWARA MOTORS , ABDULLAHPUR , SECTOR 8 UTTARA"
"22053","THREE ANGLES , HOUSE 238 , ROADNO. 2 , BLOCK B , BASUNDHARA R/ A"
"22054","WARD NO 43,ADABOR,DHAKA"
"22055","MUJIB CORNER,SECTOR 12,UTTARA"
"22056","SHAINIK CLUB , BLOCK F, BANANI"
"22057","206/2 , ANSAR CAMP ROAD , SENPARA PARBATA , AHMED NAGAR"
"22058","HOLY ORCHID , BLOCK I , BASHUNDHARA R/A"
"22059","7,ROAD 7/A,SECTION 12"
"22060","PENTA GLOBAL DEVELOPMENT & R&D CENTER , BLOCK K , BANANI"
"22061","MERADIA KACHA BAZAR , BANASFREE"
"22062","MATIKATA KAZI OFFICE,MIRPUR DOHS LIN RD,MATIKATA"
"22063","MISAMI BITOPI , H 822/3 4 , BEGUM ROKEYA SARANI , WEST SHEWRAPARA"
"22064","NATIONAL SECURITY INTELLIGENCE BANGLADESH,SEGUNBAGICHA ROAD,FAKIRAPOOL,PALTAN"
"22065","3D SEMINAR HALL , KRISHIBID INSTITUTION BANGLADESH , MONIPURIPARA  , TEJGAON"
"22066","PARIDAS RD"
"22067","ENAN STATIONARY,AUCHPARA,TONGI"
"22068","ARIJ COMMUNICATION AND STATIONERY , SECTOR 12 , UTTARA"
"22069","H 62/A , BASIRUDDIN RD , KALABAGAN"
"22070","NATUNBAG LOHAR GATE,TALTOLA RD,KHILGAON"
"22071","MOYNA DODHI BHANDAR,NOBODOY HOUSING,
MOHAMMADPUR"
"22072","G. PRASANTY , 10, ROAD 3 , MUKTI HOUSING , KALLYANPUR"
"22073","H 14/A , RD 2 , DHANMONDI"
"22074","PANTHA PATH , DHANMONDI"
"22075","HOUSE 10/GA , ROAD 2 , SHYAMOLI , MOHAMMADPUR"
"22076","AMBROSIA INFINITY LOUNGE,RESIDENTIAL AREA,DHANMONDI"
"22077","BARIDHARA GENERAL HOSPITAL LTD , NADDA"
"22078","PARIBAGH MASHJID , MOTALEB TOWER"
"22079","H 439,TALTOLA RD,TALTOLTA,KHILGAON"
"22080","RD 18,ADABOR"
"22081","HAJERA BHABAN,H 377,RD 8,MIRRPUR 11"
"22082","ASHANO RAHMAN TOWER,35/F/6,UTTAR SHYAMOLI,PASCCHIM AGARGAON,SHYAMOLI,PASCHIM AGARGAON,SHYAMOLI ROAD NO 2,MA VILLA GOLLI,MUKTI HOUSING,UTTARA"
"22083","217 , ROAD 12 , SECTION 12"
"22084","MI ROOM , DHAKA CMH , SHAHID SHARANI DHAKA CANTONMENT"
"22085","TRIMOHONI POSCHIMPARA ALHE HADITH JAME MASJID,BANASHREE DEMRA RD,KHILGAON"
"22086","NCC BANK ATM,H 186,ALHAZ ABDUS SOBHAN RD,BLOCK B, BASUNDHARA R/A"
"22087","H 231, SATARKUL RD , BAWAILA PARA, BADDA"
"22088","SEL RUBINAZ DREAM,2/17,BABAR ROAD, B BLOCK,MOHAMMADPUR,SHYAOMOLI,DHAKA"
"22089","NEXT RESOLUTION FILMS, VIDEO PRODITION COMPANY IN BANGLADESH , KAKRAIL , RAMNA"
"22090","JISAN PHARMA,ZAHIR RAIHAN SARANI,DHAKA MEDICAL COLLLEGE"
"22091","CP FIVE STAR , RD 12A , SECTOR 10 , UTTARA"
"22092","UTTARA FRIENDS CLUB , SECTOR 3"
"22093","ASTORION (GULSHAN FLAGSHIP STORE ) , GULSHAN 2 GULSHAN"
"22094","S K   LADIES FASHION TAILORS , H 203 , KATHALBAGAN BAZAR RD , KATHALBAGAN"
"22095","KHIDMAH HOSPITAL , ATISH DIPANKAR RD , KHILGAON"
"22096","DIGONTA GROUP,HOUSE 18,ROAD 2,SECTOR 7,UTTARA"
"22097","3/1 A , DINNATH SEN ROAD , GOPIBAG , SUTRAPUR"
"22098","HOTEL ASIA PACIFIC H 2 RD 2 BARIDHARA"
"22099","SAPNABILASH,H 325,AFROZA BEGUM RD,BLOCK F,BASUNDHARA R/A"
"22100","HEALTH AID DAIGNOSTIC AND HOSPITAL LTD , BOOTH"
"22101","LANE 8 EAST , BARIDHARA DOHS"
"22102","BON BHABAN , AMTOLI , MOHAKHALI"
"22103","H 18,RD 12.SECTOR 5,UTTARA"
"22104","BANGLADESH CHINA FRIENDHSIP,
EXHIBITION CENTER,PURBACHAL"
"22105","H 31 , RD 13 , NIKUNJA 2"
"22106","OCMS,ROAD 03,SECTOR 13,UTTARA"
"22107","ARAFIS DINE RESTAURANT , JOYNOGOR GOV . R/A , MIRPUR-13"
"22108","BABUL STORE , GHATAR CHAR RD , MODHU CITY"
"22109","UNITED CITY,MADANI AVENUE"
"22110","H 327, RD 3, BLOCK F, BASHUNDHARA R/A"
"22111","2/8 , BLOCK A, MIRPUR ROAD , DHANMONDI R/A , SHYAMOLI"
"22112","45, KURIL FLYOVER NIKUNJA 1 , BADDA"
"22113","H 41, RD 1, BLOCK A, BASHUDNHARA R/A"
"22114","KAVAZO , ROAD 11, BLOCK H, BANANI"
"22115","MOTIJHEEL SHAPLA CHOTTOR,MOTIJHEEL"
"22116","KURMITOLA , SECTOR 2"
"22117","JAPAN GARDEN CITY JAPAN GARDEN CITY RD, JAPAN GARDEN CITY , MOHAMMADPUR"
"22118","PROPERTY STATE 144 , SHANTINAGAR BAZAR RD , SHANTINAGAR"
"22119","OFFICE OF THE EXECUTIVE ENGINEER , MODS ZONE O4 , DHAKA WASA , DARUSSALAM , MIRPUR"
"22120","HOUSE 4 , ROAD 9 , BLOCK G , BANANI , DHAKA"
"22121","TONGI , DATTAPARA DIGHIR PAR PANIR PUMP"
"22122","LADIES FASHION TAILORS & FABRICS , 797/1, SARKAR BHABAN ROAD, UTTAR KAFRUL , PURBA KAZIPARA"
"22123","MAC-NEILS LOUNGE BLOCK H , BANANI"
"22124","HOTEL GRACE 21 , H 1/A , RD 21 , NIKUNJA"
"22125","DG LOGISTICS , GULSHAN 1 , GULSHAN"
"22126","AZIMPUR ETIMKHANA ROAD , SIR SALIMULLAH MUSLIM  ORPHANGHE , SIDDIKBAZAR"
"22127","H 352, SHADHINATA SARANI , NORTH BADDA"
"22128","H 326 , TALTOLA RD , TALTOLA , KHILGAON"
"22129","EHL DAHLIA , ROAD 27 , (NEW16) DHANMONDI R/A"
"22130","EXAM HALL 2 , ARTS BUILDING , DHAKA UNIVERSITY , SHAHBAGH"
"22131","RD 56 , GULSHAN 2"
"22132","NUR VILLA , H 12 , KOSAITULI LN , NAYA BAZAR"
"22133","BISWA SAHITWA KENDRO , H 17 , BISHWA SAHITTO KENDRO LN , PARIBAG , RAMNA"
"22134","DHAKA NEW MARKET MASJID , FOOTOVERBRIDGE , NEW  MARKET"
"22135","RANA ENTERPRISE , SHIDDHESWARI ROAD"
"22136","SAYEM SOBHAN TANVIR RD , BLOCK D BASHUNDHARA R/A"
"22137","KOLLANPUR BUS STOP , MIRPUR ROAD , ABDUL RAFIQ HOUSING , GABTALI"
"22138","BEAUTY 318 , AL HAJ HAJ ABDUS SOBHAN ROAD , BLOCK B , BASHUDNHARA RA/"
"22139","SCHOOL FOR COMMUNITY DEVELOPMENT , SHANTINAGAR BAZAR ROAD , SHANTINAGAR"
"22140","TIGER  IT BANGLADESH LTD RD 28 BANANI"
"22141","TAMANNA PHARMACY,CHAMELIBAGH,SHANTINAGAR"
"22142","SAIFUL GENERAL STORE,MALIBAGH SHAHI MOSJID,MALIBAGH"
"22143","SHAHID SOHRAWARDI MEDICAL COLLEGE,MIRPUR RD,MOHAMMADPUR"
"22144","ASSET ELDORA , H 97 , RD 2/A , NIKETON"
"22145","BAITUL SALAM JAME MASJID , INDUSTRIAL AREA , TEJGAON"
"22146","NEW MARKET THANA"
"22147","SOPTODINGA RESTORA , WEST RAJABAZAR , INDIRA ROAD , PANTHAPATH"
"22148","ARAMBAGH,RD 5,ARAMBAG R/A,PALLABI"
"22149","PLI BHABAN,KEMAL ATATURK AVENUE,BANANI"
"22150","RAHID ENTERPRISE , MALITOLA , BANGSHAL"
"22151","SURAIA VILLA , H 49/1 , RD 2/A , NIKETON"
"22152","PROTTASHA KINDERGARTEN SCHOOL,NORTH VASANTEK RD,VASANTEK"
"22153","CITY BANK AMERICAL LOUNGE,NEW AIRPORT RD"
"22154","5.86"
"22155","GULSHAN 2,ROAD 100,HOUSE 29"
"22156","NORDIC CLUB , GULSHAN 2 , GULSHAN"
"22157","DEMRA , STAFF QUARTER BUS STOP"
"22158","NANDAN SALENA , 51/L , SAYEM SOBHAN ANVIR ROAD 1  , BASUNDHARA R/A"
"22159","ENVIRONMENT AND INFRASTRUCTURE MANAGEMENT SOLUTION ( EIMS ) LIMITED , MONIPURIPARA , TEJGAON"
"22160","JUI GARDEN , H 2/A , RD 2/1 , BANANI"
"22161","AKIJ , OUTER CIRCULAR ROAD , WIRELESS, MOGBAZAR"
"22162","BIKRAMPUR AUTO DRY CLEANERS 2,SECTION 6,MIRPUR"
"22163","LUXURY CAR ENT @ LOW RATES BEST SERVICE , GULSHAN 2"
"22164","MOTIJHEEL METRO RAIL STATION , DHAKA"
"22165","RADIANT CAMELLIA,H 215/5/3,RD  6,BLOCK C,BANASREE"
"22166","SOBHAN VILLA 22/A,ROAD NO 4,DHANMONDI R/A"
"22167","SAGUPHTA NEW ROAD , MIRPUR DOHS , MIRPUR 12"
"22168","SONY RANGS,BIJOY SARANI CTP ELENBARI,TEJGAON"
"22169","CENTRAL HOSPITAL , H 19 , NORTH CIRCULAR RD , DHANMONDI"
"22170","BEAUTY HOUSE , 421 & 422, ROAD NOI, 14 , BASHUNDHARA R/A"
"22171","SURGEPORT LOGISTICS PRIVATE LIMITED , KEMAL ATATURK AVENUE , BANANI"
"22172","PIS ONLINE,SHAHJADPUR,BADDA"
"22173","RAILWAY OFFICE , OUTER CIRCULAR RD , KAMALAPUR"
"22174","TURAG CITY , DHAKA , BANGLADESH"
"22175","HAQ VARIETIES STORE , NORTH AZAMPUR , UTTARA"
"22176","BFC,TAJMAHAL ROAD,MOHAMMADPUR"
"22177","TASMIYA STATONERY AND TELECOM,SHAHEED SUHRAWARDY COLLEGE AND HOSPITAL,
SHER E BANGLA NAGAR"
"22178","TEA STALL , CIVILAVIATION COLONY , KURMITOLA"
"22179","RAIYAN,H 824,RD 4,ADABOR"
"22180","AIRPORT RAIL STATION,DHAKA"
"22181","SINGAGE , NURER CHALA  , NOTUN BAZAR"
"22182","TAWHIID LABORATORY SCHOOL , AGARGAON MIRPUR"
"22183","HAJIPARA FILLING STATION , DIT RD , EAST RAMPURA"
"22184","ISLAMI BANK BANLANDESH LTD ,BIR UTTAM K M SOFIULLAH RD , EAST RAJABAZAR"
"22185","INITED HOSPITAL LIMITED , GULSHAN 2 , GULSHAN"
"22186","airport police station , new airport rd"
"22187","POLWEL CARNATION SHOPPING CENTRE , SECTOR 8 , UTTARA"
"22188","INFINITY SHOPPING MALL , H 5 , NEW BAILY  RD"
"22189","ICT DIVISION ,H 28,NEW COLONY RD,AGARAGAON"
"22190","HAIR SALON , SECTOR 12 , UTTARA"
"22191","unimart gulshan 2 gulshan"
"22192","GONOSASTHO MEDICAL COLLEGE & HOSPITAL , DHAKA ARICHJA HIGHWAY , NABIBNAGAR , 1345"
"22193","FARAZY PHYIOTHERAPY & LASER UNIT, UTTARA , SECTOR7"
"22194","STAR KABAB & RESTAURANT , BLOCK G , BANANI"
"22195","REALIANCE BUILDING , H 146 , RD 8 , BLOCK D , BASHUNDHARA R/A"
"22196","BOALI KUTIR , DOCTOR GOLI , MALIBAGH"
"22197","BAILEY VISTA, H 6 , SIDDHESWARI LN, SIDDHESWARI"
"22198","LURASHNA , H 394 395 , RD 21, BLOCK G , BASUNDHARA R/A"
"22199","BANGLADESH TELEVISION (BTV) , TV RD , EAST RAMPURA"
"22200","IONIC TOWER, K-62/3, LICHU BAGAN RD, JOAR SHAHARA"
"22201","UNITED HOSPITAL RD 72 , GULSHAN"
"22202","CELEBRATION COMMUNITY CENTRE , BORO MOGHBAZAR"
"22203","NEW AIRPORT ROAD , MOHAKHALI , GULSHAN"
"22204","NORTH END COFFE ROASTERS ROAD 2 DHANMONDI"
"22205","CITY ENTERPRISE , MERADIA , BANASREE"
"22206","RD 5 , SECTOR 5 , UTTARA"
"22207","SAGORIKA , MULTIPURPOSE HALL , ARMY STADIUM , BANANI"
"22208","PGR FAMILY QTR,ARMY STADIUM,BANANI"
"22209","BRAC CENTER,75,BIR UTTAM A K KHANDAKAR ROAD,MOHAKHALI,GULSHAN"
"22210","ROSE GARDEN , ROAD 4A , NOBODY HOUSING , MOHAMMMADPUR"
"22211","ANGELS FANTASY PLAYGROUND,MAIN CAMPUS,DHAKA UNIVERISTY"
"22212","RAJUK UTTARA MODEL COLLEGE , SECTOR 6"
"22213","ASHKONA COMMUNITY CENTER ,A SHKONA BAZAR , HAZI CAMP RD , DAKSHINKHAN"
"22214","NATIONAL ZOO MUSEUM , MIRPUR RD , NOBABERBAG , MIRPUR 1"
"22215","SUB REGISTRY OFFICFE  , INDUSTRIAL AREA TEJGAON"
"22216","J S GRAMMER SCHOOL,SOUTH MUGDAPARA"
"22217","BABA RAFI MAHEDI MART , BASUNDHARA R/A"
"22218","HOUSE 74, ROAD 17 , SECTOR 14 UTTARA"
"22219","KEARI NIRJHOR , RESIDENTIAL AREA , DHANMONDI"
"22220","HPUSE 139,ROAD 07,BLOCK I,BASUNDHARA R/A"
"22221","IRON NATION FITNESS BD , ROAD 14 GULSHAN 1, GULSHAN"
"22222","UTTAR BADDA BAZAR , ,SATARKUL RD"
"22223","DHAKA INTERNATIONAL TRADE FAIR , SECTOR 4, PURBACHAL"
"22224","37/2 PURANA PALTON CULVERT ROAD"
"22225","LAKE WOOD H 351 , SAYEM SOBHAN ANVIR RD , BLOCK E , BASHUNDHARA R/A"
"22226","UNITED NATION CIRCLE POLICE BOOTH , UNITED NATION CIRCLE , BARIDHARA"
"22227","THAI SHOP BD,SECTOR 13,UTTARA"
"22228","VIQARUNNESA NOON SCHOOL AND  COLLEGE , BLOCK F , BASDHUNDHARA R/A"
"22229","CENTRAL INN , MOTIJHEEL"
"22230","HOUSE 10, ROAD 23 , KAMARPARA , UTTARA"
"22231","BARIDHARA DOHS CONVENTION CENTER,EASTERN RD,JOAR SHAHARA"
"22232","GALAXY BANGLADESH,H 25,RD 4,GULSHAN 1"
"22233","NIKUNJA 1 MASJID , RD 9 , NIKUNJA 1"
"22234","MY HOME -MY DREAM PLANET , SECTOR 15 , UTTARA"
"22235","JUVENILE ENGLISH MEDIUM SCHOOL , H 1/3, RD 8 PALLABI EXTENSION , PALLABI"
"22236","ARSIN GATE,POSTOGOLA,SHYAMPUR"
"22237","BANGLADESH AIR FORCE RECORD OFFICE,OLD AIRPORT,AGARGAON"
"22238","NEW SHAJADA HARDWARE , KAMALAPUR RD , MOTIJHEEL"
"22239","SANAI COMMUNITY CENTER,LARMINI ST, WARRI"
"22240","FERDOUSI PALACE 7, SECTION 2"
"22241","CONCORD MANOR ,48 ,ROAD 15/A , DHANMONDI R/A"
"22242","KASHIMPUR CENTRAL JAIL MASJID,JAIL RD,KASHIMPUR"
"22243","ZANITH TOWER DHANMONDI , RESIDENTIAL AREA"
"22244","H KHA 52/1 , RD 6 , NIKUNJA 2"
"22245","KOREAN THAI SPA GULSHAN , GULSHAN 2 ,  GULSHAN"
"22246","mayakanon  jame masjid , mayakanon rd , ahmedbag , sabujbag"
"22247","KNOWLEDGE IT ISNTITUTE,SECTOR 6.UTTARA"
"22248","MEENA BAZAR , RD 27 ,DHANMONDI"
"22249","LABAID CANCER HOSPITAL & SUPER SEPCIALLY CENTER , KATHALBAGAN , GREEN ROAD"
"22250","UTTARA GIRLS SCHOOL AND COLLEGE , ROAD 5 , SECTOR 6 , UTTARA"
"22251","HOSAF TOWER SHOPPING COMPLEX , H 6/9 OUTER CIRCULAR RD , MALIBAGH MOR , MALIBAGH"
"22252","RD 8 BLOCK D BASHUNDHARA R/A"
"22253","CODE TRIO , ROAD 6 , NIKETON , GULSHAN , 1000"
"22254","MIRPUR DOHS SHOPPING COMPLEX,
MIRPUR DOHS,DHAKA"
"22255","KABIR STUDIO,KAKRAIL,SEGUN BAGICHA"
"22256","IQBAL CENTER , KAMAL ATATRUK AVENUE , BANANI"
"22257","SHOE MARKET , SECTOR 8 , UTTARA"
"22258","DARAZ BANGLADESH HEAD OFFICE , BLOCK E , BANANI"
"22259","HOUSE 66,ROAD 2,BLOCK A,NIKETAN,GULSHAN"
"22260","344/1, MIDDLE PIRERBAG , ,MUKTI HOUSING , DOKKHIN  PIRERBAGH"
"22261","ISLAMI BANK HOSPITAL,MUGDA"
"22262","RD 6/A , DHAMALKOT , DHAKA CANTONMENT"
"22263","SHABUJBAG POLICE 9.05STATION"
"22264","SONY CINEMA HALL CIRCLE MAIN RD MIRPUR 1"
"22265","ROAD NO. 22, BASUNDHARA R/A"
"22266","RD 4,PALLABI EXTENSION,PALLABI"
"22267","POPULAR DIAGONSTIC CENTRE LTD . RESIDENTIAL AREA , DHANMONDI"
