"FINE WEAR BD , SECTOR 10, UTTARA","(23.8667, 90.4)"
"SOVEREIGN , H 4 , RD 18 , BANANI","(23.7951763, 90.4048304)"
"1/6,BLOCK B,MIRPUR ROAD,DHANMONDI R/A/SHYAMOLI","(23.77438, 90.36538)"
"BRTC DHAKA TRUCK DEPOT,INDUSTRIAL AREA,TEJGAON","(23.76296, 90.38971)"
"CENTRAL HOSPITAL LIMITED,ROAD 5,DHANMONDI","(23.7433306, 90.3841799)"
"LAB AID GULSHAN H 13/A KAMAL ATATRUK AVE , GULSHAN 2","(23.7917, 90.4167)"
"77,ROAD 3,SECTION 12","(22.8933377, 91.5339391)"
"MAMTAZ SQUARE , PLOT 841 , ROAD 19 , BLOCK K , BASUNDHARA R/A",""
"H 10/1, SIR SAYED RD , MOHAMMADPUR","(23.7659, 90.35851)"
"SHWAPNO MIRPUR 10,C BLOCK,HOPER GOLI,BLOCK C,MIRPUR 10","(23.805, 90.366)"
"SARDAR STUDIO , H 276 , MUKTIJODDHA ABDUL SALAM RD , FAKIRAPOOL","(23.7331201, 90.4172013)"
"DHAKA CITY COLLEGE , DHANMONDI ROAD 2, DHANMONDI R/A",""
"COSMIC STEEL BUILDING LTD , KALLYANPUR , MIRPUR","(23.805, 90.366)"
"DHAKA CMH , DHAKA CANTONMENT","(23.82444, 90.40556)"
"NOBABERBAG , MIRPUR 1","(23.8094318, 90.3514563)"
"HOUSING 40 FEET,BOSILA,MOHAMMADPUR","(23.7659, 90.35851)"
"PALASHI GOVERNMENT STAFF COLONY","(23.7262311, 90.3872494)"
"BHULTA,RUPGANJ,NARAYANGONJ","(23.8192493, 90.6002954)"
"H 283 , H 292, RD 11 , BLOCK A , BASUNDHARA R/A",""
"WHOLESALE CLUB,JAMUNA FUTURE PARK,BASUNDHARA R/A",""
"STANDARD GARMENTS , LALMATI , KALSHI","(23.8202931, 90.3710408)"
"ARUNACHAL , H 91/A , RD 23 /A , BANANI","(23.7960996, 90.4029974)"
"FOUR SEASONS,SATMASJID RD,DHANMONDI","(23.74, 90.385)"
"AREF NISHAN , 43/B , NORTH CIRCULAR  ROAD , DHANMONDI","(23.74, 90.385)"
"JURAIN RAILGATE BUS STOP , JURAIN RAILGATE , POSTOGOLA","(23.6936732, 90.4353274)"
"BISMILLAH JAME MASJID , AVOY DAS LANE , GOPIBAG , HATKHOLA","(22.41889, 90.80903)"
"CERAMIC AVE BLOCK A , MIRPUR 12","(23.805, 90.366)"
"IBN SINA MEDICAL COLLEGE RD AND HOSPITAL , KALLYANPUR","(23.7806848, 90.3613321)"
"NOWABGANJ-2, GENERAL STORE , P C, CULTURE HOUSING SOCIETY , ADABOR","(23.7664141, 90.3578379)"
"SHANKAR BUS STAND,SAT MASJID RD,DHANMONDI","(23.74, 90.385)"
"RD 15 , MOHAKHALI DOHS","(23.7807594, 90.3952941)"
"H 419, RD 19 , BLOCK G , BASHUNDHARA R/A","(23.8166725, 90.4294266)"
