,id,original_address,cleaned_address,matched_variation,latitude,longitude,provider
1585,10616,"GOLDEN TULIP THE GRANDMARK , DHAKA , BLOCK H , BANANI","GOLDEN TULIP THE GRANDMARK , DHAKA , BLOCK H , BANANI",DHAKA BLOCK H BANANI,23.81912634160078,90.41649477899408,Nominatim
1586,10617,"ROAD  116 , GULSHAN 1 , GULSHAN","ROAD  116 , GULSHAN 1 , GULSHAN","ROAD  116 , GULSHAN 1 , GULSHAN, Dhaka, Bangladesh",23.786813366437883,90.41778732026792,Nominatim
1587,10618,"SHARIATPUR RENT A CAR ( BASHUNDHARA ) , BLOCK K , BASHUNDHARA R/A","SHARIATPUR RENT A CAR ( BASHUNDHARA ) , BLOCK K , BASHUNDHARA R/A",BASHUNDHARA R/A,23.8166725,90.42942658076268,Nominatim
1588,10619,"ICT WORLD -BD, BLOCK E, BANASREE","ICT WORLD -BD, BLOCK E, BANASREE",BD BLOCK E BANASREE,23.7661769,90.4259368,Nominatim
1589,10620,"MATIN VILLA,HOUSE 23,ROAD 2,SECTOR 4,UTTARA","MATIN VILLA,HOUSE 23,ROAD 2,SECTOR 4,UTTARA",HOUSE 23 ROAD 2 SECTOR 4 UTTARA,23.86268738965584,90.39881469609072,Nominatim
1590,10621,"H 114/2 , MALIBAGH RAIL GATE , MALIBAGH","H 114/2 , MALIBAGH RAIL GATE , MALIBAGH",MALIBAGH RAIL GATE MALIBAGH,23.7499107,90.4132552,Nominatim
1591,10622,"695, HATIRJHEEL LINK ROAD , WIRELESS , MOGHBAZAR","695, HATIRJHEEL LINK ROAD , WIRELESS , MOGHBAZAR",ROAD WIRELESS MOGHBAZAR,23.748598,90.404016,Nominatim
1592,10623,"DHAKA BANK LIMITED , BEGUM ROKEYA AVENUE , TALTOLA , AGARGAON","DHAKA BANK LIMITED , BEGUM ROKEYA AVENUE , TALTOLA , AGARGAON",TALTOLA AGARGAON,23.7784275,90.3800503,Nominatim
1593,10624,"AMBROSIA INFINITY LOUNGE , HOUSE 54, ROAD 10/A, DHANMONDI","AMBROSIA INFINITY LOUNGE , HOUSE 54, ROAD 10/A, DHANMONDI",54 ROAD 10/A DHANMONDI,23.74490864851097,90.36926511469258,Nominatim
1594,10625,"TAMIRUL MILLAT KAMIL MADRASA ENGINEER GOLI , MIR HAZIRBAG , JATRABARI","TAMIRUL MILLAT KAMIL MADRASA ENGINEER GOLI , MIR HAZIRBAG , JATRABARI",JATRABARI,23.7093978,90.433806,Nominatim
1595,10626,"ZOOM AMBULANCE SERVICE IN DHAKA , SOBHANBAG , DHANMONDI","ZOOM AMBULANCE SERVICE IN DHAKA , SOBHANBAG , DHANMONDI",DHAKA SOBHANBAG DHANMONDI,23.7462942,90.37776327388092,Nominatim
1596,10627,"REGIONAL PASSPORT OFFICE , ROAD 3/B , SECTOR 15 , UTTARA","REGIONAL PASSPORT OFFICE , ROAD 3/B , SECTOR 15 , UTTARA",3/B SECTOR 15 UTTARA,23.8623827,90.3695047,Nominatim
1597,10628,"AL GHAFILY MEDICAL CENTER , H 82 , RD 17A, BANANI","AL GHAFILY MEDICAL CENTER , H 82 , RD 17A, BANANI",H 82 RD 17A BANANI,23.7921918,90.4088087,Nominatim
1598,10629,"ICON EVENT MANAGEMENT & WEDDING PLANNER,SECTION 13,MIRPUR","ICON EVENT MANAGEMENT & WEDDING PLANNER,SECTION 13,MIRPUR",SECTION 13 MIRPUR,23.8082843,90.372807,Nominatim
1599,10630,"H 159/A, AL HELAL HOSPITAL RD , SENPARA PARBATA , MIRPUR 10","H 159/A, AL HELAL HOSPITAL RD , SENPARA PARBATA , MIRPUR 10",RD SENPARA PARBATA MIRPUR 10,23.80515430502765,90.37101237960734,Nominatim
1600,10631,"SP GOLDEN LINE , MOTIJHEEL COUNTER , SOUTH KAMALAPUR","SP GOLDEN LINE , MOTIJHEEL COUNTER , SOUTH KAMALAPUR",COUNTER SOUTH KAMALAPUR,23.7278873,90.4191619,Nominatim
1603,10634,"16/A , LAKE CIRCUS 3RD LANE , KALABAGAN","16/A , LAKE CIRCUS 3RD LANE , KALABAGAN",LAKE CIRCUS 3RD LANE KALABAGAN,23.7485855092286,90.3809315648076,Nominatim
1604,10635,"IBN SINA , H 58 , RD 2A , DHANMONDI","IBN SINA , H 58 , RD 2A , DHANMONDI",2A DHANMONDI,23.7479124,90.3745866,Nominatim
1605,10636,"AYSHA TEA STORE , GABTOLI , MIRPUR","AYSHA TEA STORE , GABTOLI , MIRPUR",GABTOLI MIRPUR,23.7835832,90.34748328350922,Nominatim
1609,10640,"GULSHAN CLUB LIMITED , ROAD 50 GULSHAN 2 , DHAKA","GULSHAN CLUB LIMITED , ROAD 50 GULSHAN 2 , DHAKA",ROAD 50 GULSHAN 2 DHAKA,23.7981019,90.41048262549378,Nominatim
1610,10641,"2A , ROAD 55 , BANANI , GULSHAN","2A , ROAD 55 , BANANI , GULSHAN","2A , ROAD 55 , BANANI , GULSHAN, Dhaka, Bangladesh",23.79801405,90.41084861169698,Nominatim
1612,10643,"KAMARPARA , UTTARA SECTOR 10","KAMARPARA , UTTARA SECTOR 10","KAMARPARA , UTTARA SECTOR 10, Dhaka, Bangladesh",23.8842229,90.3950134,Nominatim
1614,10645,"US BANGLA AIRLINES , GULSHAN NORTH AVENUE , GULSHAN 2, GULSHAN","US BANGLA AIRLINES , GULSHAN NORTH AVENUE , GULSHAN 2, GULSHAN",AVENUE GULSHAN 2 GULSHAN,23.7962493,90.4176239,Nominatim
1615,10646,"22, ROAD 2 , DAKKHIN BADDA , GULSHAN","22, ROAD 2 , DAKKHIN BADDA , GULSHAN",ROAD 2 DAKKHIN BADDA GULSHAN,23.7751646,90.4225629,Nominatim
1616,10647,"ABDULLAH PHARMACY 9,MIRPUR ROAD,NO 14,UTTAR KAFRUL,PURBA KAZIPARA","ABDULLAH PHARMACY 9,MIRPUR ROAD,NO 14,UTTAR KAFRUL,PURBA KAZIPARA",KAFRUL PURBA KAZIPARA,23.7987559,90.3754353,Nominatim
1617,10648,"National Bank Public School And Collage, Rayer Bazar, Mohammadpur","National Bank Public School And Collage, Rayer Bazar, Mohammadpur",Rayer Bazar Mohammadpur,23.756529224275905,90.35914330235236,Nominatim
1620,10652,"UTTARA BADDA SHADHINOTA SHJARANI ROAD,ADARSHA NAGAR,BADDA","UTTARA BADDA SHADHINOTA SHJARANI ROAD,ADARSHA NAGAR,BADDA",ADARSHA NAGAR BADDA,23.7712948,90.4315889,Nominatim
1622,10654,"ALI ASGAR HOSPITAL , 111/1/A, DISTILARY ROAD , GOIPIBAG , DAYAGANJ","ALI ASGAR HOSPITAL , 111/1/A, DISTILARY ROAD , GOIPIBAG , DAYAGANJ",DAYAGANJ,23.7104417,90.4246393,Nominatim
1623,10655,"SILVER SPRING , 133 , D BLOCK 7 NO ROAD BLOCK D, BASHUNDHARA R/A","SILVER SPRING , 133 , D BLOCK 7 NO ROAD BLOCK D, BASHUNDHARA R/A",D BLOCK 7 NO ROAD BLOCK D BASHUNDHARA R/A,23.81537237906875,90.43535521470736,Nominatim
1624,10656,vai vai enterprise h 26 ave 2 mirpur 11,vai vai enterprise h 26 ave 2 mirpur 11,ave 2 mirpur 11,23.81813505,90.3747652132889,Nominatim
