"KARNAFULI GOVERNMENT QUARTER",""
"BANK TOWN,SAVAR UNION","(23.8709016, 90.2816927)"
"MBL CENTER , WEST DHANMONDI","(23.74, 90.385)"
"NETHERLANDS LANGUAGE INSTITUTION , ROAD 90 , GULSHAN NORTH AVE , GULSHAN 2","(23.7917, 90.4167)"
"FARHAN DEPARTMEMTAL STPRE , ZAFRABAD , MOHAMMADPUR","(23.7659, 90.35851)"
"KARNAFULI GOVERNMENT QUARTER",""
"ROAD 63 , GULSHAN 2 , GULSHAN",""
"OPEX GROUP , LINE 2, MIRPUR 13",""
"CM SERVICING CENTER , SHAHEED TAZUDDIN AVENUE , MOHAKHALI , GULSHAN",""
"INTERSTUDIO LTD,MADANI AVENUR,GULSHAN 2,GULSHAN",""
"VISION OPTICS , GREEN ROAD , DHANMONDI",""
"MIRPUR 2 NURSERY , MIRPUR GOVT. PRIMARY SCHOOL , SECTION 2",""
"COUNTRY SIDE ROOFTOP , BLOCK D, MIRPUR 2",""
"SHWAPNO , 76/A , ROAD 11 ,BANANI , GULSHAN",""
"HOUSE 51, ROAD 19 , SECTOR 11 , UTTARA",""
"446, ROAD 6A, MIRPUR DOHS , MIRPUR 12",""
"BREEZE RESTAURANT ROAD 16 , NIKUNJO 2",""
"AMAZING PARADISE , SOUTH BADDA",""
"h 484, mufti abdur rahman rd , block d , bahsundhara r/a",""
"JAMUNA FUTURE PARK,ENTRY WAY,PRAGATI SARANI,BASUNDHARA",""
"ANWAR KHAN MODERN MEDICAL COLLEGE,RD 7,DHANMONDI",""
"north south university (nsu)",""
"UNIMART EXPRESS , UNITED CITY , MADANI AVENUE , VATARA",""
"SIKDER BARI GOVT OFFICERS QUARTER PLAYGROUND , SECTOR 8 , ROAD 8 , UTTARA , KOTBARI BAZAR , SECTOR 8",""
"260/1 , MALIBAGH COLLEGE ROAD , MALIBAGH MOR , MALIBAGH",""
"MOSLEM POULTRY FEED , BASAN",""
"MONI STORE,NOBODOY HOUSING,MOHAMMADPUR",""
"ALEYA VILLA,DHOLIPARA,UTTARA",""
