"HOTEL MILODY INTERNATIONAL , H 64/4, OUTER CIRCULAR RD , KAMALAPUR",""
"FORUM TWIN TOWER,INDUSTRIAL AREA,TEJGAON",""
"21/9,BLOCK B,KHILJI ROAD,MOHAMMADPUR",""
"PODMO NILIMA , 329/1 , SENPARA PARBATA , SENPARA PARBATA , SECTION 13",""
"AKANKHA ANANDO , 48 , DOLPHIN GOLI , DHANMONDI",""
"ROWSHAN GENERAL STORE , ZAFRABAD MOHAMMADPUR",""
"KONA'S MEHENDI & MAKEOVER , TALLABAG , JIGATOLA",""
"APU PHARMACY , SECTOR 9 , UTTARA",""
"SUNNY MART , DHAKA UDDAN , MOHAMMADPUR",""
"RUPAYAN IMAM LAKE ORCHARD , EVERCARE HOSPITAL ROAD , BLOCK E , BASHUNDHARA R/A",""
"CAKE STORYS , DOKHIN PIRERBAGH , AMTOLA BAZAR , 60 FEET , MIRPUR 01",""
"NOORANI ATOR CO,BAITUL MOKARRAM RD,PURANA PALTAN",""
"16,ANANDA ROAD,UTTOR KAFRUL,PURBA KAZIPARA",""
"WORKSHOP BUS STOP , SHAHID SARANI , SOUTH KAFRUL",""
"KHEYA , H 33/A , 40 , RD 2 , PC CULTURE HOUSING SOCIETY , MOHAMMADPUR",""
"THE HOTEL , GULSHAN 2 , GULSHAN",""
"ARAFAT COSMETICS , GAUSIA MARKET , NEW MARKET",""
"AHMADBAG GOVT. PRIMARY SCHOOL , MUGDA , SABUJBAG",""
"BANANI DURGA PUJA MONDOP , KEMAL ATATURK AVENUE",""
"BISMILLAH RESTAURANT,RD 6,MIRPUR 10",""
"KURMITOLA HOSPITAL",""
"BADDA HIGH SCHOOL RD 2,MIDDLE BADDA",""
"BHUIGHAR BUS STOP,DHAKA NARAYANGANJ RD,SIGN BOARD,SHIDDHIRGANJ,NARAYANGANJ",""
"ABPL MANGROVE HOUSE 1/A,ROAD 1,SECOND COLONY,MAZAR ROAD,MIRPUR 1DHAKA 1216",""
"SHALBON HOTEL AND RESTAURANT , JOYDEBPUR RD , 1702",""
"ABU ENTERPRISE , GOALTEK , DAKKHINKHAN , UTTARA",""
"UNIVERSITY OF LIBERAL ARTS BANGLADESH (ULAB) , MOHAMMADPUR",""
"LUNA SPLENDIDA , H 591 , RD 18 , BLOCK F , BASUNDHARA R/A",""
"MARIE STOPES BANGLADESH , H 13, PARIS RD , MIRPUR 10",""
"DESHKAL POTRIKA , IQBAL ROAD , MOHAMMADPUR",""
"AZIMPUR COMMUNITY CENTER,LALBAGH",""
"SHOSHAN , ATI BAZAR KALATIA RD , MODHU CITY",""
"582,60FEET , MUKTI HOUSING , DOKKHIN MONIPUR",""
"GULSHAN POLICE CHECKPOST , ROAD 50 , GULSHAN 2 , GULSHAN",""
"RD 5 , MIRPUR 2",""
"JAPAN INTERNATIONAL FRIENDSHIP , HOSPITAL JIGATOLA , DHANMONDI",""
"HAIDARI VILLA,17,ROAD 5,DHANMONDI R/A",""
"CROWNE PLAZA DHAKA GULSHAN , GULSHAN 2 , GULSHAN",""
"PRIMROSE PALACE , HOUSE 287, ROAD 6B , BLOCK B , BASHUNDHARA R/A",""
"IAIC-INTERNATIONAL ADMISSION & IMMIGRATION CONSULTANT , ROAD-126, GULSHAN 1 , GULSHAN",""
"LITTLE SCHOLARS ACADEMY , 12 , ROAD 5 , SECTION 12",""
"HOME , BLOCK A , BASHUNDHARA R/A",""
"ARMA MADHOBEE,H 36,RD 1,BLOCK F,BANASHREE",""
"cresent lake , lake road , sangshad bhaban",""
"BARIDHARA DOHS MASJID , BARIDHARA DOHS MAIN RD , ABRIDHARA DOHS",""
"MONU TOWER , SECTOR 12 , UTTARA",""
"IMART , ROAD -84, GULSHAN 2, GULSHAN",""
"NOYONTARA , UCLC, D/2, RD 8, PALLABI EXTENSION , PALLABI",""
"SYED MANZIL , 8 , SECTION 6",""
"HELIPAD,BLOCK E,BASHUNDHARA R/A",""
"SNACKS CORNER,NEW MARKET",""
"AARONG TEJGAON GULSHAN LINK ROAD , GULSHAN 1 , GULSHAN",""
"SARKARI KARMACHARI HOSPITAL , COLLEGE RD , FULBARIA",""
"KISHOR DIGEST , ESKATON  GREEN ROAD , RAMNA",""
"LAKE VIEW REGENCY , ROAD 1/A, BLOCK I , BANANI",""
"TURKEY BLISS,ROAD 11,BLOCK F,BANANI",""
"BIRD'S EYE HELICOPTER & AIR SERVICE , HAZRAT SHAHJALAL INTERNATIONAL AIRPORT , KURMITOLA",""
"MAMUN HOUSE,BLOCL I, BASHUNDHARA R/A",""
"ORISON POWER ENGINEERING , WEST SHEWRAPARA , MIRPUR",""
"AHSANIA MISSION CANCER AND GENERAL HOSPITAL  , TURAG TIR , UTTARA",""
"SIDDHIRGANJ POST OFFICE , DEMRA NARAYANGANJ RD , SIDDHIRGANJ POWER PLANT , SHIDDHIRGANJ , NARAYANGANJ , 1430",""
"BATENER HOTEL,BAMAIL,DEMRA",""
"MATUAIL POST OFFICE , SHONIR AKHRA MRIDAHBARI RD , SHONIR AKHRA",""
"GULISTAN STADIUM MARKET , BANGABANDHU NATIONAL STADIUM RD , PURANA PALTAN",""
"ABESH HOTEL & RESTAURANT BRANCH 3 , BLOCK D, MIRPUR 2",""
"DYNASTY WAHED TOWER,SHUKRABAD,DHANMONDI 32",""
"BUSINESS POINT,BLOCK I,BASHUNDHARA R/A",""
"MTB ATM . 24 7 , KAKRAIL , RAMNA",""
"ubrahim cardiac hospital and , research institute , footoverbridge , shahbag",""
"SAID LAIBREY , PURBA NAKHALPARA , TEJGAON",""
"NAJEEBITES , BLOCK J , BASHUDNHARA R/A",""
"VILLA LE OPALA,H 25,RD 47,GULSHAN 2",""
"RD 4 , SHIALBARI , MIRPUR 2",""
"DBOX SPORTS COMPLEX,PLOT 217,BLOCK B,ROAD 3,DHAKA 1216",""
"AMMARI DHAKA , ROAD 41 , GULSHAN  2, GULSHAN",""
"ENAYENTPUR SUPER MARKET , 9 , ROAD 3, PC CULTURE HOUSING SOCIETY , MOHAMMADPUR 1207",""
"POPULAR HOSPITAL DHANMONDI ROAD 2 DHANMONDI R/A",""
"H 6 , RD 20 , NIKUNJA 2",""
"H 504,R 12/A,ADABOR",""
"RD 8 , SECTOR 11, UTTARA",""
"AJ FASHION,HOUSE 11/4,AVENUE 2,BLOCK C,SECTION 13,MIRPUR,DHAKA 1216",""
"HUIGH PARK RESIDENCE , H 99 , VIQARUNNESA RD , SHIDDESWARI",""
"NAVANA PROBANI RIDGEDALE AVENUE 5 SECTION 11 MIRPUR DHAKA",""
"64 , RAJA BAZAR INDIRA ROAD , DHANMONDI",""
"KK RESIDENCE , DOHS , MIRPUR",""
"dhaka electrical supply company (desco) ,22/b, kobi faruk sharani , nikunja 2",""
"KEEPEX, SECTOR 9, UTTARA",""
"NAMAPARA , MANIKDI , DHAKA CANTONMENT",""
"ISLAMIA CONFECTIONARY , SIR SAYED RD UNIVERSITY OF DHAKA",""
"SHARE TA OFFICE , GULSHAN 2, GULSHAN",""
"MONOWARA HOSPITAL PRIVATE LTD , H 54 , VIQARUNNESA RD SHIDDEHSWARI",""
"KHILKHET BOTTOLA JAME MASJID &  MADRASA WAQT TRUST  , KABARSTAHAN RD",""
"dalia h n183/1 rd 5 mohammadi housing ltd mohammadpur",""
"BASHIR RAZIA VILLA , H 74 , RD 18 , BANANI",""
"NABIL PARIBAHAN , KALLYANPUR , MIRPUR",""
"GAME LOVER BD , SECTOR 4 , UTTARA",""
"EYE CARE CENTRE , ELEPHANT ROAD , NEW MARKET",""
"RADIO SHADHIN,92.4 FM,BLOCK H,BANANI",""
"MUSTAFA HOTEL AND RESTAURANT , KA 49, KALACHANDPUR MAIN RD , KALACHANDPUR",""
"UNITED INTERNATIONAL UNIVERSITY CAMPUS",""
"MIRPUR NATIONAL ZOO,ZOO RD,MIRPUR 2",""
"SALIMULLAH ROAD PLAYGROUND , SALIMULLAH ROAD , MOHAMMADPUR",""
"L KA 49/2 , SHAHID ABDUL AZIZ RD , BLOCK A , BASUNDHARA R/A",""
"PODDAR PAR , H 16 , SHEKHERTEK MAIN RD , MOHAMMADPUR",""
"MODEL PROPERTIES & DEVELOPERS , NORTH BADDA",""
"GLOBAL LAW ASSOCIATES,CHANDMIYA HOUSING,MOHAMMADPUR",""
"LIBERATION WAR MUSEUM , SYED MAHBUB MURSHED AVE , AGARGAON",""
"DELIGH SHEIKHA,BLOCK H,BASHUNDHARA R/A",""
"EBL HEAD OFFICE , 100 GULSHAN AVENUE",""
"HOUSE 63,ROAD 14,SECTOR 13,UTTARA",""
"NATIONAL INSTITUTE IF NEUROSCIENCES HOSPITAL ( NINH) , SHAHID SHAHBUDDIN RD , AGARGAON",""
"DHAKA UNIVERSITY STAFF QUARTER,AZIMPUR,KASHMIRI TOLA,LALBAG",""
"OK247,EXTENDED PALLABI,MIRPUR 11.5",""
"DHANMONDI HAKKANI JAME MASJID , 4TH WEST END ST , DHANMONDI",""
"FLOCKS  9,ROAD 4,NIKUNJA 2",""
"VAGOLPUR , HAZARIBAG",""
"H 12/A , RD 9 , JANATA HOUSING , MOHAMMADPUR",""
"CONCORD HOPE,GULSHAN 1",""
"KODOMTOLA SUPER MARKET , KADAMTALA , BASHABO",""
"MENTORS EDUCATION,H 165/1,MIRPUR RD,KALABAGAN",""
"NUR E MADINA SHAH HARUN-OR-RASHID HIFZ MADRASA , DH",""
"KOLLANPUR BUS STOP,MIRPUR ROAD,ABDUL RAFIQ HOUSING,GABTALI",""
"ALI AHMED CHUNKA RD , DEOBHOG , NARAYANGANJ , 1400",""
"UTTARA PREPARATORY SCHOOL , ROAD 18 , SECTOR 4 , UTTARA",""
"ACADEMIC DREAM , H 51 , MASJID ST , NAYA PALTAN",""
"ACADEMIA MIRPUR CAMPUS , DHAKA , BANGLADESH",""
"PIZZAHOLIC , SHER E BANGLA ROAD , MASDAIR",""
"HOLY FAMILY RES CRESCENT MEDICAL COLLEGE HOSPITAL , H 1, ESKATON GARDEN RD , OLD ESKATON",""
"SHIBU MARKET FAITULLAH RD,SHIBU MARKET,FATULLAH,NARAYANGANJ,1401",""
"NAGORIK TELEVISION , NIKUNJA 2",""
"JIB JHORNA , 8/H , ROAD NO.2 , BLOCK D , BASUNDHARA R/A",""
"BARISHAL GENERAL STORE , GIRL'S SCHOOL RD , WEST ARCHIPUR, MOINARTEK",""
"VAPE COMPANY,GULSHAN 1,GULSHAN","(23.7917, 90.4167)"
"angaria , shariatpur sadar , shariatpur","(23.1914286, 90.3233369)"
"TRUST MILONAYTON , BIR UTTAM ZIAUR  RAHMAN RD , SHAHEENBAG",""
"H 55,SCHOOL RD,MOHAKHALI",""
"ZINITH TOWER , 7/4/2, SHAH SHAHEB NAGAR , MIDDLE PAIKPARTA , MUKTI HOUSING MODDHO PAIKPARA",""
"MIRPUR SHOPPING COMPLEX,MIRPUR 2 FOOTOVER BRIDGE,MIRPUR 2",""
"456/B,KHILGAON,TALTOLA",""
"BASHUNDHARA CHANDRIMA , 435, A/B , ROAD NO 17 , BLOCK A, BASHUNDHARA R/A",""
"DR BATRA'S HOMEOPATHY CLINIC , PROGRESS TOWER , ROAD 23 , GULSHAN 1 , GULSHAN",""
"SOMEREST ROSACEAE , H 185 , RD 5 , BLOCK A , BASUNDHARA R/A",""
"YALE INTERNATIONAL SCHOOL , SECTOR 3 , UTTARA",""
"TRITECH BUILDING SERVICE LTD BLOCK I BASHUNDHARA R/A",""
"RD 3 , PRIYANKA HOUSING , MIRPUR 1","(23.805, 90.366)"
"TRADE POINT INTERNATIONAL , THANA RD , 1340",""
"CADET COLLEGE CLUB LIMITED,SECTOR 12,PURBACHAL",""
"SOUTHEAST BANK,KAMAL ATATURK AVENUE,BANANI",""
"NEW JANNAT CAR DECORATION,TASIN MOTOR PARTS MARKET,ROAD 10A,ABDULLAHPUR,UTTARA",""
"SKYLINE LOTUS , 49/1/2 , MASTER PARA ROAD , SENPARA PARBATA , BOROBAGH",""
"CLASSIC NETWORK,PIRERBAG,MIRPUR 1",""
"MIRPUR GOVERNMENT HOUSING AREA,RUPNAGAR RESIDENTIAL AREA",""
"KHAMAR BARI  , KHAMARBARI RD , FARMGATE",""
"MA GENERAL STORE , EKBAL ROAD , MOHAMMADPUR",""
"ROBISHOP ONLINE SHOPPING , INDUSTRICAL AREA , TEJGAON",""
"RD, 11, SOUTH BANASREE PROJECT , RAMPURA",""
"SONAR COURIER SERVICE LTD,AMTOLI MOHAKHALI",""
"BISMILLAH STORE , GREEN ROAD , SHANMONDI",""
"HAWLADAR FURNITURES , SECTOR 3, UTTARA",""
"METRO SHOPPING MALL,RESIDENTIAL AREA,DHANMONDI",""
"BTCL WASTE TRANSFER STATION , RD 3 , BANANI",""
"SOFTANIS , SECTPR 12 , UTTARA",""
"AFNAN APARTMENT , ADABAR , MOHAMMADPUR",""
"ORCHARD CNVENTION HALL , GREEN ROAD DHANMONDI",""
"SONALI BANK LTD , KRISHI BHABAN BRANCH , 49 51 , DILKUSHA RD",""
"KAZI NIBASH , 222 MALIBAGH BAZAR ROAD , DHAKA",""
"THE HUB ROOFTOP RESTAURANT,EIDGAH MATT,SONY HALL,MIRPUR 1",""
"RING TECH (BANGLADESH) LTD",""
"CULVERT MOR , RD 7 , TILPAPARA , KHILGAON",""
"HOPE STREET MARKET,SECTION 10 BLOCK B,MIRPUR",""
"UNIMERT DELIVERY HUB, GULSHAN 2, GULSHAN",""
"ROAD 2A , KURMITOLA  , SECTOR 4",""
"FATEMA BAGH , 16B , EAST RAJABAZAR TEJGAON",""
"H 393 , RD 21 , BLOCK G , BASUNDHARA R/A",""
"SWISS BAKERY , NEE BAILY RD",""
"NUR JAHAN SUPER MARKET,H 6,MIRPUR RD,NEW MARKET",""
"CHILIS P C CULTURE HOUSING SOCIETY , SHKHERTEK",""
"SHARA FAST-FOOD CAFE , TONGI PAURASHAVA",""
"TAHRAT LADIES TAILOR , H 32/10/M , MEKAB KHAN MASJID RD , RAYER BAZAR",""
"RAFIA FASHION TAILORS & FABRICS,TOLARBAG,MIRPUR 1",""
"DESCO SALES & DISTRIBUTION DIVISION , GULSHAN , ROAD 134 , DAKKHIN BADDA , GULSHAN",""
"MIZAN TELECOM,H 47,NORTH RD,DHANMONDI",""
"IBN SINA HOSPITAL,KALYANPUR VILLA RD,SOUTH KALYANPUR,KALLYANOUR",""
"KAMRUNNESA GOVT GIRLS SCHOOL , AVOY DASD LN , TIKATULI",""
"PLAN,HOUSE 180,BLOCK B,ROAD 4,BLOCK B,BASHUNDHARA R/A",""
"HAZI KAMAL WHITE HOUSE , 227, ROAD NO .8 , BASUNDHARA R/A",""
"MARINO HOTEL , SECTOR 4 , UTTARA",""
"BIG WEB TECHNOLOGIES LTD,GAZI GOLAM DASTAGIR RD,ARAMBAG",""
"MIRPUR-11 JOURNALISTS RESIDENTIAL AREA , JPURNALIST RESIDENTIAL AREA , MIRPUR 11",""
"MIRPUR GIRLS IDEAL SCHOOL AND COLLEGE , RD 14 , BLOCK B , MIRPUR 10",""
"SWEET BABY,PANTHAPATH",""
"dhaka residential model cpllege , mirpur rd , mohammadpur",""
"QURESHI KABAB'N RESTAURANT , NOORJAHAN ROAD , MOHAMMADPUR",""
