"SHAHJALAL MULTI STORIED CAR PARKING,NEW AIRPORT ROAD",""
"418, ROAD NO 16 BLOCK A , BASHUDNHARA R/A",""
"WARI POST OFFICE , H 15/2 A , RANKIN ST , WARI",""
"H 662/1, RD 14 , ADABOR",""
"HONEY MUSTARD,JAGANNATHPUR,BASHUNDHARA ROAD",""
"CREEC & DESIGN DIVISION OF PBRIP,GULSHAN 2,GULSHAN",""
"RD 2 , MOHAMMADIA HOUSING SOCIETY , MOHAMMADPUR",""
"MA ELECTRONICS & FURNITURE , SOLMAID , VATARA",""
"90/1 JOMIDAR GOLI , SHIDDESWARI, RAMNA, 1000",""
"STANDARD DENTAL CARE , BLOCK J , BARIDHARA",""
"67,ROAD 6,SECTION 12",""
"DHAKA MEDICAL COLLEGE HOSPITAL , SECRETARIAT ROAD ,DHAKA , BANGLADESH",""
"JANATA BANK LTD , H 110 , MOTIJHEEL RD , DILKUSHA",""
"VAGGOKUL MISTANNO VANDAR , 04/A , ROAD 1 , NIKETON HOUSING SOCIETY , GULSHAN",""
"HOUSE 3,ROAD 14,CHANDRIMA MODEL TOWN,MOHAMMADPUR",""
"H 450/7 , RD 8 , BARIDHARA DOHS",""
"SQUARE  HOSPITAL LTD , PANTHAPATH RD , KALABAGAN",""
"KGH COFFEE HOUSE , KURMITOLA GENERAL HOSPITAL , DHAKA CANTONMENT",""
"BASIRUDDIN RD MASJID , BASIRUDDIN RD , KALABAGAN",""
"H 55 RD 3 , BLOCK I , BASUNDHARA R/A",""
"DIGITAL DEPARTMENTAL STORE , SECTOR 5 , UTTARA",""
"DHAKA REGENCY , NEW AIRPORT RD, NIKUNJA 2",""
"MALIBAG RAIL GATE BUS STOP , CHOWDHURIPARA , MALIBAGH",""
"BANGLADESH SPECIALIZED HOSPITAL , MIRPUR RD , SHYAMOLI",""
"AL NOOR EYE HOSPITAL,NOOR MAKKA COMPLEX,ZAFRABAD,MOHAMMADPUR",""
"BANK ASIA LTD , SHIMULTOLY RD , 1702",""
"391,ROAD 7,BASUNDHARA R/A",""
"741-742 SABRINA SOBHAN 4TH AVENUE ROAD BLOCK D BASHUNDHARA R/A",""
"AMERICAN INTERNATIONAL UNIVERSITY,408/1(OLD KA 66/1) KURATOLI ROAD,KURIL,DHAKA 1229",""
"71 AUDITORIUM , DAFFODIL PLAZA , SOBHANBAG , DHANMONDI",""
"TITU TEA STALL,INDUSTRIAL AREA,TEJGAON",""
"MONICA PHARMA LTD,NEW ESKATON",""
"ITTADI DEPARTMENTAL STORE,NAYA PALTAN RD,NAYA PALTAN",""
"WALTON SERVICE POINT,MIRPUR 2ND COLONY,MAZAR ROAD,MIRPUR 1",""
"NEW GOVT. QUARTER OUTDOOR SWIMMING POOL , TOLARBAG , MIRPUR 1",""
"76, ROAD NO . 5 , BLOCK D, BASHUNDHARA R/A",""
"MARI STOPE'S GOLI , RAYER BAZAR",""
"HATIRJHIL AMPHITHEATER HATIR JHEEL LINK ROAD , DAKKHIN BADDA , NIKETAN",""
"JIYON BOUTIQUE RESORT , MODHUMOTI MODEL TOWN , AMINBAZAR",""
"427 ROAD NO 17 BLOCK A BASHUNDHARA R/A",""
"NEDDS GENERAL STORE , H 10 /10 , RD 29A , PALLABI EXTENSION , PALLABI",""
"LOCUS ROAD 11 BLOCK C BANANI",""
"DARUS SALAM HOMIO HALL , MERADIA , BANASREE",""
"VANNARA BAZAR,MOUCHAK KALIAKAIR,GAZIPUR",""
"OFFICERS TRAINING INSTITUTE,ANWAR JANG SARAK,ASHULIA,SAVAR",""
"autograph building , block b , banani",""
"NEW AIRPORT FLOWER GARDEN , NEW AIRPORT RD",""
"RAOWA CONVENTION HALL,MOHAKHALI",""
"DNCC POLICE BOX, MADANI AVENUE BARIDHARA , NOTUN BAZAR",""
"MIR TARUN NIKUNJA,BLOCK G,BANANI",""
"NAM GARDEN OFFICER'S QUARTERS , MIRPUR 14 , 1216",""
"DRESS WORLD , RESIDENTIAL AREA , DHANMONDI",""
"KHOKAN STORE , RUPNAGAR RESIDENTIAL AREA , MIRPUR",""
"BIMAN CARGO COMPLEX , HAZRAT SHAHJALAL INTERNATIONAL AIRPORT , KURMITOLA",""
"ADVANCED AUTOMATION & ENGINEERING LTD , MIRPUR DOHS",""
"SHEROKOM BD,BLOCK E,BANASREE",""
"THE ENCHANTED RESTAURANT , ROAD 27 , BLOCK J , BANANI",""
"MUTUAL TRUST BANK UTTARA , SECTOR 4",""
"FIRST SECURITY BANK LTD , H 95 , BIR UTTAM AK KHANDAKAR RD , GULSHAN 1",""
"ANIKA DENTAL CARE,SECTOR 14,UTTARA",""
"NAFI TOWER , 53 , GULSHAN AVENUE , GULSHAN 1 , GULSHNA",""
"BANGLADESH CANCER SOCIETY HOSPITAL AND WELFARE HOME , DARUS SALAM , KALLYANPUR",""
"UNIIBRAIN,NILKHET,NEW MARKET",""
"DECATHLON,DHAKA(PRODUCTION OFFICE),
SECTOR 7,UTTARA",""
"NAFISA HOMEO HALL , H 301 , SHADHINOTA SARANI ,NORTH BADDA",""
"RAJLAXMI COMPLEX,SECTOR 7,UTTARA",""
"29/A,ROAD 4,DHANMONDI R/A",""
"MODONPUR UNION PARISHAD,BANDAR",""
"PIZZA VERSE , RASEL SQUARE , PANTHAPATH",""
"DELTA HEALTH CARE DIAGNOSTIC MIRPUR 11",""
"CAFE FLORENTINE , TEJGAON GULSHAN LINK RD , NIKETON",""
"AHMED HOSSAIN ARCHITECTS AND ASSOCIATES,SECTOR 5,UTTARA",""
"SONALI BANK , MOTIJHEEL RD , DILKUSHA",""
"BORAK MEHNUR,KAMAL ATATURK AVENUE,BLOCK B,BANANI",""
"AIR ASTRA , SECTOR 3 , UTTARA",""
"UCB,ROAD 34,GULSHAN 1,GULSHAN",""
"AURELIA, 8/Q, ROAD NO. 2 , BLOCK D, BASUNDHARA R/A",""
"EASTERN HOME,H 116,SEGUNBAGICHA RD,SEGUNBAGICHA",""
"REGAN",""
"DELTA MEDICAL COLLEGE AND HOSPITAL , TOLARBAG , MIRPUR 1",""
"WANDER KABAB HAJ CAMP RD , CAAB COLONY DAKSHINKHAN",""
"DAMCO ,RD 11 , BANANI",""
"HOUSE 450 , ROAD 13 , F BLOCK , BASHUNDHARA RESIDENTIAL AREA",""
"HAZZLE OFFICE ADDRESS , ALIZA VILLA , 139/1/A/1 , PURBA RAMPURA , JA",""
"ARACO DIAGONSTIC & DENTAL CLINIC",""
"MOHSINA DOM-INNO,TREINTA DOS,RESIDENTIAL AREA,DHANMONDI",""
"POPULAR DIAGONISTIC CENTER , AVE 5 , MIRPUR 10",""
"ASSURANCE CITY , HALIM ROAD , MATIKATA , MIRPUR ECB",""
"AWAKE CAFE & BISTRO , DHALI FITNESS CENTER , BASHUNDHARA R/A",""
"45, DISTILARY ROAD, GOPIBAGH , DAYAGANJ",""
"CENTRAL HOSPITAL,GREEN RD,DHAKA",""
"WESTIN HOLET DHAKA , RD 45 , GULSHAN 2",""
"GABTALI BUS TERMINAL,GABTALI,GABTALI",""
"SHAHID IRFAN BHUIYAN LIBRARY , UIU , MADANI AVENUE , 100 FEET ROAD",""
"46 , ROAD 9 , NIKUNJA 2",""
"BTI PROVIDENTIAL INDUSTRIAL AREA TEJGAON",""
"SONY RANGS CENTER , ALAM ARCADE GULSHAN NORTH AVENUE, GULSHAN 2 , GULSHAN","(23.7917, 90.4167)"
"GODHULI PRANGON ,831, IBRAHIMPUR ROAD ,UTTOR KAFRUL ,PURBA KAZIPARA",""
"BANGLADESH ENERGY REGULATORY COMMISSION (BERC) , HATIRJHEEL , TEJGAON",""
"PAHARPUR VALLEY , 109, ROAD 4 , BLOCK C, BASHUNDHARA R/A",""
"NESCAFE POLICE PLAZA COFFEE  SHOP , HATIRJHEEL",""
"S.M BHABAN , D-61 , RD 3 , MOHANAGAR HOUSING  PROJECT  , RAMPURA",""
"SADDAM MARKET BUS STOP,DHAKA CHATTOGRAM HIGHWAY,SIDDHIRGANJ,KATCHPUR",""
"KSZ HOUSE , H 807, 808, RD 24, BLOCK F , BASHUNDHARA R/A",""
"H 2/B, RD 138, GULSHAN 1",""
"NSU RD , BLOCK B , BASUNDHARA R/A",""
"LA DIPLOMAT RESTURANT & BAR,ROAD 126,GULSHAN 1,GULSHAN",""
"SOUTH ANUPAM APARTMENT , HOUSE 22 , ROAD 10A , DHANMONDI",""
"TIBET FACTORY,SHAHID TAZUDDIN AHMED AVE,TEJGAON I/A",""
"MAHBUBA APARTMENTS , NIKETON , GULSHAN-1",""
"BRAC BANK,ANIK TOWER,RD 8,NIKETON",""
"ASSURANCE CITY,HALIM ROAD,MATIKATA,MIRPUR ECB",""
"6/4 , MIRPUR ROAD , DHANMONDI R/A , SHYAMOLIMOLI",""
"MINAR MOSQUE/LALMATIA C BLOCK JAME MASJID,ROAD 1,LALMATIA.",""
"AIRPORT PUBLIC TOILET,AIRPORT RAILWAY STATION",""
"HOSSAIN HOUSING SOCIETY N, SHYAMOLI MOHAMMADPUR",""
"HOUSE BUILDING BUS STOP,SECTOR 6,UTTARA",""
"MERCANTILE BANK LIMITED,DHOLAIPAR ROAD,EAST DHOLAIPAR,DONIA",""
"TAKEOUT BANANI,KEMAL ATATURK AVENUE",""
"BATA SIGNAL MOR,ELEHANT RD",""
"BANANI DOHS JAME MASJID",""
"SHIBLU AIR CONDITION & REFREGARTION 185/6, ADARSHA MOHOLLA ROAD SENPARA PARBATA , PURBA KAZIPARA",""
"RD 5,BLOCK H,BASUNDHARA R/A",""
"7,ROAD 5,SECTION 2",""
"PERFECT CUT GENTS,PARLOUR,SECTOR 4,UTTARA",""
"MIDAS CENTER , H 5 , RD 27 , DHANMONDI",""
"BDKROY , ELEPHANT ROAD , NEW MARKET",""
"SUVASTU RUCHIRA , HOUSE # 41 RD NO 9A , DHAKA 1205",""
"THIKANA , H 2 , RD 5 , SOUTH BANASHREE PROJECT , RAMPURA",""
"BANGLALINK TIGER'S DEN , GULSHAN 1 , GULSHAN",""
"SONY CINEMA HALL CIRCLE , MAIN RD MIRPUR 1",""
"JAKARIA PHARMACY , H 39/1, SHER-E-BANGLA RD , TALI OFFICE , WEST DHANMONDI",""
"GULE JANNAT ARIFABAD MAHILA MADRASA , E/10, ARIFABAD HOUSING ROAD , EXTENDED PALLABI , MIRPUR",""
"SHAANS KITCHEN,WEST MONIPUR,MIRPUR 2",""
"FEROZA TEXTILE MILLS, SILO RD , SILO SHIDDHIRGANJ , NARAYANGANJ , 1430",""
"RAWNAR VALLY,ROAD NO 8,MOAHMMADPUR",""
"IQBAL ROAD PLAYGROUND,SIR ALLAMA MUHAMMAD IQBAL ROAD,MOHAMMADPUR",""
"AEMY GOLF CLUB , ARMY GOLF CLUB ENTRANCE , KURMITOLA",""
"HAZRAT SHAHJALALA INTERNATIONAL AIRPORT",""
"LUCAS MOR , PRIME MINISTER OFFICE RD , WEST NAKHALPARA",""
"RANGS GARDEN SQUARE SECTOR 10,UTTARA",""
"UTTARA ENGINEERING COLLEGE, ABDULLAHPUR",""
"AICHI HOSPITAL , ABDULLAHPUR ATIPARA RD , SECTOR 8, UTTARA",""
"H 29,RD 18,BANANI",""
"NABADIP BASAK LN , LAXMI BAZAR",""
"NAWAB HABIBULLAH MODEL SCHOOL & COLLEGE , SHAHJALAL AVE, SECTOR 4 , UTTARA",""
"KALAMPUR BAZAR ,DHAMRAI",""
"FORTUNE SHOPPING MALL,MOUCHAK MARKET,MALIBAGH",""
"EAGLE PORIBAHAN , ADARSHA NAGAR , BADDA",""
"C 91 , ROAD 6 , MOHANAGAR HOUSING PROJECT , NIKETON",""
"BFC ( BEST FRIED CHICKEN ), RESIDENTIAL AREA , DHANMONDI",""
"NAME-CASUAL POLO ADDRESS-ROKEYA GARDEN , BLOCK - B , ROAD-01 , HOUSE -30, NABAHO HOUSING , MOHAMMADPUR , DHAKA",""
"DEBONAIR GROUP CORPORATE OFFICE,MOHAKHALI DOHS",""
"S.B. STYLE COMPOSITE LTD ., DHAKA NARAYANGANJ RD , SIGN BOARD , SHIDDHIRGANJ , NARAYANGANJ",""
"ROYAL BUFFET , RESIDENTIAL AREA , DHANMONDI",""
"PRIYANKA COMMUNITY CENTRE , H 2/ 9 , SIR SAYED RD , MOHAMMADPUR",""
"HOUSE 21 , ROAD 6 , BLOCK C , BANANI , DHAKA",""
"BRAC BANK LIMITED JASHIMUDDIN RD,SECTOR 3,UTTARA",""
"332,AL HAJ ABDUS SOBHAN ROAD,BLOCK B,BASUNDHARA R/A",""
"RD 13 , SECTOR 4 , UTTARA",""
