label,min_x,min_y,max_x,max_y
R0C0,90.3301919,23.6615544,90.33999085029347,23.667765043575343
R1C0,90.33019246817408,23.66759857203049,90.33986521643226,23.67678793541954
R2C0,90.33019326172379,23.676624569976955,90.33968245980257,23.685810815426237
R3C0,90.33019398946995,23.685650558568902,90.339499612417,23.69483368359165
R4C0,90.33019465140363,23.694676537802806,90.33931667424788,23.703856539912003
R5C0,90.33019524751595,23.70370250767514,90.33913364526764,23.712879384383513
R6C0,90.33019577779798,23.712728468182387,90.33895052544861,23.721902217002402
R7C0,90.3301962422408,23.72175441932102,90.33876731476315,23.73092503776489
R8C0,90.33019664083548,23.730780361087536,90.33858401318356,23.73994784666721
R9C0,90.33019697357305,23.739806293478388,90.33840062068217,23.74897064370558
R10C0,90.33019724044455,23.748832216490086,90.33821713723125,23.757993428876222
R11C0,90.33019744144103,23.757858130119097,90.33803356280308,23.767016202175363
R12C0,90.3301975765535,23.766884034361905,90.3378498973699,23.776038963599223
R13C0,90.33019764577298,23.775909929215,90.33766614090393,23.785061713144042
R14C0,90.33019758649692,23.784935814674867,90.33748229337742,23.79408445080604
R15C0,90.33019745798335,23.793961690737994,90.33729835476255,23.80310717658144
R16C0,90.33019726354071,23.802987557400872,90.33711432503148,23.81212989046648
R17C0,90.33019700315994,23.812013414659987,90.33693020415639,23.82115259245739
R18C0,90.33019667683203,23.821039262511842,90.3367459921094,23.830175282550393
R19C0,90.33019628454785,23.830065100952904,90.33656168886266,23.83919796074172
R20C0,90.3301958262984,23.839090929979687,90.33637729438824,23.848220627027608
R21C0,90.33019530207454,23.848116749588677,90.33619280865827,23.857243281404294
R22C0,90.3301947118672,23.85714255977637,90.33600823164477,23.866265923868003
R23C0,90.33019405566723,23.866168360539266,90.33582356331982,23.875288554414972
R24C0,90.33019333346556,23.875194151873853,90.33563880365546,23.884311173041432
R25C0,90.33019254525306,23.884219933776635,90.33545395262365,23.893333779743614
R26C0,90.3301919,23.89324570624411,90.33526901019646,23.90012939859194
R0C1,90.33986521643226,23.66155975786737,90.34978986700607,23.667933023707338
R1C1,90.33968245980257,23.667765043575343,90.34966140315704,23.67695598724489
R2C1,90.339499612417,23.67678793541954,90.34947931762026,23.685978938954484
R3C1,90.33931667424788,23.685810815426237,90.34929714166046,23.69500187883235
R4C1,90.33913364526764,23.69483368359165,90.34911487525007,23.704024806874717
R5C1,90.33895052544861,23.703856539912003,90.34893251836162,23.713047723077793
R6C1,90.33876731476315,23.712879384383513,90.34875007096755,23.722070627437816
R7C1,90.33858401318356,23.721902217002402,90.34856753304031,23.731093519951024
R8C1,90.33840062068217,23.73092503776489,90.34838490455233,23.740116400613616
R9C1,90.33821713723125,23.73994784666721,90.34820218547601,23.749139269421853
R10C1,90.33803356280308,23.74897064370558,90.34801937578372,23.758162126371957
R11C1,90.3378498973699,23.757993428876222,90.34783647544786,23.767184971460146
R12C1,90.33766614090393,23.767016202175363,90.34765348444077,23.77620780468266
R13C1,90.33748229337742,23.776038963599223,90.34747040273477,23.785230626035737
R14C1,90.33729835476255,23.785061713144042,90.34728723030219,23.794253435515596
R15C1,90.33711432503148,23.79408445080604,90.34710396711532,23.803276233118485
R16C1,90.33693020415639,23.80310717658144,90.34692061314644,23.812299018840626
R17C1,90.3367459921094,23.81212989046648,90.34673716836781,23.82132179267827
R18C1,90.33656168886266,23.82115259245739,90.34655363275168,23.83034455462763
R19C1,90.33637729438824,23.830175282550393,90.34637000627028,23.839367304684963
R20C1,90.33619280865827,23.83919796074172,90.34618628889578,23.8483900428465
R21C1,90.33600823164477,23.848220627027608,90.34600248060042,23.857412769108475
R22C1,90.33582356331982,23.857243281404294,90.34581858135633,23.86643548346712
R23C1,90.33563880365546,23.866265923868003,90.34563459113568,23.875458185918706
R24C1,90.33545395262365,23.875288554414972,90.34545050991059,23.884480876459435
R25C1,90.33526901019646,23.884311173041432,90.34526633765319,23.89350355508557
R26C1,90.3351296553143,23.893333779743614,90.34508207433555,23.90013449090613
R0C2,90.34966140315704,23.661564495140134,90.35958894980392,23.66810038564206
R1C2,90.34947931762026,23.667933023707338,90.3594576802774,23.677123420609302
R2C2,90.34929714166046,23.67695598724489,90.359276265861,23.686146443758098
R3C2,90.34911487525007,23.685978938954484,90.35909476135444,23.695169455084677
R4C2,90.34893251836162,23.69500187883235,90.35891316673032,23.70419245458528
R5C2,90.34875007096755,23.704024806874717,90.3587314819612,23.71321544225612
R6C2,90.34856753304031,23.713047723077793,90.35854970701966,23.72223841809344
R7C2,90.34838490455233,23.722070627437816,90.35836784187823,23.731261382093475
R8C2,90.34820218547601,23.731093519951024,90.35818588650945,23.740284334252447
R9C2,90.34801937578372,23.740116400613616,90.35800384088579,23.749307274566604
R10C2,90.34783647544786,23.749139269421853,90.35782170497978,23.75833020303219
R11C2,90.34765348444077,23.758162126371957,90.35763947876387,23.76735311964541
R12C2,90.34747040273477,23.767184971460146,90.35745716221052,23.77637602440253
R13C2,90.34728723030219,23.77620780468266,90.35727475529217,23.785398917299773
R14C2,90.34710396711532,23.785230626035737,90.35709225798124,23.794421798333378
R15C2,90.34692061314644,23.794253435515596,90.3569096702501,23.803444667499594
R16C2,90.34673716836781,23.803276233118485,90.35672699207115,23.812467524794645
R17C2,90.34655363275168,23.812299018840626,90.35654422341675,23.821490370214793
R18C2,90.34637000627028,23.82132179267827,90.35636136425924,23.830513203756265
R19C2,90.34618628889578,23.83034455462763,90.35617841457096,23.839536025415295
R20C2,90.34600248060042,23.839367304684963,90.35599537432422,23.848558835188143
R21C2,90.34581858135633,23.8483900428465,90.35581224349129,23.857581633071046
R22C2,90.34563459113568,23.857412769108475,90.35562902204444,23.866604419060245
R23C2,90.34545050991059,23.86643548346712,90.35544570995596,23.87562719315199
R24C2,90.34526633765319,23.875458185918706,90.35526230719805,23.884649955342525
R25C2,90.34508207433555,23.884480876459435,90.35507881374292,23.893672705628088
R26C2,90.34494659754249,23.89350355508557,90.3548952295628,23.90013895560049
R0C3,90.3594576802774,23.661568611809667,90.36938809835316,23.668267129356643
R1C3,90.359276265861,23.66810038564206,90.36925404746052,23.677290235489906
R2C3,90.35909476135444,23.677123420609302,90.36907330419189,23.68631332981419
R3C3,90.35891316673032,23.686146443758098,90.368892471166,23.69533641232574
R4C3,90.3587314819612,23.695169455084677,90.36871154835556,23.70435948302079
R5C3,90.35854970701966,23.70419245458528,90.36853053573321,23.713382541895584
R6C3,90.35836784187823,23.71321544225612,90.36834943327165,23.722405588946337
R7C3,90.35818588650945,23.72223841809344,90.3681682409435,23.731428624169318
R8C3,90.35800384088579,23.731261382093475,90.36798695872139,23.74045164756075
R9C3,90.35782170497978,23.740284334252447,90.36780558657794,23.749474659116874
R10C3,90.35763947876387,23.749307274566604,90.36762412448573,23.75849765883394
R11C3,90.35745716221052,23.75833020303219,90.36744257241733,23.76752064670817
R12C3,90.35727475529217,23.76735311964541,90.36726093034531,23.776543622735822
R13C3,90.35709225798124,23.77637602440253,90.36707919824217,23.78556658691314
R14C3,90.3569096702501,23.785398917299773,90.36689737608046,23.79458953923636
R15C3,90.35672699207115,23.794421798333378,90.36671546383268,23.80361247970173
R16C3,90.35654422341675,23.803444667499594,90.3665334614713,23.812635408305496
R17C3,90.35636136425924,23.812467524794645,90.3663513689688,23.82165832504391
R18C3,90.35617841457096,23.821490370214793,90.36616918629758,23.830681229913207
R19C3,90.35599537432422,23.830513203756265,90.36598691343013,23.839704122909634
R20C3,90.35581224349129,23.839536025415295,90.36580455033884,23.848727004029453
R21C3,90.35562902204444,23.848558835188143,90.36562209699608,23.8577498732689
R22C3,90.35544570995596,23.857581633071046,90.36543955337422,23.866772730624227
R23C3,90.35526230719805,23.866604419060245,90.36525691944566,23.875795576091697
R24C3,90.35507881374292,23.87562719315199,90.36507419518269,23.884818409667545
R25C3,90.3548952295628,23.884649955342525,90.36489138055767,23.893841231348027
R26C3,90.35476360603478,23.893672705628088,90.36470847554286,23.900142792666372
R0C4,90.36925404746052,23.661572107867425,90.3791873123199,23.668433254828326
R1C4,90.36907330419189,23.668267129356643,90.37905050437362,23.67745643186391
R2C4,90.368892471166,23.677290235489906,90.37887043228005,23.686479597099954
R3C4,90.36871154835556,23.68631332981419,90.37869027076214,23.69550275053271
