location,coordinates,latitude,longitude,grid_label
"BAISHTEKI CENTRAL JAME MASJID , SECTION 13 , MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"BDM HOSPITAL,H 5/17,HUMAYUN RD,BIHARI CAMP BAZAR","(25.74442, 88.49186)",25.74442,88.49186,
"INTER CONTINENTAL DHAKA HOTEL, SHAHBAG","(23.738, 90.4)",23.738,90.4,R8C7
"28 , ROAD 16 , NIKUNJA 2","(23.8339024, 90.4164755)",23.8339024,90.4164755,R19C9
"BALUR MATH , BASABO","(23.738195, 90.4306125)",23.738195,90.4306125,R8C10
"SYMPHONY CUTOMER CARE,NARAYANGANJ, B B RD,BALUR MATH,NARAYANGANJ SADAR,NARAYANGANJ 1400","(23.61352, 90.50298)",23.61352,90.50298,
"ARTS FACULTY , UNIVERSITY MAIN RD , SAVAR , 1342","(24.3137, 89.6089)",24.3137,89.6089,
"SAKIBUL KARIM CHOWDHURY ROAD ,, MOHANAGAR PROJECT , RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,R11C9
ONJOLY LADIES TAILOR'S 46/A DOLPHIN GOLI DHANMONDI,"(23.74, 90.385)",23.74,90.385,R8C5
"JAMUNA FUTURE PARK , NSU RD , BLOCK B , BASUNDHARA R/A","(38.5, -0.5)",38.5,-0.5,
"LOKI RESTAURANT & BAR,KEMAL ATATURK AVENUE,BANANI","(47.3678023, 8.8197926)",47.3678023,8.8197926,
"HOUSE 22, ROAD 4 , BLOCK C, BANANI , DHAKA","(23.7968846, 90.4068193)",23.7968846,90.4068193,R15C8
"5, ROAD 3, SECTION 12","(22.8933377, 91.5339391)",22.8933377,91.5339391,
"RD 19/3 , RUPNAGAR , PALLABI","(23.825, 90.37)",23.825,90.37,R18C4
"GLEMRICH INTERNATIONAL SCHOOL, SUNVALLEY SHARONI , SATARKUL, BADDA","(24.34671, 90.00523)",24.34671,90.00523,
"CITY BANK LTD , BEGUM ROKEYA SARANI , KAZIPARA","(25.74623, 89.0251)",25.74623,89.0251,
"SYMPHONY TOWER , GULSHAN 1","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"KHAJA BABA MOSQUE ROAD , RAYER BAZAR , HAZARIBAGH","(23.743244, 90.3556192)",23.743244,90.3556192,R9C2
"AMAR HAT,SECTOR 10,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"NEUVE'MI CAFE 7 RESTRO , SECTOR 15 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"FOOD POINT SHAHID ZIA COLLEGE ROAD,MIRPUR 12","(23.805, 90.366)",23.805,90.366,R16C3
"RADISSON BLU DHAKA WATER GARDEN, NEW AIRPORT RD, DHAKA CANTONMENT","(23.8160348, 90.4087008)",23.8160348,90.4087008,R17C8
"CHAREU ROWSHON , H 15 , RD 7 , SOUTH BANASREE PROJECT , RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,R11C9
"DHAKA RESTAURANTS,H 54,SATMASJID RD,DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"ALHAJ FAZAR ALI JAME MASJID , ALHAJ FAZAR ALI RD , GAZIPUR","(23.9828351, 90.389539)",23.9828351,90.389539,
"ROAD 19, SECTOR 13","(23.8707176, 90.3857822)",23.8707176,90.3857822,R23C6
"SHOBUJBON NOOR TOWER, DABANOL SHONGSHOD ROAD , EAST RAMPURA , HAJIPARA , DHAKA 1219","(23.7518, 90.4254)",23.7518,90.4254,R10C9
"SHUVO VILA,KONABARI","(24.60652, 89.99662)",24.60652,89.99662,
"north end coffee roasters , progati sarani , gulshan 2","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"19/A/19,BLOCK F,BIZLY MOHOLLA ROAD.,TIKKAPARA,MOHAMMADPUR","(23.7697137, 90.3597021)",23.7697137,90.3597021,R12C3
"AICHI HOSPITAL , ABDULLAH ATIPARA RD , SECTOR 8 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"DHAKA CHITTAGONG HIGHWAY,SHONIR AKHRA","(23.7167713, 90.4202821)",23.7167713,90.4202821,R6C9
"SHAHEED TAZUDDIN AVENUE , MOHAKHALI , GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"RD 1, SECTOR 12 , UTTARA","(23.8705821, 90.3832883)",23.8705821,90.3832883,R23C5
"GABTOLI PRANTIK SUPER MARKET GABTOLI COW HUT , DARUSSALAM , MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"ROSHMELA SWEETS , SHAHJADPUR , BADDA","(24.34671, 90.00523)",24.34671,90.00523,
"BASHABO PLAYGROUND , MODDHO BASHABO, SHAHJAHANPUR","(21.9128, 90.73626)",21.9128,90.73626,
"TALTOLA MARKET  , TALTOLA MARKET RD , TALTOLA  , KHILGAON","(23.7521147, 90.4240381)",23.7521147,90.4240381,R10C9
"KUBA MOSJID , ROAD NO. 4 , MOHAMMADI HOUSING LIMITED , MOHAMMADPUR","(23.7606011, 90.3571807)",23.7606011,90.3571807,R11C2
