location,coordinates,latitude,longitude,geometry,grid_label
"MEZBANDARI , JOYNAB ALI SOROK , BASHUNDHARA ROAD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ESPRESSO HOUSE,ROAD 17,BLOCK C,BANANI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"DHAKA CENTRAL INTERNATIONAL MEDICAL COLLEGE & HOSPITAL,RING RD,SHYAMOLI","(23.773731, 90.3613968)",23.773731,90.3613968,POINT (90.3613968 23.773731),R21C21
"ISCKON GOVINDA HOTEL,KOARTI TOLA RD,NARINDA","(23.71275, 90.41671)",23.71275,90.41671,POINT (90.41671 23.712749999999996),R19C22
"108 & 109, SARAK 10 1 , ABSHUNDHARA R/A","(64.1253134, -21.871995)",64.1253134,-21.871995,POINT (-21.871994999999988 64.1253134),R1751C-460
"SADIYA PHOTOCOPY AND TELECOM , PURBA GORAN","(23.75027, 90.43413)",23.75027,90.43413,POINT (90.43413 23.750269999999993),R20C23
"H 259.RD 9,KHILGAON","(23.75722, 90.46443)",23.75722,90.46443,POINT (90.46443 23.757220000000004),R20C23
"BIMAN HOLIDAY PREMIMUM LOUNGE,
HAZRAT SHAJALAL INTERNATIONAL AIRPORT,KURMITOLA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"RD 7,BLOCK C,BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"QUARTER ROAD,SENPARA PARBATA,MIRPUR","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"BANGLADESH TORIQAT FEDARETION ( B.T.F ) , RESIDENTIAL AREA , DHANMONDI","(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"AB BANK LIMITED ATM , SHANTINAGAR KAKRAIL","(23.73333, 90.4)",23.73333,90.4,POINT (90.40000000000002 23.733329999999988),R20C22
"HARIBAR GULSHAN,GULSHAN 2","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"GALIB SARANI , TEJKUNIPARA","(23.76667, 90.41667)",23.76667,90.41667,POINT (90.41667 23.76667),R20C22
"BUSINESS FACULTY ACADEMIC BUILDING,JASIMUDDIN HALL RD,UNIVERSITY OF DHAKA","(24.16667, 90.41667)",24.16667,90.41667,POINT (90.41667 24.16667),R29C22
"RD 7 , BLOCK  I , BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"RANKHOLA MARKET JAME MASJID,ZOO RD,MIRPUR 2","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
CATERING SERVICE TEHARI GHAR(SOBHANBAG),"(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"DREAM 18 , BLOCK D , AFTABNAGAR","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"STEP , BLOCK B , BANASREE","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"NASIA NIBASH , K 9/1, K9/3, SHAHID FAZIUL HAQUE RD , NADDA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SIDDHIRGANJ HOUSING JAME MASJID,SIDDHIRGANJ HOUSING RD 1,SIDDHIRGANJ,NARAYANGANJ,1361","(23.61352, 90.50298)",23.61352,90.50298,POINT (90.50298 23.61352),R17C24
"QUEENS KULSUM GARDEN , H 25 , RD 10 , SOUTH BANASHREE PROJECT , RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,POINT (90.42051 23.76261),R20C22
"RD 10 , SECTOR 4 , UTTARA","(23.8774676, 90.390129)",23.8774676,90.390129,POINT (90.390129 23.877467600000003),R23C22
"IFIC BANK LIMITED ( RAYER BAZAR SUB-BRANCH ), RAYER BAZAR ,MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"MUKTA PUSHPO BITAN , SHAHBAGH ROAD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"MERCANT GROUP , ROAD 11, SECTOR 9 UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"RABEA BASAR GARDEN,K 38,LICHU BAGAN RD,JOAR SHAHARA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ZENITH TOWER DHANMONDI , RESIODENTIAL AREA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"DHAKA CITY COLLEGE,RD 2,DHANMONDI","(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"BLUS HEADQUARTER.726/12,ADABOR 10,MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"AI GRISSINO DHAKA , ROAD 12 , BLOCK E, BANANI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SANIAS KITCHEN,JIGATOLA,DHANMONDI","(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"MANHA IBRAHIM HOME . HOUSE 117 , 119 , RANAVOLA AVENUE . SECTOR 10 , UTTARA 1230. DHAKA .","(33.37312, 44.44557)",33.37312,44.44557,POINT (44.445570000000004 33.37312000000003),R489C-863
"BNS CENTER , RD 5 , SECTOR 7 , UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"EMBASSY OF QATAR,RD 79,GULSHAN 2","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
GULISTAN BUS STAN D,"(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
KALABAGAN BUS STOP MIRPUR RD,"(23.7475556, 90.3805653)",23.7475556,90.3805653,POINT (90.3805653 23.747555599999995),R20C22
"HOUSE 55 , ROAD 2 , BLOCK F , SECTOR 1 , AFTABNAGAR","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"TOWHID FOUNDATION , TOLARBAG ,  MIRPUR 1","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"UTTARA CRESCENT HOSPITAL , RABINDRA SARANI , SECTOR 3 , UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"AL HAJ ABDUS SOBHAN ROAD 1,BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SHAPTAK MAGNOLIA,HOUSE 409,SHAHID BAKI ROAD,CHOWDHURY PARA,KHILGAON","(23.75722, 90.46443)",23.75722,90.46443,POINT (90.46443 23.757220000000004),R20C23
"DR ATAUR RAHMAN BHUIYAN,BLOCK I,BASHUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SAIFURS IT,SECTOR 13,UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
DARAZ SORT CENTER TEJGAON,"(23.76296, 90.38971)",23.76296,90.38971,POINT (90.38971 23.762959999999996),R20C22
"DHAKA METROPOLITON POLICE HEADQUARTER , MINTU RD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ELANO , DOHS , MIRPUR","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
BTI SANDRINGHAM BLOCK H BASHUNDHARA R/A,"(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"VOOTER ADDA , SHAHID BAKI RD , KHILGAON","(23.75722, 90.46443)",23.75722,90.46443,POINT (90.46443 23.757220000000004),R20C23
"EESTAN PONTO,KEANDO,H 52,RD 7,BLOCK B,BANSHREE","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"UTTARA 14 BAZAR,SECTOR 14","(23.8680706, 90.3829193)",23.8680706,90.3829193,POINT (90.3829193 23.8680706),R23C22
"IBN SINA , H 27/4, PALASHI RD , LALBAGH","(23.71739, 90.38787)",23.71739,90.38787,POINT (90.38787 23.717389999999998),R19C22
"PARINEETA FASHION,SYED NAGAR,NOTUN BAZAR","(25.74442, 88.49186)",25.74442,88.49186,POINT (88.49186 25.744420000000005),R65C-16
"KAZIM MANZIL COMPLEX , K 62/7 , LICHU BAGAN RD , JOAR SHAHARA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"DHAKA INTERNATIONAL TRADE FAIR ( BANIJJO MELA ) SECTOR 4, PURBACHAL","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"MOHJAKHALI TB GATE  JAME MASJID , TB GATE RD , MOHAKHALI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"GREENLAND HOSPITAL LTD,ROAD 13 BHATULIA MOUZA,UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"SOFT CLICK , SECTOR 12 , UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"BONI & JONY STORE,KESHAB BENARJEE RD,FARASHGANJ","(-3.1789084, 120.6848131)",-3.1789084,120.6848131,POINT (120.6848131 -3.1789084),R-585C716
"PAN PACIFIC SONARGAON HOTEL,KAZI NAZRUL ISLAM AVE,KAWRANBAZAR","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"MONIPUR SCHOOL AND COLLEGE  , 60  FEET RD , BOROBAG  , MIRPUR 2","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"GOSHBAG JAME MASJID,ASHULIA HIGHWAY,RUSTAMPUR,ASHULIA,1341","(24.3137, 89.6089)",24.3137,89.6089,POINT (89.60890000000002 24.313700000000004),R33C6
SAMEN FOOTWEAR EAST GORAN,"(23.75027, 90.43413)",23.75027,90.43413,POINT (90.43413 23.750269999999993),R20C23
"RD 4,SECTOR 11,UTTARA","(23.8758406, 90.3932321)",23.8758406,90.3932321,POINT (90.3932321 23.8758406),R23C22
"NIHARIKA, 608, BLOCK F ROAD 19, BASHUNDHARA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"BAKE ELEGANCE , MANIKDE AMTOLA RD , MANIKDI , DHAKA CANTONMENT","(23.82444, 90.40556)",23.82444,90.40556,POINT (90.40556 23.824439999999996),R22C22
"ALOKI.TEJGAON LINK RD,NIKETON","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"FAIRYTALE (BEAUTY PARLOUR AND FASHION HOUSE ), SECTOR 11, UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"CHOWDHURY COMMUNITY CENTER , 42  , ROAD 6A , DHANMONDI R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"AHSANIA MISSION CANCER & GENRAL HOSPITAL,DHAKA ASHULIA HIGHWAY,SECTOR 10,UTTARA","(23.8036477, 90.3773328)",23.8036477,90.3773328,POINT (90.3773328 23.803647699999992),R21C22
"KHUSHBU  BIRIANI HOUSE , GULSHAN 2, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"BAITUL MAMUR JAME MASJID , SCHOOL RD , EAST RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,POINT (90.42051 23.76261),R20C22
"H 213 , RD 7 , KHILGAON","(23.75722, 90.46443)",23.75722,90.46443,POINT (90.46443 23.757220000000004),R20C23
"SUMAN GENERAL,ASHULIA HIGHWAY,RUSTAMPUR,ASHULIA 1341","(24.3137, 89.6089)",24.3137,89.6089,POINT (89.60890000000002 24.313700000000004),R33C6
"TSC MOOREBAN,TSC MOR,UNIVERSITY OF DHAKA","(24.16667, 90.41667)",24.16667,90.41667,POINT (90.41667 24.16667),R29C22
"SHARIYATPUR PHARMA , ZAHIR RAIHAN  SARANI , DHAKA MEDICAL COLLEGE","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"UTTARA CENTER METRO STATION,SECTOR 15","(23.8597545, 90.3652035)",23.8597545,90.3652035,POINT (90.3652035 23.8597545),R22C21
"VATARA MOR JAME MASJID , VATARA ROAD , NATUN BAZAR , BADDA , 1000","(24.34671, 90.00523)",24.34671,90.00523,POINT (90.00523 24.346710000000005),R33C14
"NEEDLE CAFE , 115 , ROAD 3 , SECTION 12","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"H 346 , RD 5 , BLOCK F , BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"H 19,RD 12,MOHAMMADI HOUSING SOCIETY,MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"MOMOTAJ SHOPPING COMPLEX , CHAD UDDAN  HOUSING , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"HAZARIBAG PARK , HAZARIBAG","(23.66603, 90.44659)",23.66603,90.44659,POINT (90.44659 23.66603),R18C23
"INTERNATIONMAL TRADE FAIR , SECTOR 4 , PURBACHAL","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"H 21 , ATISH DIPANKAR RD , BASABO","(23.7259354, 90.4286922)",23.7259354,90.4286922,POINT (90.4286922 23.725935399999997),R19C23
"H 33/6, TAJMAHAL RD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"BRB HOSPITAL LTD,PANTHPATH","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"RELIANCE AMIN VILLA,HOUSE 492,ABDUR SADEK ROAD,BLOCK  F,BASHUNDHARA R/A","(-9.376, -171.233)",-9.376,-171.233,POINT (-171.23297708483352 -9.375971594300665),R-3158C3032
"SHAWON MAZHAR'S TERRITORY , ROAD 4 , HOUSE 93 , BLOCK B , BANANI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"BOOK BUY BD , NILKHET , NEW MARKET","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"DECK 41 , 47 , ROAD 41 , GULSHAN 2 , GULSHAN","(23.7903402, 90.4126444)",23.7903402,90.4126444,POINT (90.4126444 23.790340199999996),R21C22
"AMIR CONFECTIONARY AND GENERAL STORE , BLOCK C , MIRPUR 1","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"BAITUL AMAN JAME MASJID , ARAMBAG RESIDENTIAL AREA , MIRPUR 7","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"479, ROAD NO , 17 , BASHUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"DIALYSIS CENTER , H 56/2, PANTHAPATH","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SUNNYDALE,H 19/A,SABRINA SOBHAN 4TH AVENUE,BLOCK H, BASUNDHARA R/A","(52.44889, 9.74)",52.44889,9.74,POINT (9.740000000000055 52.448889999999984),R1379C-821
"MUKTA HAIR CUTTING SALOON,ANARKOLY RD,WEST ARICHPUR,MOINARTEK","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ROYAL CUISINE RESTAURANT ( UTTARA ) , SECTOR 3","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"CONCORD ( RESIDENTIAL ) TOWER , H 113 , KAZI NAZRUL ISLAM AVE , KAWRANBAZAR , RAMNA","(23.73333, 90.4)",23.73333,90.4,POINT (90.40000000000002 23.733329999999988),R20C22
"UNITED PENTECOSTAL CHURCH OF BANGLADESH,MIRPUR 2","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"UCY , SECTOR 18 , UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"ROAD 2,HOUSE 4,BLOCK E,MIRPUR 2,1000","(23.729, 90.4112)",23.729,90.4112,POINT (90.4112 23.728999999999996),R19C22
"93,ROAD 12, C","(23.7729313, 90.4277866)",23.7729313,90.4277866,POINT (90.4277866 23.7729313),R20C23
MA O SHISHU SHASTHO HOSPITAL SALIMULLAH ROAD MOHAMMADPUR,"(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"THAI SPA @ SKY CITY HOTEL , SHIDDHESWARI ROAD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ADABOR THANA , RING RD , ADABOR","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"MASJIDUL AKBAR,RD 9,MIRPUR 1","(23.8018937, 90.3534812)",23.8018937,90.3534812,POINT (90.3534812 23.801893699999997),R21C21
"SHAWARMA HOUSE ( 60 FEET BRANCH ) , BAREK MOLLAR MORE , MIRPUR","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"BONEDI BAZAR,SECTOR 7,UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
lake city concord khilkhet,"(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"EXPORT ZONE , 02, PALLABI , MIRPUR 12","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
PROBASH MOHANAGAR PROKOLPO RAMPURA,"(23.76261, 90.42051)",23.76261,90.42051,POINT (90.42051 23.76261),R20C22
"144 , I BLOCK ROAD 7 , BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"VASANTEK MARKET , BAZAR RD , VASHANTEK","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"PALLIMA SANGHSAD,H 841 C,SHAHID BAKI SARAK,TALTOLA,KHILGAON","(23.75722, 90.46443)",23.75722,90.46443,POINT (90.46443 23.757220000000004),R20C23
"GREENLINE BUS , OUTER CIRCULAR RD , RAJARBAG , SHANTIBAGH , MALIBAGH","(23.7417046, 90.4181239)",23.7417046,90.4181239,POINT (90.4181239 23.741704599999995),R20C22
"TECHABYTE SOLUTIONS , 312 , RD 21 , MOHAKHALI DOHS","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"24, GREENWAY ROAD , WIRELESS, MOGBAZAR","(23.752819, 90.4075804)",23.752819,90.4075804,POINT (90.4075804 23.752819),R20C22
"SMANAGERE OFFICE , HOUSE 454, ROAD 31, MOHAKHALI DOHS","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"DOINIK SHONDHANI , BARTA , BLOCK D , MIRPUR 12","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"AL MATIN TOWER,146,ROAD 13B,BANANI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
HOUSE KA-9A ROAD 12 BLOCK K BARIDHARA,"(23.80254, 90.42117)",23.80254,90.42117,POINT (90.42117 23.802539999999997),R21C22
"RD 12, BLOCK F, BASHUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"BEYOND BUFFET MIRPUR , SECTION 1","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ANWAR KHAN MODERN MEDICAL COLLEGE , RD 7 , DHANMONDI","(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"NURERCHALA KANCHA BAZAR , NURER CHALA KACHA BAZAR , NOTUN BAZAR","(25.74442, 88.49186)",25.74442,88.49186,POINT (88.49186 25.744420000000005),R65C-16
"HOUSE 296,ROAD 1,BLOCK F,BASHUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"HOUSE 33,ROAD 13,SECTOR 12,UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"CAPITAL BOOK BINDING WORKS , TIKATULI , WARI","(23.71667, 90.41667)",23.71667,90.41667,POINT (90.41667 23.716669999999997),R19C22
"RD 18 , SECTOR 7 , UTTARA","(23.872197, 90.3944093)",23.872197,90.3944093,POINT (90.3944093 23.872196999999996),R23C22
"RD 10A, RANAVOLA , UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"POLICE CONVENTION HALL,OLD ELEPHANT RD,OLD ESKATON","(23.7450103, 90.4020768)",23.7450103,90.4020768,POINT (90.40207680000002 23.745010299999993),R20C22
"ROAD NO. 14 , BLOCK A , BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"UNIMED UNI HEALTH , RD 27 , DHANMONDI","(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"RD 71,GULSHAN 2","(23.7947055, 90.4023902)",23.7947055,90.4023902,POINT (90.4023902 23.794705500000003),R21C22
"KAMALAPUR RD , MOTIJHEEL , KOMLAPUR","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"NSOFR , H 4 , RD 13 , ADABOR","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"AMARYLLIS , HOUSE 1207 , ROAD 10 , DOHS , MIRPUR","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"IRAYNA PHARMA , H 11/8/D, FREE SCHOOL ST, KATHALBAGAN","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SHAMS KITCHEN FOOD CARD,WARI,TIKATULI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"BHAMUPUTRO , SHAHID CAPTAIN MONSUR ALI RD , OLD ESKATON","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"GAUSIA MARKET GOLI,NEW MARKET","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"AL MAMUN GENERAL STORE,161,EAST RAJABAZAAR,DHANMONDI","(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"RD 15,MOHAKHALI DOHS","(23.7807594, 90.3952941)",23.7807594,90.3952941,POINT (90.3952941 23.780759399999997),R21C22
"PRANTOR,H 42/2,INDIRA RD,FARMGATE","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"HAZI STORE , DAKKHINGAO , SABUJBAGH","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"MEET N CHEEZ,RUPNAGAR R/A,MIRPUR 2","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"LOVELY CINEMA HALL , DHAKA SYLHET HIGHWAY , KATCHPUR , NARAYANGANJ , 1361","(23.8333, 90.3333)",23.8333,90.3333,POINT (90.3333 23.8333),R22C21
"MONTANA LOUNGE,GULSHAN 2,GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"IBA,UNIVERSITY OF DHAKA,JASIMUDDIN HALL RD,UNIVERSITY OF DHAKA","(24.16667, 90.41667)",24.16667,90.41667,POINT (90.41667 24.16667),R29C22
"LAKE GARD H 110 , 1 NO LAKE CIRCUS KALABAGAN RD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"JABA NILOY , HOUSE 5F/7F , ROAD 11, SECTOR 3 , UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"SOI7,ROAD 7,DHANMONDI","(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"ECB CHATTAR , MATIKATA","(23.8225769, 90.3934333)",23.8225769,90.3934333,POINT (90.3934333 23.822576900000005),R22C22
"INTER CONTINENTAL DHAKA 1, MINTO ROAD , WIRELESS , PALTAN","(23.73625, 90.41426)",23.73625,90.41426,POINT (90.41426 23.736249999999995),R20C22
"WELKIN TELECOM INFRA(BD) PRIVATE LIMITED , ROAD 29, GULSHAN 1, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"MA STATIONARY ,S ECTOR 11, UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"EKEDUCATION,BLOCK B,BANASREE","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"HITECH MULTICARE HOSPITAL , SOUTH KAFRUL RD , SOUTH KAFRUL , KAFRUL","(23.78822, 90.37359)",23.78822,90.37359,POINT (90.37359 23.788219999999995),R21C21
"urban maliha garden 75 , road12a dhanmondi r/a","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"H 2 L , RD 9 BLOCK G , BASHUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"KHAJA MONJIL,2/10,ROAD NO 7,LALMATIA","(24.43374, 88.45688)",24.43374,88.45688,POINT (88.45688 24.433739999999997),R36C-17
"IBN SINA DIAGONISTIC & CONSULTATION CENTER(BADDA),BHABAN 2,NORTH BADDA","(23.7452734, 90.3724108)",23.7452734,90.3724108,POINT (90.3724108 23.745273399999995),R20C21
"ANEX TOWER , TALERTEK RD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"NILA MARKET , PURBACHAL EXPRESS HIGHWAY , TAHORDIA , NARYANGANJ","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"KARIM DELIGHT, H 229,OUTER CIRCULAR RD,MOGBAZAR","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SHIMANTO CONVENTION CENTER , RESIDENTIAL AREA , DHANMONDI","(23.7380307, 90.3776137)",23.7380307,90.3776137,POINT (90.3776137 23.7380307),R20C22
HAZRAT SHAHZJALAL INTERNATIONAL AIRPORT,"(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"WWW.HUMAYRA.COM.BD,BLOCK E.BANASREE","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"H 287, RD 16 , SOUTH BANASHREE PROJECT","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"354, ROAD NO. 13 , BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"DRAGON TOWER , DIT RD , CHOWDHURIPARA , MALIBAGH","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"BIHONGO 3/D,SHAHEED MOINUR ROAD,DHAKA CANTONMENT,DHAKA","(24.16667, 90.41667)",24.16667,90.41667,POINT (90.41667 24.16667),R29C22
"H 8 , RD 16 , NIKUNJA 2","(23.8339024, 90.4164755)",23.8339024,90.4164755,POINT (90.4164755 23.833902400000003),R22C22
"LUCKY STAR,BLOCK F,BANANI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"MUSLIM BAZAR , BLOCK D, MIRPUR 12","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"DHAKA CHAMBER AND COMMERCE INDUSTRY , MOTIJHEEL RD , DILKUSHA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"HOUSE 07,ROAD 11,SECTOR 06,UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"WILLES LITTLE FLOWER SCHOOL AND COLLEGE,KAKRAIL","(23.738205, 90.4073127)",23.738205,90.4073127,POINT (90.4073127 23.738205),R20C22
"NONGOR FNF , BLOCK M , BASHUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ZENITH TOWER,8/A/1,ROAD 13,DHANMONDI R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"KIB CONVENTION HALL , KHAMAR BARI ROAD , KHAMAR BARI","(23.7592844, 90.3854588)",23.7592844,90.3854588,POINT (90.3854588 23.7592844),R20C22
"NHA GARDEN CITY SHYAMOLI,BUILDING 5,MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"SKY DINE ROOFTOP RESTURANT,ROAD 4,NIKETON,GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"DHAKA DECOR,SECTOR 7,UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
