location,coordinates,latitude,longitude,geometry,grid_label
"DOMESTIC TERMINAL ( DAC) , HAZRAT SHAHJALAL INTERNATIONAL AIRPORT","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"FLOCKS , 9, ROAD 4, NIKUNJA 2","(23.8296884, 90.4181514)",23.8296884,90.4181514,POINT (90.4181514 23.829688400000002),R22C22
"MAXWELL DAKHINA,232,ROAD 1,BLOCK D,BASHUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"152,MALA BOKS SORDAR LANE,WIRELESS,MOGBAZAR","(23.7540299, 90.4083456)",23.7540299,90.4083456,POINT (90.4083456 23.7540299),R20C22
H 977/2 BEGUM ROKEYA SARANI WEST SHEWRAPARA,"(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"HOUSE 10 , ROAD 9 , BLOCK G , BANANI , DHAKA","(24.16667, 90.41667)",24.16667,90.41667,POINT (90.41667 24.16667),R29C22
"10/10 , SIR ALLAMA MUHAMMAD IQBAL ROAD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"NEXUS GROUP , DHAKA CITY BYPASS , 1702","(23.9833, 90.4)",23.9833,90.4,POINT (90.40000000000002 23.983299999999996),R25C22
"EKANTA , H 41/24 , RD 1 , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"PARK PANAROMA, 42 , ROAD 5, DHANMONDI R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"RD 19 , BLOCK J , BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ARONG,76/B,ROAD 11,BLOCKK E,BANANI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"CELEBRITY CONVENTION HALL , GULSHAN 1, GULSHAN","(23.7806235, 90.4135268)",23.7806235,90.4135268,POINT (90.4135268 23.780623499999997),R21C22
"AMARI DHAKA , RD 41 , GULSHAN 2 , GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"RD 4 , MOHAMMADI HOUSING SOCIETY , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"JUMMAN ELECTRIC , TOLARBAGH , MIRPUR 1","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"REGENCY GARMENTS LTD UNIT 1, CEPZENTRY RD , SOUTH HALISHAHAR","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ANIMATIC VIDEO - ANIMATION STUDIO IN BANGLADESH , GULSHAN 1","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
NORTH SOUTH UNIVERSITY  ( NSU ),"(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"THE BEST STEAK AND POTATO,H 2,9,BLOCK C,MIRPUR 10","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"DELICIOUS , RAMPURA , BANASHREE","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"PRIDE LIMITED , BLOCK E, BANANI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"MY HOME SWAPNO NEER , SECTOR 13 , UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"RD 6 , MOHAMMADIA HOUSING LTD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"GME GROUP,RD 8,NIKETON","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SHANTO FOOD CORNER, GOLARTEK MASJID RD , PALPARA , GABTOLI","(24.58189, 88.2967)",24.58189,88.2967,POINT (88.2967 24.58189),R40C-20
"BANGLADESH-CHINA FRIENDSHIP EXHIBITION CENTER , SECTOR 21 , PURBACHAL","(23.8426962, 90.5338706)",23.8426962,90.5338706,POINT (90.5338706 23.842696199999995),R22C25
"SM KHALED'S HOME, BL;OCK H , BANANI","(47.50438, 7.70444)",47.50438,7.70444,POINT (7.704440000000144 47.504379999999934),R1398C-968
"MOHAKHALI DOHS MASJID,MASJID RD,MOHAKHALI DOHS","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"DORIAN , BEGUM ROKEYA SARANI , WEST SHEWRAPARA","(23.7858354, 90.3775592)",23.7858354,90.3775592,POINT (90.3775592 23.785835399999996),R21C22
"SOMEREST ROSACEASE , H 185, RD 5 , BLOCK A , BASHUDNHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
