location,area
"""NASIM ENTERPRISE, SECTOR 12, UTTARA""",Uttara
"""BAILEY VISTA, H 6, SIDDHEWARI LN, SIDDHESWARI""",Siddheshwari
"""AMICUS, HOUSE 8, MYMENSINGH ROAD, PARIBAGH, SHAHBAGH""",Shahbagh
"""AL AMIN HOUSE, H 8, RD 1, BLOCK A, BANASHREE""",Banasree
"""RATAN KUTIR, H 146/1, NEW BAILEY RD""",Bailey Road
"""KOHINUR GENERAL STORE, H 2/2, MIRPUR RD, LALMATIA""",Lalmatia
"""MUTUAL TRUST BANK, AIRPORT ROAD, NEW AIRPORT ROAD, KURMITOLA, SECTOR 2""",Kurmitola
"""HOUSE 80, RD 12, SECTOR 10""",Uttara
"""SHANTINAGAR BUS STOP""",Shantinagar
"""TAHMINA MANZIL, 209/1, 195 SHANTIBAG ROAD, SHANTIBAGH, MALIBAGH""",Shantibagh
"""DHAKA MEDICAL HOSPITAL 2, ZAHIR RAIHAN SARANI, DHAKA MEDICAL COLLEGE""",Ramna
"""UNIVERSAL MUSIC & TIME BOOKS, DOCTOR GOLI, MALIBAGH""",Malibagh
"""NTRENZ, MIRPUR, DOHS RD, PALLABI""",Mirpur
"""KAVAZO, ROAD 11, BLOCK H, BANANI""",Banani
"""PROJONMO BUS STOP, JAGANNATH UNIVERSITY, ATISH DEPANKAR ROAD, MODDHO BASHABO, SHHJAHANPUR""",Bashabo
"""NASIM ENTERPRISE, SECTOR 12, UTTARA""",Uttara
"""BAILEY VISTA, H 6, SIDDHESWARI LN, SIDDHESWARI""",Siddheshwari
"""NAWAB HABIBULLAH MODEL SCHOOL & COLLEGE, SHAHJALAL AVE, SECTOR 4, UTTARA""",Uttara
"""AMICUS, HOUSE 8, MYMENSINGH ROAD, PARIBAGH, SHAHBAGH""",Shahbagh
"""INSAF BARAKAH KIDNEY & GENERAL HOSPITAL, SHAHID TAJUDDIN AHMED SARANI, MOGBAZAR""",Moghbazar
"""AL AMIN HOUSE, H8, RD 1, BLOCK A, BANASHREE""",Banasree
"""AL HERA JAME MASJID, PILKHANA RD, AZIMPUR""",Azimpur
"""DESCO, VATARA RD, NATUN BAZAR""",Vatara
"""SHOUVA, KA 22/B, SHAHID FAZLUL HAQUE RD, NADDA""",Nadda
"""HOUSE A/9, AL KAMAL HOUSING, ZOO ROAD, MIRPUR, DHAKA""",Mirpur
